lat,lon,name,stop_code,route_count
1.2821,103.81722,Bt Merah Int,10009,16
1.27774,103.8375,Bef Neil Rd,10011,13
1.27832,103.83763,Aft Hosp Dr,10017,18
1.27901,103.8386,Outram Pk Stn Exit 6/SGH,10018,8
1.27745,103.83839,Blk 3,10021,5
1.27606,103.83519,Bef Kampong Bahru Ter,10041,16
1.27623,103.83484,Opp Kampong Bahru Ter,10049,16
1.27741,103.83214,Blk 149,10051,7
1.2774,103.83275,Opp Blk 149,10059,7
1.2786,103.82949,Blk 140,10061,7
1.27855,103.83008,Opp Blk 140,10069,7
1.28045,103.82639,Blk 111,10071,10
1.2804,103.82709,Blk 201,10079,10
1.28228,103.82242,Opp Blk 120,10081,12
1.28292,103.82166,Blk 119,10089,12
1.28394,103.81784,Bt Merah Town Ctr,10091,8
1.28421,103.81766,Opp Bt Merah Town Ctr,10099,8
1.28506,103.81378,Opp Bt Merah Sec Sch,10101,11
1.28535,103.81371,Bt Merah Sec Sch,10109,7
1.28593,103.80935,Opp Blk 28,10111,10
1.28598,103.81123,Opp Pacific Tech Ctr,10119,11
1.2826,103.82891,Blk 126 CP,10121,2
1.28232,103.82857,Blk 121,10129,2
1.28619,103.80687,Opp Blk 2,10131,10
1.28635,103.8081,Blk 1,10139,10
1.28584,103.83238,Blk 18,10141,12
1.28607,103.83283,Blk 1,10149,12
1.28572,103.82853,Ctrl Green Condo,10151,12
1.28593,103.82669,Opp Tiong Bahru Stn/Plaza,10161,12
1.286,103.82748,Tiong Bahru Stn/Plaza,10169,13
1.28737,103.82346,Opp Tiong Bahru Pk,10171,8
1.28722,103.82396,Tiong Bahru Pk,10179,9
1.2885,103.8211,Bef Ar-Rabitah Mque,10181,7
1.28859,103.82183,Blk 104A CP,10189,9
1.2886,103.81903,Blk 78,10191,7
1.28876,103.81937,Delta Swim Cplx,10199,9
1.28928,103.81663,Opp Redhill Stn,10201,6
1.28955,103.81673,Redhill Stn,10209,8
1.29075,103.81144,BMW Eurokars Auto,10211,1
1.29084,103.81181,Skoda S'pore/Volkswagen Grp,10219,1
1.29033,103.83112,Ganges Ctr,10221,4
1.29052,103.83178,Opp Harvest Mansions,10229,4
1.29042,103.82788,Blk 51 CP,10231,4
1.29061,103.82865,Blk 79,10239,4
1.29062,103.82362,Gan Eng Seng Sec Sch,10241,5
1.29088,103.82408,Opp Gan Eng Seng Sec Sch,10249,5
1.2909,103.82047,Delta Sports Hall,10261,5
1.29125,103.82058,Opp Delta Sports Hall,10269,5
1.29116,103.81758,Opp Tanglin View,10271,5
1.29151,103.81758,Tanglin View,10279,5
1.29154,103.81445,SIS Bldg,10281,9
1.29191,103.81341,Opp Cycle & Carriage,10287,5
1.29187,103.81441,Opp SIS Bldg,10289,5
1.29216,103.81066,Opp Dawson Pl,10291,9
1.29233,103.81146,Aft Dawson Pl,10299,10
1.29428,103.81588,Opp Grace Ably of God Ch,10321,4
1.29365,103.81597,Crescent Girls' Sch,10329,4
1.28136,103.81834,Bef Bt Merah Ctrl,10331,6
1.28116,103.81857,Aft Bt Merah Ctrl,10339,7
1.28485,103.82059,Opp Blk 116,10341,5
1.28498,103.82101,Blk 116,10349,6
1.28676,103.82205,Blk 95B,10351,5
1.28724,103.82259,Opp Blk 95C,10359,6
1.28038,103.82353,Cendex Ctr,10361,8
1.28037,103.82387,Opp Cendex Ctr,10369,8
1.28365,103.8245,Blk 129,10371,8
1.28374,103.8249,Blk 25B,10379,8
1.28907,103.82559,Opp Blk 48,10381,6
1.28876,103.82573,Blk 48,10389,6
1.27627,103.83126,Opp Melati Blk 2,10391,4
1.27588,103.83019,Melati Blk 2,10399,4
1.28817,103.81168,Shriro Hse,10401,1
1.28788,103.81099,Blk 50,10409,1
1.28913,103.81281,Opp Blk 53,10411,1
1.28842,103.81258,Blk 52,10419,1
1.28896,103.81498,Blk 63B,10421,2
1.28928,103.81405,Blk 54,10429,2
1.2872,103.81398,Enabling Village,10431,1
1.28748,103.81419,Opp Enabling Village,10439,1
1.28657,103.81161,Opp Blk 44,10441,1
1.28667,103.81195,Blk 44,10449,1
1.28762,103.81726,Opp Blk 71,10451,1
1.28755,103.8164,Blk 72,10459,1
1.29681,103.81169,Opp Blk 95,10461,2
1.29668,103.81217,Bef Margaret Dr,10469,2
1.2968,103.81468,Bef Tanglin Rd,10471,2
1.29668,103.81547,Aft Tanglin Rd,10479,2
1.28784,103.81797,Opp Blk 73,10481,1
1.28812,103.81778,Blk 73,10489,1
1.27585,103.83401,Kampong Bahru Ter,10499,9
1.28106,103.82528,Blk 104,10501,9
1.29173,103.82612,Blk 4,10519,5
1.28883,103.80925,Opp Blk 36,10599,1
1.2833,103.81548,Blk 161,10651,5
1.28362,103.81473,Blk 1003,10659,5
1.31107,103.78916,Opp Ghim Moh Ter,11001,3
1.31107,103.78932,Ghim Moh Ter,11009,3
1.2868,103.80566,Alexandra Ctrl,11019,10
1.28942,103.80229,Aft Queenstown NPC HQ,11021,12
1.29013,103.80202,Blk 166/Aft Mei Chin Rd,11029,13
1.2912,103.80046,Opp Queen's Cl,11031,12
1.29246,103.79999,Blk 19,11039,12
1.29624,103.79952,Aft C'wealth Dr,11041,11
1.29546,103.79953,Opp Blessed Sacrament Ch,11049,12
1.29872,103.8003,Opp Queenstown Polyclinic,11051,11
1.29883,103.80097,Queenstown Polyclinic,11059,12
1.30266,103.80119,Opp Queensway Sec Sch,11061,11
1.30237,103.80162,Queensway Sec Sch,11069,8
1.30621,103.80171,Blk 97,11071,8
1.30544,103.80185,Opp Blk 95,11079,8
1.30852,103.80258,Viz Holland,11081,8
1.30946,103.80334,Opp Holland Hill Lodge,11089,8
1.31219,103.80367,Leedon Green,11091,9
1.31305,103.80438,Opp Leedon Green,11099,9
1.31615,103.80596,Empress Rd Mkt/FC,11101,9
1.31552,103.80574,Spanish Village,11109,9
1.3178,103.80772,Farrer Rd Stn Exit B,11111,9
1.31748,103.80786,Farrer Rd Stn Exit A,11119,9
1.29288,103.80707,Queens Condo,11131,7
1.2932,103.80745,Blk 53A CP,11139,5
1.29464,103.80583,Queenstown Stn Exit A/D,11141,7
1.29506,103.80596,Queenstown Stn Exit B/C,11149,7
1.29864,103.80248,Blk 42,11151,7
1.298,103.80363,Aft Ch of Our Saviour,11159,7
1.30213,103.79839,C'wealth Stn Exit A/D,11161,10
1.30271,103.79838,C'wealth Stn Exit B/C,11169,13
1.30536,103.7948,Opp Blk 7B,11171,10
1.30628,103.79428,Blk 8,11179,10
1.30722,103.79228,Opp Blk 43,11181,14
1.3074,103.79254,Blk 43,11189,15
1.30802,103.78837,The Star Vista,11191,5
1.30838,103.78843,Blk 15,11199,5
1.30693,103.81186,CSC Dempsey Clubhse,11201,7
1.30817,103.81038,Opp Peirce Rd,11209,8
1.30839,103.8094,Aft Peirce Rd,11211,7
1.30989,103.80716,Great Eastern Mansions,11219,8
1.31002,103.80551,Lien Twrs,11221,7
1.3106,103.80523,Sommerville Pk,11229,8
1.31115,103.8012,Aft Hyll on Holland,11231,6
1.31153,103.80166,Fairlodge,11239,7
1.3112,103.79274,Opp Blk 21,11259,1
1.31223,103.79445,Holland Village,11261,7
1.31256,103.79454,Opp Holland Village,11269,7
1.31473,103.79008,Aft East Sussex Lane,11271,6
1.31467,103.79069,Aft Coronation Rd West,11279,7
1.31623,103.78852,Aft Tan Boon Chong Ave,11281,4
1.31619,103.78904,Opp Tan Boon Chong Ave,11289,7
1.31793,103.78592,Cold Storage Jelita,11291,5
1.31827,103.78559,Opp Cold Storage Jelita,11299,6
1.31804,103.7879,Hse No. 578,11301,3
1.31862,103.78843,Hse No. 589,11309,3
1.3199,103.78919,Hse No. 532,11311,3
1.32031,103.7896,Opp Hse No. 516,11319,3
1.32123,103.7901,Opp Regent Villa,11321,3
1.32236,103.79098,Regent Villa,11329,3
1.32321,103.79145,Opp Dynasty Gdn II,11331,3
1.32399,103.79205,Dynasty Lodge,11339,3
1.32552,103.79283,Garlick Ville,11341,3
1.32563,103.79304,Opp Garlick Ville,11349,3
1.30935,103.78945,Blk 13,11351,3
1.30931,103.78969,Opp Blk 13,11359,3
1.3065,103.79058,Buona Vista Stn Exit C,11361,10
1.30633,103.79085,Buona Vista Stn Exit D,11369,11
1.30917,103.79236,Buona Vista Ter,11379,9
1.30841,103.79328,Blk 10A,11381,8
1.30907,103.79293,Buona Vista CC,11389,8
1.30907,103.79507,Holland V Stn/Blk 12,11401,5
1.30764,103.79433,Blk 9,11409,3
1.31103,103.79604,Holland V Stn Exit A,11419,4
1.30454,103.79836,Opp Blk 115B,11429,3
1.30606,103.8003,Blk 92,11439,3
1.2978,103.79754,Blk 58,11441,1
1.29841,103.7976,Blk 37B,11449,1
