lat,lon,name,stop_code,route_count
1.45464,103.81584,Blk 482A CP,58419,3
1.45131,103.81903,Blk 353,58421,1
1.45152,103.81893,Bet Blks 415/416,58429,1
1.42844,103.78843,Blk 567B,58431,1
1.42858,103.78834,Opp Blk 567B,58439,1
1.42731,103.78894,Blk 567A,58441,1
1.42709,103.78907,S'pore Sports Sch,58449,1
1.46003,103.81537,Aft Heavy Veh Pk,58451,2
1.45994,103.81514,Bef Heavy Veh Pk,58459,2
1.42966,103.79048,Innova Pr Sch,58461,1
1.42982,103.79045,Opp Innova Pr Sch,58469,2
1.45306,103.82268,Opp Wellington Pr Sch,58481,2
1.45286,103.82251,Wellington Pr Sch,58489,2
1.45272,103.82431,Opp Blk 507A,58491,2
1.45206,103.82429,Blk 506A,58499,2
1.45072,103.82708,Blk 592A,58501,2
1.4506,103.82696,Blk 590A,58509,2
1.44964,103.8315,Blk 104C,58511,6
1.44973,103.83106,Opp Blk 104B,58519,7
1.44819,103.8326,Blk 106A,58521,4
1.44802,103.83246,Blk 108 CP,58529,5
1.44544,103.8323,Blk 129A,58531,4
1.44577,103.83231,Blk 120A,58539,5
1.44284,103.83035,Opp Canberra Stn,58541,8
1.44258,103.83014,Canberra Stn,58549,8
1.44181,103.81687,Bef Sembawang Ave,58571,3
1.44153,103.81703,Aft Sembawang Ave,58579,2
1.44388,103.81312,Bef Gambas Cres,58581,3
1.44353,103.81317,Opp Gambas Cres,58589,2
1.44814,103.83113,Blk 108A,58601,2
1.44796,103.8304,Blk 109A,58609,2
1.44653,103.82993,Blk 115C,58611,2
1.44637,103.83015,Opp Blk 115C,58619,2
1.44595,103.83403,Blk 126 CP,58621,6
1.42458,103.83501,Blk 767,58991,11
1.4284,103.8361,Yishun Int,59009,33
1.40144,103.82746,Bef Sg Seletar Bridge,59011,13
1.40368,103.82751,Aft Sg Seletar Bridge,59019,15
1.40923,103.82908,Bef Yishun Ave 1,59021,13
1.40886,103.82925,Aft Yishun Ave 1,59029,15
1.41278,103.83084,Opp Yishun Sports Hall,59031,19
1.41343,103.83156,Yishun Sports Hall,59039,21
1.41625,103.83259,Bef Khatib Stn,59041,17
1.41701,103.8334,Opp Khatib Stn,59049,19
1.41968,103.8343,Blk 790,59051,19
1.42055,103.83498,Blk 608,59059,22
1.42556,103.83496,Blk 763,59061,8
1.42591,103.83531,Opp Blk 757,59069,22
1.4294,103.83547,Yishun Stn Exit E,59072,8
1.42868,103.83547,Opp Yishun Stn,59073,13
1.42927,103.83516,Yishun Stn,59079,9
1.42371,103.83165,Blk 774,59081,3
1.42398,103.83156,Opp Blk 774,59089,4
1.43165,103.83511,Blk 154,59091,10
1.43273,103.83523,Blk 220,59099,9
1.4342,103.83303,Yishun Pr Sch,59101,2
1.4344,103.83323,Opp Yishun Pr Sch,59109,3
1.43016,103.82888,Blk 701,59111,6
1.43037,103.82795,Opp Blk 701A,59119,10
1.43454,103.83,Blk 121,59121,2
1.4349,103.83027,Opp Blk 121,59129,3
1.43193,103.82969,Blk 137,59131,2
1.43141,103.82956,Aft Chong Pang CC,59139,3
1.43034,103.83276,Blk 741,59141,5
1.43062,103.83218,Blk 145,59149,10
1.43055,103.83467,Opp Yishun Stn Exit B,59159,3
1.43015,103.83793,Opp Blk 201,59161,9
1.43046,103.83769,Bet Blks 201/202,59169,11
1.43227,103.8402,Blk 309,59171,7
1.43221,103.83988,Blk 241,59179,9
1.43417,103.84219,Opp Blk 245,59181,4
1.43425,103.84204,Blk 245,59189,4
1.43649,103.84212,Opp Northland Sec Sch,59191,4
1.4361,103.84225,Blk 250,59199,5
1.43872,103.84035,Opp Chongfu Pr Sch,59201,4
1.43857,103.84021,Blk 272,59209,5
1.44037,103.83817,Blk 289,59211,5
1.44046,103.83758,Opp Blk 288,59219,4
1.43902,103.83503,Opp Yishun Ind Pk A,59221,4
1.43902,103.83416,Yishun Ind Pk A,59229,3
1.43538,103.83681,Blk 227,59231,3
1.43561,103.83684,Blk 291,59239,3
1.43427,103.83923,Blk 236,59241,3
1.43436,103.83944,Blk 257,59249,3
1.43669,103.83368,Opp Darul Makmur Mque,59251,9
1.43717,103.8338,Darul Makmur Mque,59259,7
1.43756,103.83159,Blk 174,59261,5
1.43775,103.83125,Opp Blk 174,59269,2
1.43628,103.82855,Blk 118,59271,5
1.4367,103.8288,Opp Ahmad Ibrahim Sec Sch,59279,2
1.42281,103.8407,Blk 654,59281,2
1.42167,103.84139,Blk 676 CP,59289,1
1.41893,103.84072,Blk 666,59291,2
1.4191,103.84102,Blk 671 CP,59299,1
1.42857,103.83055,Blk 731,59301,2
1.42826,103.83063,Jiemin Pr Sch,59309,5
1.42605,103.83219,Blk 760,59311,3
1.42617,103.83201,Blk 729,59319,4
1.42005,103.8318,Blk 794,59321,4
1.41968,103.8318,Naval Base Sec Sch,59329,4
1.42297,103.83277,Blk 773,59331,4
1.42274,103.83378,Blk 776,59339,4
1.42367,103.83864,Khoo Teck Puat Hosp,59341,3
1.42345,103.83882,Opp Khoo Teck Puat Hosp,59349,4
1.42878,103.84023,Opp Blk 322,59351,2
1.42844,103.84072,Blk 322,59359,2
1.42214,103.83684,Blk 647,59369,1
1.41947,103.83824,Opp Chung Cheng High Sch,59379,1
1.43181,103.84196,Blk 314,59381,4
1.43202,103.84208,Opp Blk 314,59389,6
1.43021,103.84523,Blk 342B,59391,5
1.43027,103.84552,Opp Blk 367,59399,7
1.42705,103.84615,Blk 358,59401,5
1.42664,103.84641,Evangel Family Ch,59409,7
1.42521,103.84573,Blk 356,59411,5
1.42536,103.84607,Blk 413,59419,7
1.41763,103.83513,Blk 624,59421,6
1.41743,103.83505,Blk 846,59429,8
1.41781,103.83768,Blk 630,59431,6
1.41783,103.83837,Blk 858,59439,8
1.41588,103.83948,Naval Base Pr Sch,59441,1
1.41553,103.83954,Opp Naval Base Pr Sch,59449,2
1.4257,103.84361,Bet Blks 349/350,59451,3
1.42637,103.8426,Opp Huamin Pr Sch,59459,3
1.42336,103.84696,Opp Blk 419,59461,3
1.42358,103.84748,Blk 419,59469,2
1.42112,103.84902,Blk 430B,59471,6
1.42035,103.84865,Opp Blk 430B,59479,5
1.41542,103.83648,Blk 873,59481,1
1.41325,103.8346,Orchid Pk Condo,59499,1
1.41289,103.83811,Blk 871,59501,3
1.41252,103.83794,Opp Blk 871,59509,3
1.42717,103.82895,Yishun Sec Sch,59511,2
1.44004,103.83171,Yishun Emerald,59521,8
1.44035,103.83181,Opp Yishun Emerald,59529,8
1.42363,103.83018,Sree Maha Mariamman Tp,59541,3
1.42314,103.83053,Opp Sree Maha Mariamman Tp,59549,2
1.42539,103.82822,Blk 722,59551,3
1.42512,103.82821,Opp Blk 722,59559,2
1.4187,103.83293,Opp Khatib Stn Exit D,59561,4
1.41849,103.83294,Khatib Stn Exit D,59569,7
1.42073,103.84373,Opp Northbrooks Sec Sch,59571,3
1.42029,103.84395,Blk 456,59579,6
1.41903,103.84619,Blk 432C,59581,3
1.41966,103.84477,Blk 505C,59589,3
1.42654,103.84948,Bet Blks 405/406,59591,2
1.42696,103.84969,Opp Blk 406,59599,1
1.42984,103.84938,Blk 391,59601,5
1.429,103.84956,Opp Blk 391,59609,4
1.42363,103.83667,Opp Yishun Community Hosp,59611,3
1.42335,103.83687,Yishun Community Hosp,59619,4
1.43416,103.84411,Bet Blks 318A/318B,59621,4
1.43463,103.8439,Symphony Suites Condo,59629,3
1.42334,103.84397,Opp Blk 445,59631,3
1.42318,103.84412,Bet Blks 445/449,59639,6
1.43152,103.84572,Bet Blks 333C/333D,59641,2
1.43139,103.84571,Opp Blk 333C,59649,2
1.42712,103.84169,Blk 348B,59651,3
1.42631,103.83763,Blk 932,59661,2
1.42624,103.83784,Opp Blk 932,59669,2
1.42778,103.83511,Bef Yishun Stn,59671,2
1.42548,103.8402,Opp SAFRA Yishun,59701,3
1.42599,103.84064,Bef SAFRA Yishun,59709,3
1.4182,103.84271,Blk 672C,59711,5
1.41757,103.842,Opp Blk 672C,59719,8
1.41154,103.83368,Blk 816,59721,2
1.41114,103.8335,Opp Blk 816,59729,3
1.41413,103.8415,Blk 512A,59731,3
1.41416,103.84215,Opp Blk 512A,59739,3
1.41555,103.84464,Opp Orchid Country Club,59741,3
1.41499,103.84433,Orchid Country Club,59749,3
1.41726,103.84591,Opp The Shaughnessy,59751,3
1.41755,103.84631,The Shaughnessy,59759,3
1.4185,103.84327,Blk 504C,59761,8
1.42394,103.85207,Blk 469B,59771,6
1.42408,103.85252,Opp Blks 469A/469B,59779,6
1.42306,103.85111,Aft Yishun Ave 6,59781,6
1.42301,103.85136,Bef Yishun Ave 6,59789,6
1.4259,103.85358,Blk 471A,59791,3
1.42516,103.85331,Opp Blk 470A,59799,3
1.43167,103.84789,Blk 382C,59801,5
1.43176,103.84799,Blk 483B,59809,4
1.42749,103.85206,Blk 477B,59811,3
1.42696,103.85196,Blk 467C,59819,3
1.43291,103.84578,Blk 334B,59821,4
1.43283,103.8469,Opp Blk 334B,59829,3
1.31472,103.86377,Bendemeer Stn Exit A,60011,6
1.3148,103.86414,Bendemeer Stn Exit B,60019,6
1.31829,103.8667,Chubb S'pore,60021,7
1.31717,103.866,Blk 16,60029,7
1.32041,103.87008,Bef Geylang Bahru Stn,60031,7
1.31996,103.86983,Opp Blk 66,60039,7
1.31415,103.86571,Opp Kallang Pl,60051,9
1.31435,103.86586,Bef Kallang Pl,60059,8
1.32277,103.87402,Biotronik,60061,3
1.32336,103.87257,Kallang Basin Swim Cplx,60069,2
1.3272,103.87028,Kolam Ayer Ind Est,60071,3
1.32686,103.86951,Bef Bendemeer Rd,60079,2
1.32931,103.86629,St. Andrew's Village,60081,15
1.32865,103.86616,Opp St. Andrew's Village,60089,11
1.3153,103.8614,Bef Lavender St,60099,14
1.31783,103.86004,Kwong Wai Shiu Hosp,60101,9
1.3188,103.8641,Opp Boon Keng Stn,60119,13
1.32009,103.8618,Boon Keng Stn/Blk 102,60121,11
1.32205,103.86629,Blk 44,60139,13
1.32259,103.86386,Opp Bendemeer Pr Sch,60141,11
1.32409,103.86764,Blk 54,60159,19
1.32477,103.86557,St. Michael's Pl,60161,17
1.32634,103.86834,MOM Svcs Ctr,60179,19
1.32715,103.86739,Aft Moonstone Lane,60181,4
1.31718,103.86196,Blk 7,60191,3
1.31795,103.86128,Boon Keng Stn/Blk 22,60199,3
1.32934,103.86839,18 Woodsville,60201,10
1.32986,103.86896,Sant Ritz,60209,11
1.32854,103.87049,Aft Tai Thong Cres,60211,9
1.32829,103.87049,Bef Siemens Ctr,60219,9
1.32212,103.87081,Blk 73/Geylang Bahru Stn,60221,7
1.32258,103.87024,Blk 68,60229,7
1.32355,103.86159,Blk 1,60241,1
1.32347,103.86194,Blk 14,60249,1
1.32451,103.86156,Blk 15,60251,1
1.33132,103.86892,Potong Pasir Stn Exit C,60261,11
1.33099,103.86923,Potong Pasir Stn Exit B,60269,11
1.33521,103.86663,Blk 122,61009,3
1.33339,103.86946,Blk 103,61011,6
1.3332,103.86976,Opp Blk 101,61019,9
1.33628,103.87019,Aft Woodleigh Pk,61021,7
1.33618,103.87056,Opp Woodleigh Pk,61029,8
1.33836,103.87045,Woodleigh Stn Exit B,61031,10
1.33845,103.87085,Woodleigh Stn Exit A,61039,12
1.34143,103.87049,Bef Braddell Rd,61041,10
1.34196,103.87097,Aft Bartley Rd,61049,12
1.33268,103.86823,Blk 148,61061,3
1.33276,103.86838,Potong Pasir Stn Exit A,61069,2
1.33599,103.86525,Blk 121,61079,3
1.33307,103.86531,Bet Blks 138/144,61089,3
1.33237,103.8671,Potong Pasir CC,61099,2
1.3356,103.8637,Blk 120,61101,3
1.3355,103.87204,Blk 114B,61111,4
1.33562,103.87194,Blk 103B,61119,4
1.34177,103.87548,Opp Blk 212,61121,4
1.34164,103.87418,Blk 212,61129,4
1.3389,103.8727,Opp Woodleigh Mall,61131,3
1.33893,103.8725,Woodleigh Mall,61139,3
1.34213,103.88345,Aft Bartley Rd,62011,9
1.34216,103.88405,Aft Rochdale Rd,62019,13
1.34369,103.88251,Wisma AUPE,62021,9
1.34411,103.88273,Paya Lebar Gdns,62029,13
1.34521,103.88171,Bef How Sun Rd,62031,9
1.34677,103.88091,Raya Gdn,62039,13
1.34838,103.88018,Opp Bethany Presby Ch,62041,9
1.34904,103.88023,Aft Paya Lebar Cres,62049,13
1.3517,103.87775,Aft Jln Chermat,62051,12
1.3517,103.8786,Blk 161,62059,16
1.34175,103.88177,Aft Upp Paya Lebar Rd,62061,4
1.3419,103.88165,Bef Upp Paya Lebar Rd,62069,4
1.34253,103.88003,Bartley Stn Exit A,62071,6
1.34297,103.87977,Aft Bartley Stn Exit B,62079,6
1.34384,103.87774,Opp Bartley Chr Ch,62081,4
1.34384,103.87825,Bartley Chr Ch,62089,6
1.34367,103.87519,Opp Gambir Ridge,62091,6
1.34413,103.87562,Gambir Ridge,62099,5
1.34325,103.87308,Bef Upp S'goon Rd,62101,5
1.34374,103.87381,Aft Upp S'goon Rd,62109,5
1.3451,103.87077,Aft Sommerville Rd,62111,10
1.34483,103.87109,Aft Sunshine Lodge,62119,12
1.34683,103.87157,Aft Wolskel Rd,62121,10
1.34699,103.87205,Blk 403,62129,12
1.34898,103.87277,S'Goon Stn Exit B,62131,12
1.34905,103.87341,S'goon Stn Exit A/Blk 413,62139,11
1.35149,103.87515,Opp Blk 1,62141,17
1.35169,103.87595,Forest Woods,62149,16
1.34569,103.87754,Rindu Terr,62151,2
1.34592,103.87765,Opp Rindu Terr,62159,2
1.3475,103.87602,St. Gabriel's Sec Sch,62161,2
1.34763,103.87647,Blk 426,62169,2
1.34821,103.87464,Blk 409,62171,2
1.34856,103.87483,Blk 421,62179,2
1.35056,103.87471,S'goon Stn Exit D/Blk 416,62189,3
1.35193,103.88032,Blk 158,62219,2
1.3509,103.88255,Opp The Minton,62221,8
1.35109,103.88212,The Minton,62229,6
1.34772,103.89029,Bef S'pore Girls' Hme,62231,7
1.34763,103.88999,Opp S'pore Girls' Hme,62239,7
1.34507,103.89118,SBST Hougang Depot,62241,8
1.34422,103.89103,Opp SBST Hougang Depot,62249,8
1.37746,103.9007,Bef Blk 471B,62251,1
1.37459,103.90292,Opp S'goon Sec Sch,62261,1
1.37591,103.89964,Opp Blk 475B,62271,1
1.34617,103.88781,Blk 181,62301,1
1.34639,103.88789,Blk 178A,62309,1
1.38371,103.89226,Buangkok Int,63009,5
1.35432,103.87824,Opp Upp S'goon Shop Ctr,63011,8
1.35348,103.878,Aft Upp S'goon Shop Ctr,63019,9
1.35706,103.88162,The Helping Hand,63021,8
1.35727,103.88218,Opp The Helping Hand,63029,9
1.3605,103.88535,Kovan Stn Exit B,63031,13
1.36004,103.8852,Kovan Stn Exit C,63039,16
1.36259,103.88755,Opp Glad Tidings Ch,63041,12
1.36219,103.88752,Glad Tidings Ch,63049,14
1.36415,103.88914,Opp Blk 370,63051,12
1.36438,103.88984,Blk 22,63059,14
1.36624,103.89129,Opp Blk 25,63061,11
1.36638,103.89195,Blk 25,63069,10
1.35978,103.89332,Opp Blk 248,63071,7
1.35979,103.89296,Blk 248,63079,7
1.35683,103.89261,Opp Blk 241,63081,7
1.35653,103.89213,Blk 241,63089,7
1.35385,103.89147,Opp Blk 106,63091,7
1.35358,103.89097,Blk 106,63099,7
1.35111,103.89031,Opp Blk 169,63101,8
1.35081,103.88984,Blk 172,63109,7
1.36059,103.88692,Aft Hougang Ave 1,63119,1
1.36121,103.89033,The Tembusu,63131,3
1.3612,103.89141,Aft En-Naeem Mque,63139,5
1.35402,103.87493,Blk 209,63141,6
1.3549,103.87453,S'goon Stadium,63149,6
1.35412,103.87758,Aft Upp S'goon Rd,63151,1
1.35517,103.87702,Highland Ctr,63159,1
1.35717,103.87531,S'goon Swim Cplx,63161,1
1.35704,103.87568,Opp S'goon Swim Cplx,63169,1
1.35999,103.87394,Bef Tai Seng Chr Ch,63179,17
1.36083,103.87346,Bef St. Helier's Ave,63181,13
1.36134,103.87363,Aft S'goon Gdn Way,63189,17
1.36426,103.87404,Aft S'goon Nth Ave 1,63191,12
1.36328,103.87384,Aft Phillips Ave,63199,15
1.36618,103.87492,Affinity At Serangoon,63201,12
1.36606,103.87522,Parkwood Residences,63209,17
1.36816,103.87578,Blk 138,63211,12
1.3685,103.87617,Bef Yio Chu Kang Chapel,63219,17
1.35799,103.88551,Kovan Hub,63221,7
1.35757,103.88512,Opp Kovan Hub,63229,4
1.35901,103.88763,Bet Blks 210/211,63231,7
1.35892,103.88788,Opp Blk 211,63239,5
1.3641,103.89214,Blk 21,63241,10
1.36396,103.89261,Blk 1,63249,11
1.35896,103.88914,Opp Blk 232,63261,8
1.35868,103.88911,Blk 232,63269,6
1.3564,103.88998,Blk 239,63271,8
1.35624,103.88983,Opp Yuying Sec Sch,63279,6
1.35415,103.88979,Blk 105 Mkt/FC,63281,8
1.35394,103.88966,Aljunied CC,63289,6
1.35225,103.88786,Opp Blk 115,63291,8
1.35263,103.88834,Blk 115,63299,6
1.35149,103.88531,Paya Lebar Meth Girls' Sch,63301,8
1.35206,103.88581,Blk 126,63309,6
1.3699,103.87781,Blk 634,63311,8
1.36923,103.87812,Opp Blk 634,63319,8
1.36914,103.88132,Blk 627,63321,6
1.36863,103.88201,Opp Blk 627,63329,5
1.36837,103.88493,Blk 615,63331,6
1.36812,103.88451,Opp Blk 615,63339,5
1.36751,103.88883,Opp Blk 709,63341,14
1.36687,103.88923,Blk 708,63349,12
1.36923,103.88786,Opp Hougang Swim Cplx,63351,8
1.36937,103.88779,Hougang Swim Cplx,63359,7
1.35745,103.87384,Opp S'goon Sports Cplx,63361,12
1.3567,103.87411,S'goon Sports Cplx,63369,16
1.37116,103.88514,Blk 679,63371,6
1.37084,103.88521,Blk 608,63379,7
1.37095,103.8824,Xinmin Pr Sch,63381,6
1.37064,103.88245,Opp Xinmin Pr Sch,63389,7
1.37088,103.88019,Blk 639,63391,6
1.37022,103.88028,Blk 632,63399,7
1.37061,103.89267,Hougang Ctrl Int,64009,23
1.36756,103.89276,Naung Residence,64011,10
1.36831,103.89394,Blk 302,64019,11
1.37789,103.89664,Blk 458,64021,7
1.37782,103.89688,Opp Blk 458,64029,9
1.377,103.89366,Blk 436,64031,7
1.37669,103.89394,Blk 434,64039,10
1.37017,103.89536,The Midtown,64041,13
1.37037,103.89603,Opp The Midtown,64049,10
1.3724,103.89777,Blk 465A,64051,13
1.37249,103.89837,Blk 355,64059,10
1.37558,103.90112,Opp S'goon Sec Sch,64061,5
1.37527,103.90135,S'goon Sec Sch,64069,6
1.37514,103.89725,Opp Punggol Pk,64071,8
1.37501,103.89775,Punggol Pk,64079,6
1.37603,103.88009,Hougang 1/Opp Blk 931A,64081,2
1.3761,103.8802,Opp Hougang 1,64089,1
1.37749,103.88149,Hougang Pr Sch,64091,5
1.37788,103.88157,Hougang Sec Sch,64099,2
1.37212,103.87654,Opp Gracehaven S Army,64101,11
1.37202,103.87691,Gracehaven S Army,64109,15
1.37594,103.87684,Opp Blk 953,64111,9
