planning_area,transacted_price,area_sqm,property_type,tenure,project_age_years,sale_month,project_name,street_name,postal_district,market_segment,floor_level,type_of_sale,type_of_area,unit_price_psf,unit_price_psm,source_quality
CENTRAL AREA,4120000,69.1,Terrace House,Freehold,5.0,2026-06,BLAIR PLAIN CONSERVATION AREA,SPOTTISWOODE PARK ROAD,02,Rest of Central Region,-,Resale,Land,5539,59624,not_clean
CENTRAL AREA,6000000,155.1,Terrace House,Freehold,5.0,2026-03,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,3594,38685,not_clean
CENTRAL AREA,4000000,119.2,Terrace House,Freehold,5.0,2025-10,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,3118,33557,not_clean
CENTRAL AREA,5900000,189.3,Terrace House,Freehold,5.0,2025-09,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,2896,31167,not_clean
CENTRAL AREA,6633333,138.6,Terrace House,Freehold,5.0,2025-03,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,4446,47860,not_clean
CENTRAL AREA,5200000,131.5,Terrace House,Freehold,5.0,2024-10,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,3674,39544,not_clean
CENTRAL AREA,6100000,173.8,Terrace House,Freehold,5.0,2024-06,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,3261,35098,not_clean
CENTRAL AREA,4950000,131.5,Terrace House,Freehold,5.0,2024-01,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,3497,37643,not_clean
CENTRAL AREA,4000000,82.0,Terrace House,Freehold,5.0,2023-09,BLAIR PLAIN CONSERVATION AREA,SPOTTISWOODE PARK ROAD,02,Rest of Central Region,-,Resale,Land,4532,48780,not_clean
CENTRAL AREA,4200000,149.4,Terrace House,Freehold,5.0,2023-03,BLAIR PLAIN CONSERVATION AREA,NEIL ROAD,02,Rest of Central Region,-,Resale,Land,2612,28112,not_clean
CENTRAL AREA,5900000,136.7,Terrace House,Freehold,5.0,2022-12,BLAIR PLAIN CONSERVATION AREA,EVERTON ROAD,02,Rest of Central Region,-,Resale,Land,4010,43160,not_clean
CENTRAL AREA,5300000,187.9,Terrace House,Freehold,5.0,2022-10,BLAIR PLAIN CONSERVATION AREA,EVERTON ROAD,02,Rest of Central Region,-,Resale,Land,2620,28206,not_clean
CENTRAL AREA,5950000,157.8,Terrace House,Freehold,5.0,2021-08,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,3503,37706,not_clean
CENTRAL AREA,5850000,193.6,Terrace House,Freehold,5.0,2021-06,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,2807,30217,not_clean
QUEENSTOWN,9980000,388.8,Semi-Detached House,Freehold,5.0,2025-12,LANDED HOUSING DEVELOPMENT,JERVOIS LANE,03,Rest of Central Region,-,Resale,Land,2385,25669,not_clean
QUEENSTOWN,15078688,478.9,Detached House,Freehold,5.0,2025-11,SHEPHERD'S HILL ESTATE,MERINO CRESCENT,03,Rest of Central Region,-,Resale,Land,2925,31486,not_clean
QUEENSTOWN,4900000,82.9,Terrace House,Freehold,5.0,2025-11,TIONG BAHRU ESTATE,ENG HOON STREET,03,Rest of Central Region,-,Resale,Land,5491,59107,not_clean
QUEENSTOWN,12000000,519.8,Detached House,Freehold,5.0,2025-10,SHEPHERD'S HILL ESTATE,MERINO CRESCENT,03,Rest of Central Region,-,Resale,Land,2145,23086,not_clean
QUEENSTOWN,8800000,335.7,Semi-Detached House,Freehold,5.0,2025-02,SRI MENANTI ESTATE,JERVOIS LANE,03,Rest of Central Region,-,Resale,Land,2435,26214,not_clean
QUEENSTOWN,12300000,526.6,Detached House,Freehold,5.0,2025-01,LANDED HOUSING DEVELOPMENT,STIRLING ROAD,03,Rest of Central Region,-,Resale,Land,2170,23357,not_clean
QUEENSTOWN,8200000,433.1,Detached House,Freehold,5.0,2024-05,SHEPHERD'S HILL ESTATE,MERINO CRESCENT,03,Rest of Central Region,-,Resale,Land,1759,18933,not_clean
QUEENSTOWN,8480000,468.0,Detached House,Freehold,5.0,2023-12,SHEPHERD'S HILL ESTATE,SHEPHERDS DRIVE,03,Rest of Central Region,-,Resale,Land,1683,18120,not_clean
QUEENSTOWN,8250000,483.0,Detached House,Freehold,5.0,2023-11,SHEPHERD'S HILL ESTATE,BARBARY WALK,03,Rest of Central Region,-,Resale,Land,1587,17081,not_clean
QUEENSTOWN,8300000,497.1,Detached House,Freehold,5.0,2023-08,LANDED HOUSING DEVELOPMENT,STIRLING ROAD,03,Rest of Central Region,-,Resale,Land,1551,16697,not_clean
QUEENSTOWN,7500000,478.9,Detached House,Freehold,5.0,2022-10,SHEPHERD'S HILL ESTATE,MERINO CRESCENT,03,Rest of Central Region,-,Resale,Land,1455,15661,not_clean
QUEENSTOWN,6950000,526.6,Detached House,Freehold,5.0,2022-01,LANDED HOUSING DEVELOPMENT,STIRLING ROAD,03,Rest of Central Region,-,Resale,Land,1226,13198,not_clean
BUKIT MERAH,4900000,227.7,Terrace House,Freehold,5.0,2026-06,LANDED HOUSING DEVELOPMENT,BUKIT TERESA ROAD,04,Rest of Central Region,-,Resale,Land,1999,21520,not_clean
BUKIT MERAH,5600000,347.2,Semi-Detached House,Freehold,5.0,2026-05,LANDED HOUSING DEVELOPMENT,WISHART ROAD,04,Rest of Central Region,-,Resale,Land,1498,16129,not_clean
BUKIT MERAH,17000000,858.8,Detached House,99 yrs lease commencing from 2007,5.0,2026-03,LANDED HOUSING DEVELOPMENT,COVE GROVE,04,Core Central Region,-,Resale,Land,1839,19795,not_clean
BUKIT MERAH,11500000,818.3,Detached House,99 yrs lease commencing from 2007,5.0,2026-01,LANDED HOUSING DEVELOPMENT,COVE DRIVE,04,Core Central Region,-,Resale,Land,1306,14054,not_clean
BUKIT MERAH,17800000,778.4,Detached House,99 yrs lease commencing from 2006,5.0,2026-01,LANDED HOUSING DEVELOPMENT,TREASURE ISLAND,04,Core Central Region,-,Resale,Land,2124,22867,not_clean
BUKIT MERAH,13600000,710.6,Detached House,99 yrs lease commencing from 2004,5.0,2026-01,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,04,Core Central Region,-,Resale,Land,1778,19139,not_clean
BUKIT MERAH,12000000,755.9,Detached House,99 yrs lease commencing from 2005,5.0,2025-11,PARADISE ISLAND,PARADISE ISLAND,04,Core Central Region,-,Resale,Land,1475,15875,not_clean
BUKIT MERAH,15200000,725.8,Detached House,99 yrs lease commencing from 2004,5.0,2025-09,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,04,Core Central Region,-,Resale,Land,1946,20942,not_clean
BUKIT MERAH,13888888,709.5,Detached House,99 yrs lease commencing from 2004,5.0,2025-08,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,04,Core Central Region,-,Resale,Land,1819,19576,not_clean
BUKIT MERAH,14800000,737.1,Detached House,99 yrs lease commencing from 2007,5.0,2025-02,SENTOSA COVE,COVE DRIVE,04,Core Central Region,-,Resale,Land,1865,20079,not_clean
BUKIT MERAH,12150000,679.7,Detached House,99 yrs lease commencing from 2005,5.0,2025-01,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,04,Core Central Region,-,Resale,Land,1661,17876,not_clean
BUKIT MERAH,5200000,326.4,Semi-Detached House,Freehold,5.0,2025-01,LANDED HOUSING DEVELOPMENT,WISHART ROAD,04,Rest of Central Region,-,Resale,Land,1480,15931,not_clean
BUKIT MERAH,14155000,740.2,Detached House,99 yrs lease commencing from 2007,5.0,2024-09,LANDED HOUSING DEVELOPMENT,COVE DRIVE,04,Core Central Region,-,Resale,Land,1777,19123,not_clean
BUKIT MERAH,16000000,805.9,Detached House,99 yrs lease commencing from 2005,5.0,2024-02,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,04,Core Central Region,-,Resale,Land,1844,19854,not_clean
BUKIT MERAH,13660000,609.0,Detached House,99 yrs lease commencing from 2008,5.0,2023-12,LANDED HOUSING DEVELOPMENT,PEARL ISLAND,04,Core Central Region,-,Resale,Land,2084,22430,not_clean
BUKIT MERAH,22000000,780.5,Detached House,99 yrs lease commencing from 2005,5.0,2023-11,LANDED HOUSING DEVELOPMENT,LAKESHORE VIEW,04,Core Central Region,-,Resale,Land,2619,28187,not_clean
BUKIT MERAH,20000000,819.3,Detached House,99 yrs lease commencing from 2007,5.0,2023-05,LANDED HOUSING DEVELOPMENT,COVE WAY,04,Core Central Region,-,Resale,Land,2268,24411,not_clean
BUKIT MERAH,14500000,802.0,Detached House,99 yrs lease commencing from 2005,5.0,2023-04,PARADISE ISLAND,PARADISE ISLAND,04,Core Central Region,-,Resale,Land,1680,18080,not_clean
BUKIT MERAH,18500000,814.0,Detached House,99 yrs lease commencing from 2006,5.0,2023-03,LANDED HOUSING DEVELOPMENT,LAKESHORE VIEW,04,Core Central Region,-,Resale,Land,2111,22727,not_clean
BUKIT MERAH,18500000,703.9,Detached House,99 yrs lease commencing from 2005,5.0,2023-03,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,04,Core Central Region,-,Resale,Land,2442,26282,not_clean
BUKIT MERAH,14000000,730.0,Detached House,99 yrs lease commencing from 2007,5.0,2023-03,SENTOSA COVE,COVE DRIVE,04,Core Central Region,-,Resale,Land,1782,19178,not_clean
BUKIT MERAH,17388888,731.0,Detached House,99 yrs lease commencing from 2007,5.0,2023-02,SENTOSA COVE,COVE DRIVE,04,Core Central Region,-,Resale,Land,2210,23788,not_clean
BUKIT MERAH,36500000,1248.1,Detached House,99 yrs lease commencing from 2005,5.0,2023-02,CORAL ISLAND,CORAL ISLAND,04,Core Central Region,-,Resale,Land,2717,29244,not_clean
BUKIT MERAH,17050000,737.1,Detached House,99 yrs lease commencing from 2007,5.0,2022-12,SENTOSA COVE,COVE DRIVE,04,Core Central Region,-,Resale,Land,2149,23131,not_clean
BUKIT MERAH,16000000,889.6,Detached House,99 yrs lease commencing from 2005,5.0,2022-11,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,04,Core Central Region,-,Resale,Land,1671,17986,not_clean
BUKIT MERAH,12800000,690.5,Detached House,99 yrs lease commencing from 2008,5.0,2022-10,LANDED HOUSING DEVELOPMENT,PEARL ISLAND,04,Core Central Region,-,Resale,Land,1722,18537,not_clean
BUKIT MERAH,22000000,853.0,Detached House,99 yrs lease commencing from 2007,5.0,2022-10,LANDED HOUSING DEVELOPMENT,COVE GROVE,04,Core Central Region,-,Resale,Land,2396,25791,not_clean
BUKIT MERAH,32000000,1479.9,Detached House,99 yrs lease commencing from 2006,5.0,2022-10,LANDED HOUSING DEVELOPMENT,COVE DRIVE,04,Core Central Region,-,Resale,Land,2009,21623,not_clean
BUKIT MERAH,21000000,852.6,Detached House,99 yrs lease commencing from 2007,5.0,2022-10,LANDED HOUSING DEVELOPMENT,COVE GROVE,04,Core Central Region,-,Resale,Land,2288,24631,not_clean
BUKIT MERAH,22800000,1048.4,Detached House,99 yrs lease commencing from 2006,5.0,2022-09,SENTOSA COVE,TREASURE ISLAND,04,Core Central Region,-,Resale,Land,2020,21747,not_clean
BUKIT MERAH,7400000,344.3,Terrace House,99 yrs lease commencing from 2005,5.0,2022-08,THE VILLAS @ SENTOSA COVE,OCEAN DRIVE,04,Core Central Region,-,Resale,Land,1997,21493,not_clean
BUKIT MERAH,18500000,876.6,Detached House,99 yrs lease commencing from 2005,5.0,2022-08,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,04,Core Central Region,-,Resale,Land,1961,21104,not_clean
BUKIT MERAH,34500000,1589.6,Detached House,99 yrs lease commencing from 2004,5.0,2022-07,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,04,Core Central Region,-,Resale,Land,2016,21704,not_clean
BUKIT MERAH,10800008,722.2,Detached House,99 yrs lease commencing from 2007,5.0,2022-07,SANDY ISLAND,SANDY ISLAND,04,Core Central Region,-,Resale,Land,1389,14954,not_clean
BUKIT MERAH,22000000,1061.9,Detached House,99 yrs lease commencing from 2007,5.0,2022-06,SENTOSA COVE,COVE DRIVE,04,Core Central Region,-,Resale,Land,1925,20718,not_clean
BUKIT MERAH,13150000,690.6,Detached House,99 yrs lease commencing from 2005,5.0,2022-06,PARADISE ISLAND,PARADISE ISLAND,04,Core Central Region,-,Resale,Land,1769,19041,not_clean
BUKIT MERAH,10800000,699.8,Detached House,99 yrs lease commencing from 2007,5.0,2022-05,SANDY ISLAND,SANDY ISLAND,04,Core Central Region,-,Resale,Land,1434,15433,not_clean
BUKIT MERAH,21000000,939.8,Detached House,99 yrs lease commencing from 2007,5.0,2022-04,LANDED HOUSING DEVELOPMENT,COVE GROVE,04,Core Central Region,-,Resale,Land,2076,22345,not_clean
BUKIT MERAH,13000000,675.4,Detached House,99 yrs lease commencing from 2005,5.0,2022-04,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,04,Core Central Region,-,Resale,Land,1788,19248,not_clean
BUKIT MERAH,18400000,830.9,Detached House,99 yrs lease commencing from 2007,5.0,2022-03,LANDED HOUSING DEVELOPMENT,COVE WAY,04,Core Central Region,-,Resale,Land,2057,22145,not_clean
BUKIT MERAH,17600000,732.8,Detached House,99 yrs lease commencing from 2005,5.0,2022-02,LANDED HOUSING DEVELOPMENT,LAKESHORE VIEW,04,Core Central Region,-,Resale,Land,2231,24017,not_clean
BUKIT MERAH,14300000,801.9,Detached House,99 yrs lease commencing from 2006,5.0,2022-01,SENTOSA COVE,TREASURE ISLAND,04,Core Central Region,-,Resale,Land,1657,17833,not_clean
BUKIT MERAH,11200000,858.5,Detached House,99 yrs lease commencing from 2007,5.0,2021-12,SANDY ISLAND,SANDY ISLAND,04,Core Central Region,-,Resale,Land,1212,13046,not_clean
BUKIT MERAH,15818000,787.7,Detached House,99 yrs lease commencing from 2007,5.0,2021-12,LANDED HOUSING DEVELOPMENT,COVE WAY,04,Core Central Region,-,Resale,Land,1866,20081,not_clean
BUKIT MERAH,23000000,987.5,Detached House,99 yrs lease commencing from 2005,5.0,2021-11,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,04,Core Central Region,-,Resale,Land,2164,23291,not_clean
BUKIT MERAH,6114000,412.0,Semi-Detached House,Freehold,5.0,2021-11,LANDED HOUSING DEVELOPMENT,BUKIT TERESA CLOSE,04,Rest of Central Region,-,Resale,Land,1379,14840,not_clean
BUKIT MERAH,6920000,357.9,Terrace House,99 yrs lease commencing from 2005,5.0,2021-10,OCEAN 8,OCEAN DRIVE,04,Core Central Region,-,Resale,Land,1796,19335,not_clean
BUKIT MERAH,17888000,812.5,Detached House,99 yrs lease commencing from 2005,5.0,2021-10,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,04,Core Central Region,-,Resale,Land,2045,22016,not_clean
BUKIT MERAH,7000000,238.7,Terrace House,99 yrs lease commencing from 2005,5.0,2021-10,THE VILLAS @ SENTOSA COVE,OCEAN DRIVE,04,Core Central Region,-,Resale,Land,2724,29326,not_clean
BUKIT MERAH,12000000,636.5,Detached House,99 yrs lease commencing from 2007,5.0,2021-10,LANDED HOUSING DEVELOPMENT,COVE DRIVE,04,Core Central Region,-,Resale,Land,1751,18853,not_clean
BUKIT MERAH,28000000,1475.4,Detached House,99 yrs lease commencing from 2005,5.0,2021-09,LANDED HOUSING DEVELOPMENT,LAKESHORE VIEW,04,Core Central Region,-,Resale,Land,1763,18978,not_clean
BUKIT MERAH,11500000,800.2,Detached House,99 yrs lease commencing from 2005,5.0,2021-09,LANDED HOUSING DEVELOPMENT,LAKESHORE VIEW,04,Core Central Region,-,Resale,Land,1335,14371,not_clean
BUKIT MERAH,9710000,678.8,Detached House,99 yrs lease commencing from 2007,5.0,2021-08,SANDY ISLAND,SANDY ISLAND,04,Core Central Region,-,Resale,Land,1329,14305,not_clean
BUKIT MERAH,14850000,840.0,Detached House,99 yrs lease commencing from 2006,5.0,2021-08,KASARA,OCEAN DRIVE,04,Core Central Region,-,Resale,Land,1642,17679,not_clean
BUKIT MERAH,10100000,726.3,Detached House,99 yrs lease commencing from 2005,5.0,2021-08,SENTOSA COVE,CORAL ISLAND,04,Core Central Region,-,Resale,Land,1292,13906,not_clean
BUKIT MERAH,15000000,754.9,Detached House,99 yrs lease commencing from 2007,5.0,2021-07,LANDED HOUSING DEVELOPMENT,COVE DRIVE,04,Core Central Region,-,Resale,Land,1846,19870,not_clean
BUKIT MERAH,21000000,810.5,Detached House,99 yrs lease commencing from 2005,5.0,2021-07,LANDED HOUSING DEVELOPMENT,LAKESHORE VIEW,04,Core Central Region,-,Resale,Land,2407,25910,not_clean
BUKIT MERAH,14800000,786.9,Detached House,99 yrs lease commencing from 2006,5.0,2021-07,SENTOSA COVE,TREASURE ISLAND,04,Core Central Region,-,Resale,Land,1747,18808,not_clean
BUKIT MERAH,4630000,354.3,Semi-Detached House,Freehold,5.0,2021-07,LANDED HOUSING DEVELOPMENT,WISHART ROAD,04,Rest of Central Region,-,Resale,Land,1214,13068,not_clean
BUKIT MERAH,20000000,778.9,Detached House,99 yrs lease commencing from 2006,5.0,2021-07,SENTOSA COVE,TREASURE ISLAND,04,Core Central Region,-,Resale,Land,2385,25677,not_clean
BUKIT MERAH,9888000,576.3,Detached House,99 yrs lease commencing from 2005,5.0,2021-07,CORAL ISLAND,CORAL ISLAND,04,Core Central Region,-,Resale,Land,1594,17158,not_clean
BUKIT MERAH,3380000,270.0,Terrace House,Freehold,5.0,2025-08,TERESA 8,BUKIT TERESA CLOSE,04,Rest of Central Region,-,Resale,Strata,1163,12519,not_clean
BUKIT MERAH,3910000,533.0,Detached House,Freehold,5.0,2024-12,TERESA VILLAS,BUKIT TERESA ROAD,04,Rest of Central Region,-,Resale,Strata,682,7336,not_clean
BUKIT MERAH,4700000,708.0,Detached House,Freehold,5.0,2024-04,TERESA VILLAS,BUKIT TERESA ROAD,04,Rest of Central Region,-,Resale,Strata,617,6638,not_clean
BUKIT MERAH,2975000,270.0,Terrace House,Freehold,5.0,2022-03,TERESA 8,BUKIT TERESA CLOSE,04,Rest of Central Region,-,Resale,Strata,1024,11019,not_clean
BUKIT MERAH,3100000,310.0,Terrace House,Freehold,5.0,2021-08,TERESA 8,BUKIT TERESA CLOSE,04,Rest of Central Region,-,Resale,Strata,929,10000,not_clean
CLEMENTI,5500000,183.5,Terrace House,956 yrs lease commencing from 1928,5.0,2026-06,WEST COAST GARDENS,WEST COAST LANE,05,Outside Central Region,-,Resale,Land,2785,29973,not_clean
CLEMENTI,6680000,244.6,Terrace House,956 yrs lease commencing from 1928,5.0,2026-06,WEST COAST GARDENS,WEST COAST GROVE,05,Outside Central Region,-,Resale,Land,2537,27310,not_clean
CLEMENTI,4398000,187.2,Terrace House,Freehold,5.0,2026-06,CHELSEA VILLAGE,JAMBOL PLACE,05,Rest of Central Region,-,Resale,Land,2183,23494,not_clean
CLEMENTI,2500000,171.1,Terrace House,99 yrs lease commencing from 1997,5.0,2026-06,THE CLEMENTVALE,MAS KUNING TERRACE,05,Outside Central Region,-,Resale,Land,1357,14611,not_clean
CLEMENTI,5700000,451.1,Terrace House,Freehold,5.0,2026-06,KINGSFORD TERRACE,PASIR PANJANG HILL,05,Rest of Central Region,-,Resale,Land,1174,12636,not_clean
CLEMENTI,6450000,270.4,Terrace House,956 yrs lease commencing from 1928,5.0,2026-06,WEST COAST GARDENS,WEST COAST PLACE,05,Outside Central Region,-,Resale,Land,2216,23854,not_clean
CLEMENTI,3960000,155.2,Terrace House,Freehold,5.0,2026-05,PASIR PANJANG GARDENS,JALAN MAS KUNING,05,Outside Central Region,-,Resale,Land,2370,25515,not_clean
CLEMENTI,7380000,289.89,Terrace House,Freehold,5.0,2026-05,HARBOUR RESIDENCES,PASIR PANJANG ROAD,05,Rest of Central Region,-,New Sale,Land,2365,25458,not_clean
CLEMENTI,5100000,238.7,Terrace House,Freehold,5.0,2026-05,LANDED HOUSING DEVELOPMENT,PASIR PANJANG HILL,05,Rest of Central Region,-,Resale,Land,1985,21366,not_clean
CLEMENTI,7050000,417.4,Semi-Detached House,Freehold,5.0,2026-04,FABER HILLS,FABER DRIVE,05,Outside Central Region,-,Resale,Land,1569,16890,not_clean
CLEMENTI,4980000,204.2,Terrace House,Freehold,5.0,2026-04,FABER HILLS,FABER DRIVE,05,Outside Central Region,-,Resale,Land,2266,24388,not_clean
CLEMENTI,4350000,166.4,Terrace House,Freehold,5.0,2026-04,CHELSEA VILLAGE,JAMBOL PLACE,05,Rest of Central Region,-,Resale,Land,2429,26142,not_clean
CLEMENTI,4650000,158.0,Terrace House,Freehold,5.0,2026-04,BANYAN PARK,CHWEE CHIAN ROAD,05,Rest of Central Region,-,Resale,Land,2734,29430,not_clean
CLEMENTI,3550000,139.0,Terrace House,Freehold,5.0,2026-03,PASIR PANJANG GARDENS,TAMAN MAS MERAH,05,Outside Central Region,-,Resale,Land,2373,25540,not_clean
CLEMENTI,2500000,374.4,Terrace House,Freehold,5.0,2026-03,LANDED HOUSING DEVELOPMENT,PASIR PANJANG ROAD,05,Rest of Central Region,-,Resale,Land,620,6677,not_clean
CLEMENTI,4920000,206.8,Terrace House,Freehold,5.0,2026-03,WESTPEAK TERRACE,WEST COAST WALK,05,Outside Central Region,-,Resale,Land,2210,23791,not_clean
CLEMENTI,4800000,186.3,Terrace House,956 yrs lease commencing from 1928,5.0,2026-03,WEST COAST GARDENS,WEST COAST PLACE,05,Outside Central Region,-,Resale,Land,2394,25765,not_clean
CLEMENTI,5950000,196.13,Terrace House,Freehold,5.0,2026-03,HARBOUR RESIDENCES,PASIR PANJANG ROAD,05,Rest of Central Region,-,New Sale,Land,2818,30337,not_clean
CLEMENTI,4000000,158.3,Terrace House,Freehold,5.0,2026-03,PASIR PANJANG GARDENS,JALAN MAS PUTEH,05,Outside Central Region,-,Resale,Land,2347,25268,not_clean
CLEMENTI,5580000,257.6,Terrace House,Freehold,5.0,2026-03,SPRINGWOOD,SPRINGWOOD CRESCENT,05,Rest of Central Region,-,Resale,Land,2012,21661,not_clean
CLEMENTI,4300000,168.0,Terrace House,956 yrs lease commencing from 1928,5.0,2026-02,WEST COAST GARDENS,WEST COAST GROVE,05,Outside Central Region,-,Resale,Land,2378,25595,not_clean
CLEMENTI,5900000,282.4,Detached House,Freehold,5.0,2026-02,LANDED HOUSING DEVELOPMENT,CHWEE CHIAN VIEW,05,Rest of Central Region,-,Resale,Land,1941,20892,not_clean
CLEMENTI,3850000,148.3,Terrace House,Freehold,5.0,2026-02,PASIR PANJANG GARDENS,JALAN MAS KUNING,05,Outside Central Region,-,Resale,Land,2412,25961,not_clean
CLEMENTI,4388000,186.2,Terrace House,956 yrs lease commencing from 1928,5.0,2026-01,WEST COAST GARDENS,WEST COAST PLACE,05,Outside Central Region,-,Resale,Land,2189,23566,not_clean
CLEMENTI,9438888,595.1,Semi-Detached House,Freehold,5.0,2026-01,LANDED HOUSING DEVELOPMENT,JALAN PELEPAH,05,Rest of Central Region,-,Resale,Land,1474,15861,not_clean
CLEMENTI,5150000,152.2,Terrace House,Freehold,5.0,2026-01,LANDED HOUSING DEVELOPMENT,JALAN PASIR RIA,05,Rest of Central Region,-,Resale,Land,3144,33837,not_clean
CLEMENTI,4300000,183.9,Terrace House,956 yrs lease commencing from 1928,5.0,2026-01,WEST COAST GARDENS,WEST COAST PLACE,05,Outside Central Region,-,Resale,Land,2172,23382,not_clean
CLEMENTI,4100000,184.7,Terrace House,956 yrs lease commencing from 1928,5.0,2025-12,WEST COAST GARDENS,WEST COAST LANE,05,Outside Central Region,-,Resale,Land,2062,22198,not_clean
CLEMENTI,4680000,213.3,Terrace House,Freehold,5.0,2025-12,SPRINGWOOD,SPRINGWOOD CRESCENT,05,Rest of Central Region,-,Resale,Land,2038,21941,not_clean
CLEMENTI,5800000,243.9,Semi-Detached House,Freehold,5.0,2025-12,LANDED HOUSING DEVELOPMENT,JALAN PASIR RIA,05,Rest of Central Region,-,Resale,Land,2209,23780,not_clean
CLEMENTI,4060888,163.5,Terrace House,Freehold,5.0,2025-11,LANDED HOUSING DEVELOPMENT,PASIR PANJANG DRIVE,05,Rest of Central Region,-,Resale,Land,2307,24837,not_clean
CLEMENTI,5928000,190.13,Terrace House,Freehold,5.0,2025-11,HARBOUR RESIDENCES,PASIR PANJANG ROAD,05,Rest of Central Region,-,New Sale,Land,2897,31179,not_clean
CLEMENTI,4500000,216.7,Terrace House,Freehold,5.0,2025-11,SPRINGWOOD,SPRINGWOOD AVENUE,05,Rest of Central Region,-,Resale,Land,1929,20766,not_clean
CLEMENTI,4200000,166.3,Terrace House,Freehold,5.0,2025-10,CHESTER PARK,LORONG SARHAD,05,Rest of Central Region,-,Resale,Land,2346,25256,not_clean
CLEMENTI,6108000,303.8,Detached House,Freehold,5.0,2025-10,LANDED HOUSING DEVELOPMENT,GUOK AVENUE,05,Rest of Central Region,-,Resale,Land,1868,20105,not_clean
CLEMENTI,5650000,151.8,Terrace House,Freehold,5.0,2025-10,LANDED HOUSING DEVELOPMENT,JALAN MAT JAMBOL,05,Rest of Central Region,-,Resale,Land,3458,37220,not_clean
CLEMENTI,5300000,222.1,Semi-Detached House,Freehold,5.0,2025-10,LANDED HOUSING DEVELOPMENT,WESTRIDGE WALK,05,Rest of Central Region,-,Resale,Land,2217,23863,not_clean
CLEMENTI,5700000,276.0,Semi-Detached House,Freehold,5.0,2025-10,LANDED HOUSING DEVELOPMENT,LORONG SARI,05,Rest of Central Region,-,Resale,Land,1919,20652,not_clean
CLEMENTI,4600000,171.7,Terrace House,Freehold,5.0,2025-09,LANDED HOUSING DEVELOPMENT,WEST COAST ROAD,05,Outside Central Region,-,Resale,Land,2489,26791,not_clean
CLEMENTI,6340000,203.56,Terrace House,Freehold,5.0,2025-09,HARBOUR RESIDENCES,PASIR PANJANG ROAD,05,Rest of Central Region,-,New Sale,Land,2893,31146,not_clean
CLEMENTI,5630000,184.25,Terrace House,Freehold,5.0,2025-09,HARBOUR RESIDENCES,PASIR PANJANG ROAD,05,Rest of Central Region,-,New Sale,Land,2839,30556,not_clean
CLEMENTI,6600000,538.2,Semi-Detached House,Freehold,5.0,2025-09,FABER HILLS,FABER CRESCENT,05,Outside Central Region,-,Resale,Land,1139,12263,not_clean
CLEMENTI,4000000,183.9,Terrace House,956 yrs lease commencing from 1928,5.0,2025-07,WEST COAST GARDENS,WEST COAST LANE,05,Outside Central Region,-,Resale,Land,2021,21751,not_clean
CLEMENTI,3900000,187.5,Terrace House,Freehold,5.0,2025-07,SPRINGWOOD,SPRINGWOOD CLOSE,05,Rest of Central Region,-,Resale,Land,1932,20800,not_clean
CLEMENTI,6450000,331.6,Semi-Detached House,Freehold,5.0,2025-07,FABER HILLS,FABER WALK,05,Outside Central Region,-,Resale,Land,1807,19451,not_clean
CLEMENTI,4200000,184.2,Terrace House,956 yrs lease commencing from 1928,5.0,2025-07,WEST COAST GARDENS,WEST COAST GREEN,05,Outside Central Region,-,Resale,Land,2118,22801,not_clean
CLEMENTI,6200000,340.9,Terrace House,Freehold,5.0,2025-06,SPRINGWOOD,SPRINGWOOD CLOSE,05,Rest of Central Region,-,Resale,Land,1690,18187,not_clean
CLEMENTI,4525000,229.0,Terrace House,Freehold,5.0,2025-05,PASIR PANJANG GARDENS,TAMAN MAS MERAH,05,Outside Central Region,-,Resale,Land,1836,19760,not_clean
