estate,segment,n,resid_raw,resid_shrunk,trust,archetype,conn,amen,green,sch,hlth,infra,childcare,community,sport,flood,dens,env,mom,provision,weight_covered,score,measured_only,band,value_score,value_band,mult,reported
BEDOK,private_resale,3316,-0.0008410527071154306,-0.0008335118878610262,decimal,B,5.0,5.0,4.0,4.4,5.0,5.0,5.0,5.0,5.0,1.0,4.0,3.0,3.0,4.47,1.0,4.47,False,B+,4.47372735131876,B+,1.0008338593554273,4.47
MARINE PARADE,private_resale,5422,5.715105417092303e-05,5.6836576618950595e-05,decimal,D,2.9,3.0,4.0,4.4,3.55,2.0,3.0,4.0,1.0,5.0,3.0,4.0,3.0,3.15,1.0,3.15,False,C,3.149820969871428,C,0.9999431650385486,3.15
