lat,lon,name,mainlevel_code,type_code,zone_code,nature_code,autonomous_ind,gifted_ind,ip_ind,sap_ind,postal_code
1.39696019936894,103.91170014084,GREENDALE SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,828866
1.3858892193692,103.767794469258,GREENRIDGE PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,677744
1.375600053443,103.763998914082,GREENRIDGE SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,678972
1.43989958331782,103.804725587384,GREENWOOD PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,737942
1.34440943525695,103.850212163078,GUANGYANG SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,579807
1.3743371707478,103.954544548905,HAI SING CATHOLIC SCHOOL,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,CO-ED SCHOOL,No,No,No,No,519421
1.31194344271383,103.902902557195,HAIG GIRLS' SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,GIRLS' SCHOOL,No,No,No,No,427072
1.31667646178347,103.784296227747,HENRY PARK PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,Yes,No,No,278790
1.35273576615912,103.752986488399,HILLGROVE SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,659250
1.37154508822261,103.896398814264,HOLY INNOCENTS' HIGH SCHOOL,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,No,534786
1.36693830877349,103.894114899795,HOLY INNOCENTS' PRIMARY SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,Yes,536451
1.32175999964553,103.857628468881,HONG WEN SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,Yes,327829
1.399550034492,103.913404855665,HORIZON PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,828819
1.37738245231461,103.880805274557,HOUGANG PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,534238
1.3776287955319,103.882539108965,HOUGANG SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,534256
1.35234365488339,103.721832320169,HUA YI SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,649371
1.42697284512936,103.844240226564,HUAMIN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,768857
1.3263580622144,103.803290365022,HWA CHONG INSTITUTION,MIXED LEVEL (S1-JC2),INDEPENDENT SCHOOL,WEST,CO-ED SCHOOL,No,Yes,Yes,Yes,269734
1.42896700684852,103.790607539185,INNOVA PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,737888
1.42768847665227,103.830425490093,JIEMIN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,768515
1.37196445720109,103.851763531681,JING SHAN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,569228
1.34787074766746,103.939221709073,JUNYUAN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,528906
1.35361315263537,103.933886165824,JUNYUAN SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,528933
1.38437406410733,103.75437461519,JURONG PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,688258
1.34843859698946,103.733156566858,JURONG PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,609476
1.33002032220942,103.723952961648,JURONG SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,618652
1.33917519796104,103.698803732244,JURONG WEST PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,648368
1.33525634688323,103.702098904443,JURONG WEST SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,648348
1.35128862770284,103.728907710089,JURONGVILLE SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,609790
1.3387227734133,103.687310264575,JUYING SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,649038
1.34552849960874,103.756449399351,KEMING PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,659762
1.30122773426098,103.764889617566,KENT RIDGE SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,127368
1.3373381935639,103.847148501824,KHENG CHENG SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,No,319580
1.31099674009193,103.888352029067,KONG HWA SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,EAST,CO-ED SCHOOL,No,No,No,Yes,399772
1.39356050497104,103.747362720939,KRANJI PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,689189
1.39005109871311,103.741190664845,KRANJI SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,689333
1.34939813669536,103.855018233311,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,No,579793
1.35017129930314,103.854983746416,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,No,579795
1.33820397704287,103.718089546664,LAKESIDE PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,618310
1.35424191127295,103.754165828711,LIANHUA PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,659243
1.36658417167238,103.956944585725,LOYANG VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,519073
1.32858023873554,103.901306904157,MAHA BODHI SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,EAST,CO-ED SCHOOL,No,No,No,Yes,408931
1.32747123084846,103.901719963831,MANJUSRI SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,CO-ED SCHOOL,No,No,No,No,408940
1.34139181236127,103.877740713449,MARIS STELLA HIGH SCHOOL,MIXED LEVEL (P1-S4),GOVERNMENT-AIDED SCH,NORTH,BOYS' SCHOOL,Yes,No,No,Yes,368051
1.43383904037059,103.773643013846,MARSILING PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,738927
1.43664424769955,103.776008090454,MARSILING SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,739110
1.34043840661368,103.839811736775,MARYMOUNT CONVENT SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,GIRLS' SCHOOL,No,No,No,No,297754
1.37637683547682,103.843252803742,MAYFLOWER PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,569878
1.36827266209722,103.835360726863,MAYFLOWER SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,569384
1.39485356081865,103.90857257736,MEE TOH SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,NORTH,CO-ED SCHOOL,No,No,No,No,828867
1.37550677054835,103.934953276155,MERIDIAN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,518798
1.3672468492013,103.948972483629,MERIDIAN SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,518901
1.33266213599636,103.783382114018,METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,GOVERNMENT-AIDED SCH,WEST,GIRLS' SCHOOL,No,No,No,No,599986
1.33266213599636,103.783382114018,METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S4),INDEPENDENT SCHOOL,WEST,GIRLS' SCHOOL,No,No,Yes,No,599986
1.35031939200985,103.741593577684,MILLENNIA INSTITUTE,CENTRALISED INSTITUTE,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,658965
1.37362445234082,103.889741457901,MONTFORT JUNIOR SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,NORTH,BOYS' SCHOOL,No,No,No,No,538786
1.37396131656912,103.888928372577,MONTFORT SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,NORTH,BOYS' SCHOOL,No,No,No,No,538785
1.38879582498399,103.890004423764,NAN CHIAU HIGH SCHOOL,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,NORTH,CO-ED SCHOOL,No,No,No,Yes,545079
1.39221149906592,103.891180928186,NAN CHIAU PRIMARY SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,NORTH,CO-ED SCHOOL,No,No,No,No,545080
1.30809529518605,103.768561446725,NAN HUA HIGH SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,Yes,No,No,Yes,129956
1.31920159956387,103.761095065761,NAN HUA PRIMARY SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,WEST,CO-ED SCHOOL,No,Yes,No,Yes,128806
