estate,segment,n,resid_raw,resid_shrunk,trust,conn,amen,green,sch,hlth,eldercare,infra,childcare,community,sport,flood,noise,air_noise,dens,env,mom,hawker,provision,weight_covered,score,provision_private,score_private,measured_only,band,value_score,value_band,mult,reported
BOON KENG,private_resale,1477,-0.024280216188669712,-0.023796867492146795,decimal,4.6,4.2,3.0,5.0,4.45,1.0,5.0,5.0,5.0,4.0,3.0,2.0,5.0,4.0,2.0,2.0,4.0,4.08,1.0,4.08,4.18,4.18,False,B+,4.178255671231653,B+,1.0240822723606993,4.18
BUKIT MERAH,private_resale,1688,0.03660933515581988,0.0359700568934947,decimal,4.5,4.6,3.0,5.0,4.45,1.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,2.0,2.0,5.0,4.2,1.0,4.2,4.29,4.29,False,B+,4.051610548618994,B+,0.9646691782426177,4.05
CLEMENTI,private_resale,7634,-0.06194501363237048,-0.061702535760636265,decimal,3.75,4.2,3.0,5.0,5.0,1.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,3.0,3.0,3.0,3.0,3.78,1.0,3.78,3.92,3.92,False,B,4.020581505954334,B+,1.0636459010461203,4.02
CANBERRA,private_resale,3284,-0.07830725571679586,-0.07759837892998118,decimal,3.3,3.15,4.0,4.4,2.9,1.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,3.0,2.0,3.56,1.0,3.56,3.66,3.66,False,B,3.8472512173935747,B,1.0806885442116783,3.85
HOLLAND VILLAGE,private_resale,5544,0.06733591601078004,0.06697350526798788,decimal,,,,,,,,,,,,,,,,,,,,4.01,,,,,3.7502321174391433,B,0.9352199794112578,3.75
BUKIT TIMAH,private_resale,1493,0.0897512001094114,0.0879832841519049,decimal,4.2,4.25,4.0,4.6,3.35,1.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,2.0,4.0,2.0,4.0,3.84,1.0,3.84,3.95,3.95,False,B,3.5165805487525397,B,0.9157761845709739,3.52
KALLANG,private_resale,964,0.16040742914955963,0.15556615865208795,decimal,4.6,3.95,4.0,3.8,3.45,1.0,5.0,5.0,4.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,5.0,4.07,1.0,4.07,4.08,4.08,False,B+,3.483636922753518,C,0.8559304478509873,3.48
DOVER,private_resale,5544,0.06733591601078004,0.06697350526798788,decimal,,,,,,,,,,,,,,,,,,,,3.6,,,,,3.366791925880528,C,0.9352199794112578,3.37
QUEENSTOWN,private_resale,5544,0.06733591601078004,0.06697350526798788,decimal,3.15,4.15,2.0,5.0,4.1,1.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,2.0,3.0,4.0,3.59,1.0,3.59,3.72,3.72,False,B,3.3574397260864153,C,0.9352199794112578,3.36
