lat,lon,name,stn_code,line,operational
1.3330275154394,103.742370487607,Jurong East,NS1,North South Line,1
1.34903331201636,103.749566478309,Bukit Batok,NS2,North South Line,1
1.35861159094192,103.751790910733,Bukit Gombak,NS3,North South Line,1
1.38536846992147,103.744084909492,Choa Chu Kang,NS4,North South Line,1
1.39753506936297,103.747405150236,Yew Tee,NS5,North South Line,1
1.42508698073648,103.762137459497,Kranji,NS7,North South Line,1
1.43252114855026,103.774074641403,Marsiling,NS8,North South Line,1
1.43681962961519,103.786066799253,Woodlands,NS9,North South Line,1
1.44058856161847,103.800990519771,Admiralty,NS10,North South Line,1
1.44905082158502,103.820046140211,Sembawang,NS11,North South Line,1
1.42944308477331,103.835005047246,Yishun,NS13,North South Line,1
1.41738337009565,103.832979908243,Khatib,NS14,North South Line,1
1.38175587099132,103.84494727118,Yio Chu Kang,NS15,North South Line,1
1.36993284962264,103.849558091776,Ang Mo Kio,NS16,North South Line,1
1.35101889777844,103.850057208608,Bishan,NS17,North South Line,1
1.34010520696434,103.846755921048,Braddell,NS18,North South Line,1
1.33262928096888,103.847502198048,Toa Payoh,NS19,North South Line,1
1.32044079120154,103.843825618748,Novena,NS20,North South Line,1
1.31257031730604,103.838031555215,Newton,NS21,North South Line,1
1.30242224836722,103.823868523249,Orchard,NS22,North South Line,1
1.30025287710542,103.839158336848,Somerset,NS23,North South Line,1
1.29891164362677,103.84629250696,Dhoby Ghaut,NS24,North South Line,1
1.29298990700923,103.852542630339,City Hall,NS25,North South Line,1
1.28393326234538,103.851463066212,Raffles Place,NS26,North South Line,1
1.27631114381584,103.854604975361,Marina Bay,NS27,North South Line,1
1.27102703612006,103.862447515736,Marina South Pier,NS28,North South Line,1
1.36712928287615,103.960557318417,Pasir Ris,EW1,East West Line,1
1.35619148271544,103.9546344625,Tampines,EW2,East West Line,1
1.34319707851829,103.953377214378,Simei,EW3,East West Line,1
1.32718729074675,103.946348600798,Tanah Merah,EW4,East West Line,1
1.32397996868158,103.929984495066,Bedok,EW5,East West Line,1
1.3210381335934,103.912947930851,Kembangan,EW6,East West Line,1
1.31978354916088,103.903225807255,Eunos,EW7,East West Line,1
1.3172473854035,103.892260753884,Paya Lebar,EW8,East West Line,1
1.3164326118157,103.882906044385,Aljunied,EW9,East West Line,1
1.31148890998818,103.871386541754,Kallang,EW10,East West Line,1
1.30739187893137,103.862784610013,Lavender,EW11,East West Line,1
1.30026468984101,103.855614760658,Bugis,EW12,East West Line,1
1.27656131737246,103.845725186759,Tanjong Pagar,EW15,East West Line,1
1.2802415328084,103.840052100136,Outram Park,EW16,East West Line,1
1.28619457890544,103.826998939732,Tiong Bahru,EW17,East West Line,1
1.28963453412887,103.81674097205,Redhill,EW18,East West Line,1
1.29455085184931,103.806077155982,Queenstown,EW19,East West Line,1
1.30250199924325,103.798228523336,Commonwealth,EW20,East West Line,1
1.30627534823257,103.790363200126,Buona Vista,EW21,East West Line,1
1.31140529320963,103.778637841909,Dover,EW22,East West Line,1
1.31511625277378,103.765191452888,Clementi,EW23,East West Line,1
1.34235282081401,103.732596738363,Chinese Garden,EW25,East West Line,1
1.34425911493819,103.720949087456,Lakeside,EW26,East West Line,1
1.33860405469845,103.706064622772,Boon Lay,EW27,East West Line,1
1.33758701106708,103.697321608474,Pioneer,EW28,East West Line,1
1.3277170408447,103.678374996165,Joo Koon,EW29,East West Line,1
1.31947090075208,103.660530461345,Gul Circle,EW30,East West Line,1
