estate,score
BISHAN,3.68
TAMPINES,3.61
TOA PAYOH,4.43
PASIR RIS,3.45
WOODLANDS,3.51
QUEENSTOWN,3.68
SEMBAWANG,3.97
SERANGOON,3.19
JURONG EAST,3.89
