lat,lon
1.4259703336645846,103.83198325394794
1.3623343243657162,103.96298872496173
1.3940037873762268,103.9122289282295
1.3633751380863746,103.89238712654141
1.3465249443827023,103.75882968001494
1.3494252637046726,103.83916128810523
1.3525264982393668,103.70180389393799
1.365004662415493,103.74792743556563
1.2830092301392926,103.78193311056893
1.324083797636913,103.94421737189131
1.3771179492438501,103.89364971380053
1.3647480412352293,103.74358659214069
1.3191743228657824,103.82910965356366
1.2805117917116666,103.82625264426268
1.393752026377035,103.89845504393186
1.274345705557676,103.82473619839627
1.435839587144592,103.79578284499352
1.3831325612250682,103.74832800766806
1.379194655541318,103.75645966795923
1.3210905048996628,103.78007143947126
1.340288692505916,103.85341874932348
1.4413142358010596,103.78593352441496
1.3515676468977342,103.86472599773913
1.3819844326998625,103.7509455718263
1.3483084994032837,103.95417102654667
1.360911122835086,103.8321709667645
1.2998508904576733,103.86354621839752
1.3393821063560807,103.73428306337533
1.3769723274110506,103.89420285745845
1.32793456819704,103.67797487234238
1.3068748012060893,103.91487632512334
1.3373942321597911,103.92265390123822
1.310930914577069,103.76720851912279
1.349199745822938,103.87357732572862
1.3565157933382126,103.9570131774462
1.438697163053754,103.77432882176295
1.3275602559618163,103.67838676108948
1.2732043293843058,103.81301403284473
1.3146322858049564,103.79012967999796
1.2802695141924108,103.82355279952314
1.3835848604756333,103.76073323600662
1.3005461661797464,103.86271827083121
1.382415029576526,103.74304732597834
1.3057209111022983,103.77002834626825
1.2743768087972565,103.82455496075956
1.4408828293211595,103.79285741809556
1.398485290173568,103.90414241333889
1.3712087339889307,103.8653461269867
1.3567077640432352,103.89259324841181
1.3105717335543843,103.79563280547075
1.304825402909728,103.7692451284342
1.4387391215423708,103.77435510847492
1.289364420141835,103.84005762697956
1.3286317090575133,103.77675120171124
1.328680134648803,103.7768731766542
1.3998844303583515,103.91074670824767
1.3171615661808593,103.80694900360433
1.4319075203737837,103.79038573246176
1.4352900253948606,103.80043181276575
1.3052491266343793,103.76973277550562
1.34411908401322,103.84325465600214
1.344877205161184,103.84286509916274
1.2793758092605898,103.81688246767253
1.3692828593713373,103.85818302071769
