estate,segment,n,resid_raw,resid_shrunk,trust,archetype,conn,amen,green,sch,hlth,infra,childcare,community,sport,flood,dens,env,mom,provision,weight_covered,score,measured_only,band,value_score,value_band,mult,reported
CLEMENTI,private_resale,154,-0.01272644737226969,-0.010651483126787618,decimal,B,4.3,4.2,3.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,2.0,4.02,1.0,4.02,False,B+,4.063047816721265,B+,1.0107084121197178,4.06
BUKIT TIMAH,private_resale,136,0.02445748626155453,0.02003745862392787,decimal,D,5.0,4.25,4.0,4.6,3.35,5.0,5.0,5.0,1.0,5.0,2.0,4.0,2.0,4.11,1.0,4.11,False,B+,4.028465643684909,B+,0.9801619571009509,4.03
CANBERRA,private_resale,145,-0.01670629983964922,-0.013842362724277291,decimal,B,4.3,3.15,4.0,4.4,2.9,4.0,5.0,4.0,4.0,5.0,2.0,4.0,3.0,3.77,1.0,3.77,False,B,3.8225485665590395,B,1.0139386118193738,3.82
DOVER,private_resale,30,0.06711421834532327,0.033557109172671816,band_only,,,,,,,,,,,,,,,,,3.7,,,3.577898834879134,B,0.9669996851024686,"B (band only, n<100)"
QUEENSTOWN,private_resale,30,0.06711421834532327,0.033557109172671816,band_only,B,3.6,4.15,2.0,5.0,4.1,3.0,5.0,5.0,5.0,3.0,4.0,2.0,3.0,3.66,1.0,3.66,False,B,3.539218847475035,B,0.9669996851024686,"B (band only, n<100)"
