estate,segment,n,resid_raw,resid_shrunk,trust,conn,amen,green,sch,hlth,eldercare,infra,childcare,community,sport,flood,noise,air_noise,dens,env,mom,hawker,provision,weight_covered,score,measured_only,band,value_score,value_band,mult,reported
BEDOK,private_resale,3316,-0.0008410527071252005,-0.0008335118878707047,decimal,4.45,5.0,4.0,4.4,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,4.0,4.0,3.0,3.0,5.0,4.44,1.0,4.44,False,B+,4.443702335538141,B+,1.0008338593554371,4.44
MARINE PARADE,private_resale,5422,5.7151054198456563e-05,5.683657664633499e-05,decimal,2.0,3.0,4.0,4.4,3.55,3.5,2.0,3.0,4.0,1.0,5.0,1.0,3.0,3.0,4.0,2.0,5.0,2.92,1.0,2.92,False,D,2.919834041912482,D,0.9999431650385213,2.92
