estate,conn,amen,green,sch,hlth,infra,dens,env,mom,provision,weight_covered,score,measured_only,band
BISHAN,5.0,5.0,5.0,4.4,4.45,5.0,4.0,4.0,3.0,4.61,1.0,4.61,False,A
TENGAH,4.4,3.1,4.0,3.6,2.55,1.0,3.0,4.0,,3.1,0.935,3.1,True,C
