estate,archetype,provision_band,provision_score,D_T0,D_T5,D_T15,yf_T0,yf_T0_band,yf_T5,yf_T5_band,yf_T15,yf_T15_band,yf_arrow,yf_T15_arrow,sp_T0,sp_T0_band,sp_T5,sp_T5_band,sp_T15,sp_T15_band,sp_arrow,sp_T15_arrow,ret_T0,ret_T0_band,ret_T5,ret_T5_band,ret_T15,ret_T15_band,ret_arrow,ret_T15_arrow,ls_T0,ls_T0_band,ls_T5,ls_T5_band,ls_T15,ls_T15_band,ls_arrow,ls_T15_arrow,gap_yf_T0,gap_yf_T0_label,gap_yf_T5,gap_yf_T5_label,gap_yf_T15,gap_yf_T15_label,gap_sp_T0,gap_sp_T0_label,gap_sp_T5,gap_sp_T5_label,gap_sp_T15,gap_sp_T15_label,gap_ret_T0,gap_ret_T0_label,gap_ret_T5,gap_ret_T5_label,gap_ret_T15,gap_ret_T15_label,gap_ls_T0,gap_ls_T0_label,gap_ls_T5,gap_ls_T5_label,gap_ls_T15,gap_ls_T15_label,provision_private,measured_only,value_hdb_score,value_hdb_band,value_hdb_basis,value_hdb_n,emp_score,emp_band,best_node,worst_node,lease_score,lease_band,lease_source,archetype_confidence,value_private_band,value_private_basis,value_private_score,value_private_n
LENTOR,F,C,3.43,1.0,1.0,1.0,3.383,C,3.41,C,3.41,C,→,→,3.49,C,3.519,B,3.519,B,→,→,3.511,B,3.543,B,3.543,B,→,→,3.404,C,3.434,C,3.434,C,→,→,-0.05,matched,-0.02,matched,-0.02,matched,0.06,matched,0.09,matched,0.09,matched,0.08,matched,0.11,matched,0.11,matched,-0.03,matched,0.0,matched,0.0,matched,3.4,False,no_data,N/A,no_hdb_segment,0.0,3.3,C,woodlands_rc,jld,5.0,A,manual_override,High,not_covered,not_covered,not_covered,not_covered
SENGKANG,B,B,3.83,1.0,1.0,1.0,3.925,B,3.995,B,4.081,B+,→,↑,3.655,B,3.762,B,3.923,B,↑,↑,3.876,B,3.96,B,4.063,B+,→,↑,3.603,B,3.708,B,3.86,B,↑,↑,0.09,matched,0.17,matched,0.25,matched,-0.18,matched,-0.07,matched,0.09,matched,0.05,matched,0.13,matched,0.23,matched,-0.23,matched,-0.12,matched,0.03,matched,3.91,False,4.139608468795225,B+,direct,18916.0,3.05,C,changi,jld,5.0,A,hdb_resale,High,not_covered,not_covered,not_covered,not_covered
PUNGGOL,E,C,3.46,1.0,1.0,1.0,3.387,C,3.418,C,3.502,B,→,↑,3.648,B,3.681,B,3.819,B,→,↑,3.244,C,3.281,C,3.356,C,→,↑,3.568,B,3.603,B,3.727,B,→,↑,-0.07,matched,-0.04,matched,0.04,matched,0.19,matched,0.22,matched,0.36,matched,-0.22,matched,-0.18,matched,-0.1,matched,0.11,matched,0.14,matched,0.27,matched,3.5,False,3.544283323887627,B,direct,16881.0,2.45,F,changi,jld,5.0,A,hdb_resale,High,not_covered,not_covered,not_covered,not_covered
YISHUN,B,B+,4.13,1.0,1.0,1.0,4.255,B+,4.291,B+,4.301,B+,→,→,4.033,B+,4.072,B+,4.084,B+,→,→,4.148,B+,4.191,B+,4.202,B+,→,→,3.947,B,3.988,B,4.0,B,→,→,0.12,matched,0.16,matched,0.17,matched,-0.1,matched,-0.06,matched,-0.05,matched,0.02,matched,0.06,matched,0.07,matched,-0.18,matched,-0.14,matched,-0.13,matched,4.2,False,4.483410872782973,B+,direct,15822.0,2.5,D,woodlands_rc,jld,3.0,B,hdb_resale,High,not_covered,not_covered,not_covered,not_covered
HOUGANG,B,B+,4.24,1.0,1.0,1.0,4.271,B+,4.307,B+,4.317,B+,→,→,4.186,B+,4.246,B+,4.257,B+,→,→,4.2,B+,4.245,B+,4.258,B+,→,→,4.098,B+,4.156,B+,4.168,B+,→,→,0.03,matched,0.07,matched,0.08,matched,-0.05,matched,0.01,matched,0.02,matched,-0.04,matched,0.0,matched,0.02,matched,-0.14,matched,-0.08,matched,-0.07,matched,4.25,False,4.349903090418446,B+,direct,11764.0,3.35,C,cbd,jld,3.0,B,hdb_resale,High,not_covered,not_covered,not_covered,not_covered
CHOA CHU KANG,B,B,3.79,1.0,1.0,1.0,3.87,B,4.007,B+,4.063,B+,↑,↑,3.64,B,3.85,B,3.943,B,↑,↑,3.718,B,3.905,B,3.972,B,↑,↑,3.576,B,3.773,B,3.863,B,↑,↑,0.08,matched,0.22,matched,0.27,matched,-0.15,matched,0.06,matched,0.15,matched,-0.07,matched,0.11,matched,0.18,matched,-0.21,matched,-0.02,matched,0.07,matched,3.83,False,4.46302743181821,B+,direct,10482.0,3.35,C,jld,changi,4.0,B+,hdb_resale,High,not_covered,not_covered,not_covered,not_covered
BUKIT BATOK,B,B,3.9,1.0,1.0,1.0,4.022,B+,4.126,B+,4.19,B+,↑,↑,3.762,B,3.937,B,4.032,B+,↑,↑,3.863,B,3.985,B,4.064,B+,↑,↑,3.688,B,3.855,B,3.946,B,↑,↑,0.12,matched,0.23,matched,0.29,matched,-0.14,matched,0.04,matched,0.13,matched,-0.04,matched,0.08,matched,0.16,matched,-0.21,matched,-0.04,matched,0.05,matched,3.93,False,4.1562038210032215,B+,direct,9855.0,4.08,B+,jld,changi,3.0,B,hdb_resale,High,not_covered,not_covered,not_covered,not_covered
BUKIT MERAH,B,B+,4.31,1.0,1.0,1.0,4.394,B+,4.409,B+,4.415,B+,→,→,4.193,B+,4.203,B+,4.209,B+,→,→,4.363,B+,4.378,B+,4.385,B+,→,→,4.203,B+,4.213,B+,4.219,B+,→,→,0.08,matched,0.1,matched,0.11,matched,-0.12,matched,-0.11,matched,-0.1,matched,0.05,matched,0.07,matched,0.08,matched,-0.11,matched,-0.1,matched,-0.09,matched,4.36,False,3.4980531332386,C,direct,8897.0,4.22,B+,cbd,woodlands_rc,3.0,B,hdb_resale,High,not_covered,not_covered,not_covered,not_covered
BUKIT PANJANG,B,B+,4.12,1.0,1.0,1.0,4.174,B+,4.192,B+,4.198,B+,→,→,4.083,B+,4.095,B+,4.098,B+,→,→,4.134,B+,4.153,B+,4.158,B+,→,→,3.93,B,3.941,B,3.945,B,→,→,0.05,matched,0.07,matched,0.08,matched,-0.04,matched,-0.03,matched,-0.02,matched,0.01,matched,0.03,matched,0.04,matched,-0.19,matched,-0.18,matched,-0.18,matched,4.19,False,4.6024359852398256,A,direct,8317.0,3.35,C,jld,changi,4.0,B+,hdb_resale,Medium,not_covered,not_covered,not_covered,not_covered
GEYLANG,B,B,3.88,1.0,1.0,1.0,4.045,B+,4.045,B+,4.06,B+,→,→,3.611,B,3.611,B,3.628,B,→,→,4.085,B+,4.085,B+,4.101,B+,→,→,3.669,B,3.669,B,3.687,B,→,→,0.17,matched,0.17,matched,0.18,matched,-0.27,matched,-0.27,matched,-0.25,matched,0.21,matched,0.21,matched,0.22,matched,-0.21,matched,-0.21,matched,-0.19,matched,3.94,False,3.5008615017085964,B,direct,5796.0,4.12,B+,cbd,woodlands_rc,2.0,C,hdb_resale,High,not_covered,not_covered,not_covered,not_covered
CLEMENTI,B,B,3.83,1.0,1.0,1.0,3.918,B,3.941,B,4.005,B+,→,→,3.656,B,3.681,B,3.78,B,→,↑,3.875,B,3.903,B,3.977,B,→,↑,3.599,B,3.626,B,3.722,B,→,↑,0.09,matched,0.11,matched,0.17,matched,-0.17,matched,-0.15,matched,-0.05,matched,0.04,matched,0.07,matched,0.15,matched,-0.23,matched,-0.2,matched,-0.11,matched,3.93,False,3.468455573397618,C,direct,5181.0,4.28,B+,jld,woodlands_rc,3.0,B,hdb_resale,High,B,direct,3.938038479609303,154
CENTRAL AREA,X,N/R,4.45,1.0,1.0,1.0,,N/R,,N/R,,N/R,→,→,,N/R,,N/R,,N/R,→,→,,N/R,,N/R,,N/R,→,→,,N/R,,N/R,,N/R,→,→,,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,4.45,False,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,High,N/R,N/R,N/R,N/R
BUKIT TIMAH,D,B,3.83,1.0,1.0,1.0,3.89,B,3.905,B,3.905,B,→,→,3.754,B,3.764,B,3.764,B,→,→,3.761,B,3.777,B,3.777,B,→,→,3.671,B,3.681,B,3.681,B,→,→,0.06,matched,0.07,matched,0.07,matched,-0.08,matched,-0.07,matched,-0.07,matched,-0.07,matched,-0.05,matched,-0.05,matched,-0.16,matched,-0.15,matched,-0.15,matched,3.91,False,2.8725,D,direct,567.0,3.88,B,one_north,changi,2.0,C,hdb_resale,High,B,direct,3.6293871276035605,136
JURONG WEST,B,B,3.67,1.0,1.0,1.0,3.777,B,4.066,B+,4.144,B+,↑,↑,3.538,B,4.061,B+,4.179,B+,↑,↑,3.588,B,3.935,B,4.043,B+,↑,↑,3.473,C,3.971,B,4.081,B+,↑,↑,0.11,matched,0.4,matched,0.47,matched,-0.13,matched,0.39,matched,0.51,punches_above,-0.08,matched,0.27,matched,0.37,matched,-0.2,matched,0.3,matched,0.41,matched,3.77,False,4.189054205417254,B+,direct,15342.0,3.88,B,jld,changi,3.0,B,hdb_resale,High,not_covered,not_covered,not_covered,not_covered
KALLANG,B,B+,4.11,1.0,1.0,1.0,4.092,B+,4.108,B+,4.108,B+,→,→,4.066,B+,4.115,B+,4.115,B+,→,→,4.125,B+,4.151,B+,4.151,B+,→,→,4.092,B+,4.137,B+,4.137,B+,→,→,-0.02,matched,-0.0,matched,-0.0,matched,-0.04,matched,0.0,matched,0.0,matched,0.01,matched,0.04,matched,0.04,matched,-0.02,matched,0.03,matched,0.03,matched,4.09,False,3.512778722097412,B,proxy_from:KALLANG/WHAMPOA,14208.0,3.92,B,cbd,woodlands_rc,3.0,B,hdb_resale,High,not_covered,not_covered,not_covered,not_covered
HOLLAND VILLAGE,D,B+,4.06,1.0,1.0,1.0,4.135,B+,4.135,B+,4.135,B+,→,→,4.047,B+,4.047,B+,4.047,B+,→,→,4.064,B+,4.064,B+,4.064,B+,→,→,3.914,B,3.914,B,3.914,B,→,→,0.08,matched,0.08,matched,0.08,matched,-0.01,matched,-0.01,matched,-0.01,matched,0.0,matched,0.0,matched,0.0,matched,-0.15,matched,-0.15,matched,-0.15,matched,4.11,False,no_data,N/A,no_hdb_segment,0.0,4.17,B+,one_north,woodlands_rc,3.0,B,hdb_resale,High,not_covered,not_covered,not_covered,not_covered
