estate,segment,n,resid_raw,resid_shrunk,trust,conn,amen,green,sch,hlth,eldercare,infra,childcare,community,sport,flood,noise,air_noise,jtc_industrial,air_quality,stewardship,env,dens,mom,hawker,provision,weight_covered,score,provision_private,score_private,measured_only,band,value_score,value_band,mult,value_basis,reported
TAMPINES,hdb_resale,16029,0.039045145956123406,0.03897220527621282,decimal,3.8,3.4,3.3,5.0,4.45,5.0,3.0,5.0,5.0,3.0,5.0,2.0,4.0,3.0,3.0,5.0,2.5,2.0,4.0,1.8,3.56,1.0,3.56,3.61,3.61,False,B,3.4239276903629268,C,0.9617774411131816,direct,3.42
GEYLANG,hdb_resale,5796,0.10335829812878128,0.10282607208280398,decimal,3.9,4.65,3.3,5.0,4.45,5.0,4.0,5.0,5.0,4.0,5.0,1.0,2.0,4.0,3.0,5.0,3.0,1.0,3.0,4.4,3.76,1.0,3.76,3.77,3.77,False,B,3.392587434645444,C,0.9022838921929373,direct,3.39
BOON KENG,hdb_resale,14208,0.15734718192329478,0.1570156455096342,decimal,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,3.3332936779026534,C,0.854690686641706,proxy_from:KALLANG/WHAMPOA,3.33
CLEMENTI,hdb_resale,5181,0.09972953618824754,0.09915538802366343,decimal,3.75,4.2,3.0,5.0,5.0,4.5,4.0,5.0,5.0,4.0,5.0,2.0,3.0,3.0,2.0,5.0,4.5,1.0,3.0,3.4,3.67,1.0,3.67,3.72,3.72,False,B,3.323559257015472,C,0.905601977388412,direct,3.32
CENTRAL AREA,hdb_resale,1815,0.26140147526174395,0.2571510447696829,decimal,4.6,5.0,5.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,3.0,4.5,5.0,1.0,3.0,4.8,4.26,1.0,4.26,4.24,4.24,False,B+,3.2940510038876147,C,0.7732514093632898,direct,3.29
WOODLEIGH,hdb_resale,7637,0.09251540152804871,0.09215340047863671,decimal,,,,,,,,,,,,,,,,,,,,,,,3.59,,,,,3.27395522204593,C,0.9119652429097299,proxy_from:TOA PAYOH,3.27
KALLANG,hdb_resale,14208,0.15734718192329478,0.1570156455096342,decimal,,,,,,,,,,,,,,,,,,,,,,,3.83,,,,,3.273465329837734,C,0.854690686641706,proxy_from:KALLANG/WHAMPOA,3.27
BUKIT MERAH,hdb_resale,8897,0.20943516405412055,0.20873133802951835,decimal,4.5,4.6,3.0,5.0,4.45,4.5,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,1.0,2.0,4.4,4.03,1.0,4.03,4.03,4.03,False,B+,3.270801421566487,C,0.811613255971833,direct,3.27
BUKIT TIMAH,hdb_resale,567,0.40557556674835205,0.3851948850022031,decimal,4.2,4.25,4.0,4.6,3.35,3.5,5.0,5.0,5.0,1.0,5.0,1.0,2.0,3.0,3.0,5.0,5.0,2.0,4.0,4.8,3.92,1.0,3.92,3.94,3.94,False,B,2.94,D,0.75,direct,2.94
QUEENSTOWN,hdb_resale,6353,0.20532614998762,0.20436112029944375,decimal,3.15,4.15,2.0,5.0,4.1,5.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,1.0,3.0,5.0,3.53,1.0,3.53,3.58,3.58,False,B,2.8775428435081283,D,0.8151679443365802,direct,2.88
SERANGOON,hdb_resale,4095,0.10411900089751036,0.10336177180007383,decimal,2.1,3.75,3.0,5.0,3.0,1.5,2.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,4.5,2.0,4.0,4.4,3.18,1.0,3.18,3.29,3.29,False,C,2.867726125543706,D,0.9018006684099703,direct,2.87
DOVER,hdb_resale,6353,0.20532614998762,0.20436112029944375,decimal,,,,,,,,,,,,,,,,,,,,,,,3.46,,,,,2.8204810874045676,D,0.8151679443365802,proxy_from:QUEENSTOWN,2.82
BISHAN,hdb_resale,4063,0.26576871748400066,0.26382074252076576,decimal,3.6,3.4,4.0,5.0,3.35,4.5,4.0,4.0,4.0,5.0,5.0,2.0,3.0,4.0,3.0,5.0,5.0,2.0,3.0,1.8,3.61,1.0,3.61,3.65,3.65,False,B,2.772881493359247,D,0.7681112169970215,direct,2.77
MARINE PARADE,hdb_resale,1419,0.25959871487012975,0.25422400027654507,decimal,2.0,3.0,4.3,4.4,3.55,3.5,2.0,3.0,4.0,1.0,5.0,1.0,3.0,4.0,3.0,5.0,4.0,1.0,2.0,3.4,2.81,1.0,2.81,2.88,2.88,False,D,2.1792057663801483,F,0.7755180663274549,direct,2.18
LENTOR,hdb_resale,0,,,band_only,,,,,,,,,,,,,,,,,,,,,,,3.52,,,,,,N/A,,no_hdb_segment,no private-segment match
HOLLAND VILLAGE,hdb_resale,0,,,band_only,,,,,,,,,,,,,,,,,,,,,,,3.98,,,,,,N/A,,no_hdb_segment,no private-segment match
