lat,lon,name
1.3856119,103.9025772,FairPrice
1.3794345,103.88795,Giant
1.3725281,103.8939238,FairPrice
1.3824983,103.893624,FairPrice
1.3923199,103.904213,FairPrice
1.3943753,103.912923,FairPrice
1.3575602,103.8841371,FairPrice
1.3815806,103.8970373,Sheng Siong Supermarket
1.3312172,103.9483149,Giant Hypermarket
1.3014954,103.839658,FairPrice Finest
1.3123256,103.9253617,FairPrice
1.3373298,103.9218002,FairPrice
1.301342,103.9071774,FairPrice Finest
1.3001235,103.8560555,Cold Storage Fresh
1.2925348,103.8113068,FairPrice
1.3128156,103.7658379,FairPrice
1.2812832,103.8100855,FairPrice
1.441726,103.8250677,Giant
1.4495608,103.8186291,FairPrice
1.4479385,103.8195511,FairPrice
1.4309761,103.7942332,Shop N Save
1.3176941,103.7859561,Cold Storage
1.3588218,103.7504894,Prime
1.3416023,103.6969558,Giant
1.3255871,103.7251859,Sheng Siong
1.3416603,103.6912856,Prime Supermarket
1.3221125,103.738207,Sheng Siong
1.3205044,103.7426546,FairPrice
1.3215309,103.9555771,Cold Storage
1.3586036,103.7492177,Giant
1.3257807,103.9316518,FairPrice
1.3244941,103.9310939,Sheng Siong
1.2932215,103.8268848,FairPrice
1.3153813,103.7643947,FairPrice
1.350271,103.8485161,FairPrice
1.3238372,103.8557907,FairPrice
1.3101598,103.7953924,Cold Storage Fresh
1.2909214,103.8026888,FairPrice
1.2864697,103.8265783,FairPrice
1.3874746,103.8693009,CS Fresh
1.3916794,103.8948873,Cold Storage
1.375571,103.8795488,FairPrice
1.3677466,103.8364503,Sheng Siong
1.3702891,103.8434139,Sheng Shiong
1.3693018,103.8488529,FairPrice Xtra
1.3543366,103.8302338,FairPrice Finest
1.2777764,103.8310198,ACE Marketplace
1.2973182,103.8383052,FairPrice
1.3307365,103.7955242,Cold Storage
1.3010098,103.8450553,Cold Storage
1.4350439,103.7867602,NTUC Fairprice
1.3004599,103.8371761,FairPrice Finest
1.3396665,103.7055473,FairPrice Xtra
1.3510423,103.8722775,FairPrice Xtra
1.3340708,103.7472706,Giant
1.3779605,103.73864,Giant
1.3805261,103.7600191,Sheng Siong
1.3020336,103.8763916,Cold Storage
1.2744573,103.8436539,FairPrice Finest
1.2760543,103.843136,FairPrice
1.3382406,103.7783181,FairPrice
1.3464969,103.7121589,FairPrice
1.3059351,103.8328831,FairPrice
1.3345959,103.9627854,FairPrice Finest
1.2829291,103.8175344,FairPrice
1.3239226,103.8098403,FairPrice
1.380491,103.7641782,FairPrice Finest
1.3430246,103.9528291,FairPrice
1.3521442,103.9444897,FairPrice
1.3724307,103.9496345,FairPrice
1.3760422,103.9553166,FairPrice
1.3186022,103.8944483,FairPrice
1.320599,103.8442909,FairPrice
1.3849878,103.7450943,FairPrice
1.3971564,103.7466885,FairPrice
1.2643809,103.820063,Cold Storage
1.2938703,103.8319081,CS Fresh
1.2994785,103.7875648,Cold Storage
1.3021406,103.8353196,Cold Storage
1.3037215,103.7657354,Cold Storage
1.3070599,103.7879849,Cold Storage Fresh
1.3168348,103.8434897,Cold Storage
1.3220913,103.7702616,Grindelwald
1.3501335,103.8732256,Cold Storage
1.3539198,103.9452276,Cold Storage
1.3593977,103.8849418,Cold Storage
1.2934639,103.8531044,Cold Storage Fresh
1.3035875,103.8359057,CS Fresh Gold
1.3048473,103.8242276,Cold Storage Fresh Gold
1.3049612,103.9052732,CS Fresh
1.3041529,103.8316657,ThreeSixty
1.3235953,103.7675432,Cold Storage
1.3381024,103.9234133,Sheng Siong
1.3151914,103.8495849,FairPrice
1.3150492,103.7711263,Sheng Siong
1.3144431,103.7711879,FairPrice
1.3201477,103.8873042,Giant
1.3796884,103.9362379,FairPrice
1.4403979,103.8005616,Giant
1.3237921,103.9107829,Econ Minimart
1.3236799,103.9108467,FairPrice
1.2855811,103.8451805,FairPrice
1.3114628,103.8568212,Daiso
1.3115258,103.8563897,FairPrice
1.320133,103.843935,Cold Storage
1.4456477,103.7979298,Giant
1.4401493,103.8016636,PRIME
1.4458917,103.7978443,PRIME
1.4385636,103.7952187,NTUC Fairprice
1.430908,103.7907695,NTUC Fairprice
1.448068,103.801034,Fortune Supermarket
1.4425618,103.7904903,Giant
1.4325561,103.7744928,NTUC Fairprice
1.4289998,103.8350138,FairPrice
1.4292976,103.8357691,Cold Storage
1.3234468,103.8173675,Seven eleven
1.310071,103.7687703,Sheng Siong
1.3571748,103.8438434,FairPrice
1.3331979,103.7428255,FairPrice Xtra
1.3417884,103.6885444,Nafisa Minimart
1.3415839,103.6920953,Indian (Tamil) Grocery Store
1.3418018,103.6927404,Indian Grocery Store
1.3269686,103.8464206,FairPrice
1.3036947,103.9029454,FairPrice Finest
1.3082402,103.907885,Fairprice Xpress
1.3014833,103.7985027,Sheng Siong
1.2847507,103.8293553,FairPrice
1.4315023,103.7737451,Sheng Siong
1.3652321,103.8650384,FairPrice
1.331762,103.8505926,FairPrice
1.3098863,103.902122,Cold Storage
1.3970146,103.7472724,FairPrice
1.3782839,103.754076,Sheng Siong
1.3807961,103.7518581,Prime
1.3800132,103.7532539,FairPrice
1.3778535,103.744165,Prime
1.3088289,103.8619207,FairPrice
1.3321583,103.8573011,Giant
1.3075324,103.8289836,Cold Storage
1.3041749,103.8728359,FairPrice Xtra @ Sports Hub
1.312588,103.9000383,Bes Price Minimart
1.3146529,103.8985494,Gateway Minimart & Trading
1.3151015,103.8982503,Al Barakah
1.3142952,103.8988241,81 Wholesalers & Trading
1.3095028,103.8574489,I-Tec
1.2804239,103.8473639,Koryo Mart
