source_url,source_slug,name,row_count,status,error
https://www.edgeprop.sg/landed-house/chwee-chian-view,chwee-chian-view,CHWEE CHIAN VIEW,20,ok,
https://www.edgeprop.sg/landed-house/classical-terrace,classical-terrace,CLASSICAL TERRACE,40,ok,
https://www.edgeprop.sg/landed-house/clementi-gardens,clementi-gardens,CLEMENTI GARDENS,3,ok,
https://www.edgeprop.sg/landed-house/clementi-green,clementi-green,CLEMENTI GREEN,30,ok,
https://www.edgeprop.sg/landed-house/clementi-park,clementi-park,CLEMENTI PARK,0,ok,
https://www.edgeprop.sg/landed-house/clover-park,clover-park,CLOVER PARK,0,ok,
https://www.edgeprop.sg/landed-house/cluny-park,cluny-park,CLUNY PARK,3,ok,
https://www.edgeprop.sg/landed-house/clydescove,clydescove,CLYDESCOVE,9,ok,
https://www.edgeprop.sg/landed-house/clydesville,clydesville,CLYDESVILLE,0,ok,
https://www.edgeprop.sg/landed-house/coastal-villas,coastal-villas,COASTAL VILLAS,0,ok,
https://www.edgeprop.sg/landed-house/colchester-park,colchester-park,COLCHESTER PARK,0,ok,
https://www.edgeprop.sg/landed-house/comfort-garden,comfort-garden,COMFORT GARDEN,0,ok,
https://www.edgeprop.sg/landed-house/coral-island,coral-island,CORAL ISLAND,9,ok,
https://www.edgeprop.sg/landed-house/coral-park,coral-park,CORAL PARK,0,ok,
https://www.edgeprop.sg/landed-house/corona-court,corona-court,CORONA COURT,4,ok,
https://www.edgeprop.sg/landed-house/coronation-gardens,coronation-gardens,CORONATION GARDENS,6,ok,
https://www.edgeprop.sg/landed-house/coronation-village,coronation-village,CORONATION VILLAGE,20,ok,
https://www.edgeprop.sg/landed-house/coronation-ville,coronation-ville,CORONATION VILLE,10,ok,
https://www.edgeprop.sg/landed-house/coronation-west-park,coronation-west-park,CORONATION WEST PARK,3,ok,
https://www.edgeprop.sg/landed-house/cotswold-villas,cotswold-villas,COTSWOLD VILLAS,10,ok,
