Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
CANBERRA CRESCENT RESIDENCES,"2,336,000","1,173.28","1,991",Feb-26,CANBERRA CRESCENT,New Sale,Strata,109,"21,431",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,11 to 15
CANBERRA CRESCENT RESIDENCES,"2,426,000","1,216.33","1,995",Feb-26,CANBERRA CRESCENT,New Sale,Strata,113,"21,469",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"2,011,000",990.29,"2,031",Feb-26,CANBERRA CRESCENT,New Sale,Strata,92,"21,859",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,11 to 15
CANBERRA CRESCENT RESIDENCES,"2,257,200","1,162.51","1,942",Feb-26,CANBERRA CRESCENT,New Sale,Strata,108,"20,900",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"1,998,200",990.29,"2,018",Feb-26,CANBERRA CRESCENT,New Sale,Strata,92,"21,720",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"2,035,600",990.29,"2,056",Feb-26,CANBERRA CRESCENT,New Sale,Strata,92,"22,126",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"2,476,000","1,216.33","2,036",Feb-26,CANBERRA CRESCENT,New Sale,Strata,113,"21,912",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,11 to 15
CANBERRA CRESCENT RESIDENCES,"2,324,300","1,173.28","1,981",Jan-26,CANBERRA CRESCENT,New Sale,Strata,109,"21,324",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,295,600","1,173.28","1,957",Jan-26,CANBERRA CRESCENT,New Sale,Strata,109,"21,061",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"2,307,100","1,173.28","1,966",Jan-26,CANBERRA CRESCENT,New Sale,Strata,109,"21,166",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,312,800","1,173.28","1,971",Jan-26,CANBERRA CRESCENT,New Sale,Strata,109,"21,218",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"1,732,200",871.88,"1,987",Jan-26,CANBERRA CRESCENT,New Sale,Strata,81,"21,385",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"2,004,900",990.29,"2,025",Jan-26,CANBERRA CRESCENT,New Sale,Strata,92,"21,792",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"1,621,300",796.54,"2,035",Jan-26,CANBERRA CRESCENT,New Sale,Strata,74,"21,909",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
