project,block,unit,area_sqft,bedrooms,chart_status,chart_sold_date,source_url,source_as_of,huttons_status,status_conflict,huttons_source_url,price_status,price_sgd,historical_price_min_sgd,historical_price_max_sgd,source_observation_count,distinct_date_price_area_events,earliest_transaction_date,latest_transaction_date,price_source_urls,review_note
CANBERRA CRESCENT RESIDENCES,51,#11-08,797,3,sold,2025-08-09,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1534000,1534000,1534000,1,1,2025-08-09,2025-08-09,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#10-01,570,2,sold,2025-08-01,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1112000,1112000,1112000,1,1,2025-08-02,2025-08-02,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#10-02,883,3,sold,2025-08-24,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1731700,1731700,1731700,1,1,2025-08-24,2025-08-24,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#10-03,990,3,sold,2025-08-23,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1988000,1988000,1988000,1,1,2025-08-23,2025-08-23,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#10-04,667,2,sold,2025-08-30,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_price_unreconciled,,1346100,1346100,1,1,2025-08-02,2025-08-02,https://propertynoob.com/condo/canberra-crescent-residences/sales,Published historical price has no matching local URA or current EdgeProp signature; current achieved price unresolved.
CANBERRA CRESCENT RESIDENCES,51,#10-05,797,3,sold,2025-08-01,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1550400,1550400,1550400,1,1,2025-08-02,2025-08-02,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#10-06,990,3,sold,2025-08-01,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1990100,1990100,1990100,1,1,2025-08-02,2025-08-02,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#10-07,990,3,sold,2026-05-16,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,inferred_unit_price,2005900,2005900,2005900,2,1,2026-05-16,2026-05-16,https://propertystory.sg/canberra-crescent-residences/|https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,
CANBERRA CRESCENT RESIDENCES,51,#10-08,797,3,sold,2025-08-19,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1530000,1530000,1530000,1,1,2025-08-20,2025-08-20,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#09-01,570,2,sold,2025-08-01,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1109000,1109000,1109000,1,1,2025-08-02,2025-08-02,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#09-02,883,3,sold,2025-08-30,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1744400,1744400,1744400,1,1,2025-08-31,2025-08-31,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#09-03,990,3,sold,2025-10-03,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,2003500,2003500,2003500,1,1,2025-10-04,2025-10-04,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#09-04,667,2,sold,2025-08-14,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1343100,1343100,1343100,1,1,2025-08-15,2025-08-15,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#09-05,797,3,sold,2025-08-01,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1546500,1546500,1546500,1,1,2025-08-02,2025-08-02,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#09-06,990,3,sold,2025-08-19,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1985200,1985200,1985200,1,1,2025-08-20,2025-08-20,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#09-07,990,3,sold,2026-05-02,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,inferred_unit_price,2001000,2001000,2001000,2,1,2026-04-30,2026-04-30,https://propertystory.sg/canberra-crescent-residences/|https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,
CANBERRA CRESCENT RESIDENCES,51,#09-08,797,3,sold,2025-08-18,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1527000,1527000,1527000,1,1,2025-08-19,2025-08-19,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#08-01,570,2,sold,2025-08-01,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1106000,1106000,1106000,1,1,2025-08-02,2025-08-02,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#08-02,883,3,sold,2025-09-12,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1740100,1740100,1740100,1,1,2025-09-12,2025-09-12,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#08-03,990,3,sold,2025-08-01,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1979000,1979000,1979000,1,1,2025-08-02,2025-08-02,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#08-04,667,2,sold,2025-08-16,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1340100,1340100,1340100,1,1,2025-08-17,2025-08-17,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#08-05,797,3,sold,2025-08-01,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,multiple_historical_prices_review,,1542700,1557900,2,2,2025-08-02,2025-09-05,https://propertynoob.com/condo/canberra-crescent-residences/sales,Different historical prices retained; cancellation/rebooking/correction not established.
CANBERRA CRESCENT RESIDENCES,51,#08-06,990,3,sold,2025-08-29,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1999800,1999800,1999800,1,1,2025-08-29,2025-08-29,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#08-07,990,3,sold,2026-04-15,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,inferred_unit_price,1996000,1996000,1996000,2,1,2026-04-16,2026-04-16,https://propertystory.sg/canberra-crescent-residences/|https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,
CANBERRA CRESCENT RESIDENCES,51,#08-08,797,3,sold,2025-08-14,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1523000,1523000,1523000,1,1,2025-08-15,2025-08-15,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#07-01,570,2,sold,2025-08-01,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1103000,1103000,1103000,1,1,2025-08-02,2025-08-02,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#07-02,883,3,sold,2025-09-13,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1735700,1735700,1735700,1,1,2025-09-14,2025-09-14,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#07-03,990,3,sold,2025-08-24,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1974000,1974000,1974000,1,1,2025-08-23,2025-08-23,https://propertynoob.com/condo/canberra-crescent-residences/sales,
