record_id,project,block,block_source,published_unit,transaction_date,price_sgd,area_sqft,psf_sgd,sale_type,sale_type_source,source_url
propertystory-37,CANBERRA CRESCENT RESIDENCES,57,propertystory,#11-**,2026-02-02,2476000,1216,2036,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-38,CANBERRA CRESCENT RESIDENCES,55,propertystory,#09-**,2026-01-30,2324300,1173,1982,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-39,CANBERRA CRESCENT RESIDENCES,55,propertystory,#04-**,2026-01-27,2295600,1173,1957,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-40,CANBERRA CRESCENT RESIDENCES,55,propertystory,#06-**,2026-01-26,2307100,1173,1967,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-41,CANBERRA CRESCENT RESIDENCES,55,propertystory,#07-**,2026-01-20,2312800,1173,1972,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-42,CANBERRA CRESCENT RESIDENCES,53,propertystory,#01-**,2026-01-13,1732200,872,1986,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-43,CANBERRA CRESCENT RESIDENCES,51,propertystory,#05-**,2026-01-10,2004900,990,2025,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-44,CANBERRA CRESCENT RESIDENCES,55,propertystory,#01-**,2026-01-10,1621300,797,2034,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-45,CANBERRA CRESCENT RESIDENCES,51,propertystory,#07-**,2026-01-06,1991000,990,2011,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-46,CANBERRA CRESCENT RESIDENCES,57,propertystory,#11-**,2025-12-31,2067400,990,2088,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-47,CANBERRA CRESCENT RESIDENCES,55,propertystory,#06-**,2025-12-26,2432000,1216,2000,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-48,CANBERRA CRESCENT RESIDENCES,55,propertystory,#07-**,2025-12-24,2438200,1216,2005,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-49,CANBERRA CRESCENT RESIDENCES,55,propertystory,#10-**,2025-12-19,2330100,1173,1986,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-50,CANBERRA CRESCENT RESIDENCES,57,propertystory,#01-**,2025-12-12,1621300,797,2034,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
edgeprop-1,CANBERRA CRESCENT RESIDENCES,57,edgeprop,#06-XX,2026-08-26,2469854,1216,2031,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-2,CANBERRA CRESCENT RESIDENCES,57,edgeprop,#07-XX,2026-08-20,2476015,1216,2036,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-3,CANBERRA CRESCENT RESIDENCES,55,edgeprop,#02-XX,2026-08-18,2456401,1216,2020,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-4,CANBERRA CRESCENT RESIDENCES,57,edgeprop,#09-XX,2026-08-08,2488337,1216,2046,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-5,CANBERRA CRESCENT RESIDENCES,53,edgeprop,#04-XX,2026-08-08,2380000,1216,1957,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-6,CANBERRA CRESCENT RESIDENCES,57,edgeprop,#08-XX,2026-07-26,2482075,1216,2041,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-7,CANBERRA CRESCENT RESIDENCES,55,edgeprop,#04-XX,2026-07-12,2468642,1216,2030,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-8,CANBERRA CRESCENT RESIDENCES,51,edgeprop,#04-XX,2026-06-15,1995861,990,2015,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-9,CANBERRA CRESCENT RESIDENCES,51,edgeprop,#03-XX,2026-05-26,1990912,990,2010,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-10,CANBERRA CRESCENT RESIDENCES,53,edgeprop,#02-XX,2026-05-25,2372894,1216,1951,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-11,CANBERRA CRESCENT RESIDENCES,55,edgeprop,#07-XX,2026-05-21,2045800,990,2066,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-12,CANBERRA CRESCENT RESIDENCES,55,edgeprop,#06-XX,2026-05-16,2040700,990,2061,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-13,CANBERRA CRESCENT RESIDENCES,51,edgeprop,#10-XX,2026-05-16,2005900,990,2026,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-14,CANBERRA CRESCENT RESIDENCES,57,edgeprop,#12-XX,2026-05-05,2482200,1216,2041,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-15,CANBERRA CRESCENT RESIDENCES,51,edgeprop,#12-XX,2026-05-05,2016000,990,2036,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-16,CANBERRA CRESCENT RESIDENCES,57,edgeprop,#12-XX,2026-05-04,2700639,1324,2040,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-17,CANBERRA CRESCENT RESIDENCES,51,edgeprop,#09-XX,2026-04-30,2001000,990,2021,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-18,CANBERRA CRESCENT RESIDENCES,57,edgeprop,#08-XX,2026-04-30,2673874,1324,2020,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-19,CANBERRA CRESCENT RESIDENCES,55,edgeprop,#09-XX,2026-04-29,2056100,990,2076,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-20,CANBERRA CRESCENT RESIDENCES,55,edgeprop,#08-XX,2026-04-27,2050900,990,2071,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-21,CANBERRA CRESCENT RESIDENCES,53,edgeprop,#03-XX,2026-04-22,2355200,1216,1936,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-22,CANBERRA CRESCENT RESIDENCES,55,edgeprop,#12-XX,2026-04-18,2365218,1173,2016,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
edgeprop-23,CANBERRA CRESCENT RESIDENCES,51,edgeprop,#08-XX,2026-04-16,1996000,990,2016,New Sale,edgeprop,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences
