Project,planning_area,Postal District,Date of Sale,Address,Street,unit_number,unit_floor,unit_stack,unit_number_status,unit_number_source,Bedrooms,Unit Price ($psf),Price ($),Type,Tenure,Sale Type,Area (sqft),Area (sqm),Type of Area,Purchaser Address,Source,source_quality,source_url,source_slug,source_page,source_row
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,30 Apr 2026,51 CANBERRA CRESCENT #09-XX,51 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2021,2001000,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,N.A,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,2,7
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,30 Apr 2026,57 CANBERRA CRESCENT #08-XX,57 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,2020,2673874,Apartment,99 yrs from 04/11/2024,New Sale,1324,123.004,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,2,8
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,29 Apr 2026,55 CANBERRA CRESCENT #09-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2076,2056100,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,N.A,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,2,9
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,27 Apr 2026,55 CANBERRA CRESCENT #08-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2071,2050900,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,2,10
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,22 Apr 2026,53 CANBERRA CRESCENT #03-XX,53 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1936,2355200,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,3,1
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,18 Apr 2026,55 CANBERRA CRESCENT #12-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,2016,2365218,Apartment,99 yrs from 04/11/2024,New Sale,1173,108.975,Strata,N.A,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,3,2
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,16 Apr 2026,51 CANBERRA CRESCENT #08-XX,51 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2016,1996000,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,3,3
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,3 Apr 2026,51 CANBERRA CRESCENT #05-XX,51 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2001,1981100,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,3,4
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,28 Mar 2026,53 CANBERRA CRESCENT #07-XX,53 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1956,2378800,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,3,5
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,28 Mar 2026,55 CANBERRA CRESCENT #11-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2087,2066300,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,3,6
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,28 Mar 2026,53 CANBERRA CRESCENT #05-XX,53 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1946,2367100,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,3,7
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,25 Mar 2026,53 CANBERRA CRESCENT #06-XX,53 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1951,2373000,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,3,8
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,20 Mar 2026,53 CANBERRA CRESCENT #09-XX,53 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1965,2390700,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,3,9
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,9 Mar 2026,53 CANBERRA CRESCENT #11-XX,53 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1975,2402700,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,3,10
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,5 Mar 2026,53 CANBERRA CRESCENT #01-XX,53 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1883,2189300,Apartment,99 yrs from 04/11/2024,New Sale,1163,108.046,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,4,1
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,27 Feb 2026,53 CANBERRA CRESCENT #12-XX,53 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1980,2408700,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,4,2
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,25 Feb 2026,55 CANBERRA CRESCENT #12-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2092,2071500,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,4,3
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,21 Feb 2026,55 CANBERRA CRESCENT #11-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1991,2336000,Apartment,99 yrs from 04/11/2024,New Sale,1173,108.975,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,4,4
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,20 Feb 2026,55 CANBERRA CRESCENT #05-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1995,2426000,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,4,5
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,9 Feb 2026,51 CANBERRA CRESCENT #11-XX,51 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2031,2011000,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,N.A,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,4,6
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,9 Feb 2026,55 CANBERRA CRESCENT #02-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1942,2257200,Apartment,99 yrs from 04/11/2024,New Sale,1163,108.046,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,4,7
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,5 Feb 2026,51 CANBERRA CRESCENT #04-XX,51 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2018,1998200,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,N.A,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,4,8
