record_id,project,block,block_source,published_unit,transaction_date,price_sgd,area_sqft,psf_sgd,sale_type,sale_type_source,source_url
propertynoob-299,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#01-25,2025-12-08,1602100,797,2011,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-298,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#01-24,2025-12-07,1602100,797,2011,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-297,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#01-10,2025-11-29,1731500,883,1962,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-296,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#08-18,2025-11-25,2318600,1173,1976,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-295,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#06-07,2025-11-22,1986000,990,2005,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-294,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#02-24,2025-11-19,1606100,797,2016,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-293,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#02-25,2025-11-18,1606100,797,2016,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-292,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#05-03,2025-11-17,2003300,990,2023,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-291,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#01-31,2025-11-15,1774700,883,2011,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-290,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#05-26,2025-11-14,2036600,990,2057,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-289,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#05-25,2025-11-13,1618200,797,2032,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-288,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#03-25,2025-11-11,1610100,797,2021,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-287,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#10-26,2025-11-08,2062200,990,2082,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-286,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#02-18,2025-11-05,2284200,1173,1947,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-285,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#08-14,2025-11-01,2361000,1216,1941,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-284,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#05-18,2025-10-31,2278400,1173,1942,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-283,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#09-26,2025-10-31,2036600,990,2057,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-282,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#06-26,2025-10-31,2021300,990,2041,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-281,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#06-25,2025-10-31,1606100,797,2016,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-280,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#03-16,2025-10-31,1555300,797,1953,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-279,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#02-08,2025-10-31,1514700,797,1902,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-278,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#01-32,2025-10-31,1330100,667,1993,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-277,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#06-03,2025-10-30,1988400,990,2008,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-276,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#01-13,2025-10-29,1566100,797,1966,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-275,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#02-04,2025-10-29,1333200,667,1998,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-274,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#04-16,2025-10-28,1559100,797,1957,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-273,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#04-25,2025-10-27,1598000,797,2006,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-272,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#02-02,2025-10-25,1714200,883,1942,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-271,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#07-25,2025-10-25,1610000,797,2021,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-270,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#02-28,2025-10-25,1609100,797,2020,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-269,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#12-24,2025-10-23,1630200,797,2047,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-268,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#03-24,2025-10-23,1594000,797,2001,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-267,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#02-15,2025-10-22,1719200,872,1972,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-266,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#07-06,2025-10-21,1994800,990,2014,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-265,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#03-02,2025-10-21,1718500,883,1947,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-264,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#08-25,2025-10-21,1614000,797,2026,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-263,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#04-24,2025-10-19,1598000,797,2006,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-262,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#04-02,2025-10-17,1722800,883,1952,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
