Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LANDED HOUSING DEVELOPMENT,"6,150,000","3,322.85","1,851",Apr-26,JALAN TAMAN,Resale,Land,308.7,"19,922",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,151,888","2,108.67","2,443",Apr-26,ST. FRANCIS ROAD,Resale,Land,195.9,"26,299",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,700,000","2,921.35","1,267",Apr-26,KIM KEAT LANE,Resale,Land,271.4,"13,633",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,080,000","1,102.23","2,794",Feb-26,PROME ROAD,Resale,Land,102.4,"30,078",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,088,000","2,111.9","1,936",Jan-26,ST. MICHAEL'S ROAD,Resale,Land,196.2,"20,836",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,220,000","1,532.79","2,753",Jul-25,ST. MICHAEL'S ROAD,Resale,Land,142.4,"29,635",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,418,888","1,551.09","2,204",Jun-25,JALAN KEMAMAN,Resale,Land,144.1,"23,726",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,400,000","1,433.76","3,766",May-25,JALAN KEMAMAN,Resale,Land,133.2,"40,541",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,858,000","1,416.54","2,724",Jan-25,BOON TECK ROAD,Resale,Land,131.6,"29,316",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,500,000","1,571.54","2,227",Dec-24,JALAN TAMAN,Resale,Land,146,"23,973",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,288,000","2,710.38","1,582",Nov-24,ST. MICHAEL'S ROAD,Resale,Land,251.8,"17,029",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,000,000","2,941.8","1,700",Nov-24,JALAN TAMAN,Resale,Land,273.3,"18,295",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,280,000","1,616.75","2,029",Sep-24,JALAN SEMERBAK,Resale,Land,150.2,"21,838",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,280,000","1,477.9","2,219",Jul-24,BOON TECK ROAD,Resale,Land,137.3,"23,889",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,238,000","1,513.42","2,140",Apr-24,JALAN KEMAMAN,Resale,Land,140.6,"23,030",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,000,000","1,554.32","3,217",Mar-24,JALAN KEMAMAN,Resale,Land,144.4,"34,626",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,250,000","2,856.77","1,488",Nov-23,JALAN TAMAN,Resale,Land,265.4,"16,014",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"1,330,000","3,950.39",337,Nov-23,BENG WAN ROAD,Resale,Land,367,"3,624",-,Detached House,1,99 yrs lease commencing from 1949,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"1,320,000","3,999.9",330,May-23,BENG WAN ROAD,Resale,Land,371.6,"3,552",-,Detached House,1,99 yrs lease commencing from 1952,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"1,250,000","3,999.9",313,Apr-23,BENG WAN ROAD,Resale,Land,371.6,"3,364",-,Detached House,1,99 yrs lease commencing from 1949,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,200,000","1,573.7","2,033",Dec-22,JALAN MANIS,Resale,Land,146.2,"21,888",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,390,000","1,556.47","2,178",Sep-22,JALAN TAMAN,Resale,Land,144.6,"23,444",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,300,000","1,096.85","3,009",Aug-22,PROME ROAD,Resale,Land,101.9,"32,385",-,Terrace House,1,Freehold,12,Rest of Central Region,-
