Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LANDED HOUSING DEVELOPMENT,"5,900,000","1,657.66","3,559",Jun-26,JALAN ELOK,Resale,Land,154,"38,312",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"6,100,000","1,650.12","3,697",Apr-26,JALAN JINTAN,Resale,Land,153.3,"39,791",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,700,000","1,382.1","3,401",Mar-26,DEVONSHIRE ROAD,Resale,Land,128.4,"36,604",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"11,399,000","2,417.59","4,715",Jan-26,EMERALD HILL ROAD,Resale,Land,224.6,"50,752",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"7,500,000","1,877.24","3,995",Dec-25,JALAN ELOK,Resale,Land,174.4,"43,005",-,Terrace House,1,Freehold,09,Core Central Region,-
EMERALD HILL CONSERVATION AREA,"6,800,000","1,323.97","5,136",Dec-25,EMERALD HILL ROAD,Resale,Land,123,"55,285",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,450,000","1,650.12","3,303",Dec-25,JALAN ELOK,Resale,Land,153.3,"35,551",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,550,000","1,797.59","3,087",Nov-25,JALAN ELOK,Resale,Land,167,"33,234",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"8,000,000","1,723.32","4,642",Aug-25,JALAN ELOK,Resale,Land,160.1,"49,969",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"75,000,000","17,973.73","4,173",Aug-25,CLAYMORE ROAD,Resale,Land,"1,669.8","44,916",-,Detached House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"6,938,888","2,209.85","3,140",Jul-25,JALAN LADA PUTEH,Resale,Land,205.3,"33,799",-,Terrace House,1,Freehold,09,Core Central Region,-
EMERALD HILL CONSERVATION AREA,"10,500,000","2,216.31","4,738",Apr-25,SAUNDERS ROAD,Resale,Land,205.9,"50,996",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,750,000","1,628.59","3,531",Feb-25,JALAN JINTAN,Resale,Land,151.3,"38,004",-,Terrace House,1,Freehold,09,Core Central Region,-
EMERALD HILL CONSERVATION AREA,"6,880,000","1,342.27","5,126",Feb-25,EMERALD HILL ROAD,Resale,Land,124.7,"55,172",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,000,000","1,485.43","2,693",Feb-25,KAMPONG JAVA ROAD,Resale,Land,138,"28,986",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"12,800,000","2,815.86","4,546",Feb-25,CAIRNHILL ROAD,Resale,Land,261.6,"48,930",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,150,000","1,487.58","2,790",Jan-25,KAMPONG JAVA ROAD,Resale,Land,138.2,"30,029",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,000,000","1,489.74","3,356",Nov-24,NIVEN ROAD,Resale,Land,138.4,"36,127",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"7,000,000","1,912.76","3,660",Jun-24,CAIRNHILL ROAD,Resale,Land,177.7,"39,392",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,450,000","1,654.43","3,294",May-24,JALAN ELOK,Resale,Land,153.7,"35,459",-,Terrace House,1,Freehold,09,Core Central Region,-
EMERALD HILL CONSERVATION AREA,"8,500,000","1,992.42","4,266",Apr-24,EMERALD HILL ROAD,Resale,Land,185.1,"45,921",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"3,500,000",908.48,"3,853",Dec-23,NIVEN ROAD,Resale,Land,84.4,"41,469",-,Terrace House,1,Freehold,09,Core Central Region,-
EMERALD HILL CONSERVATION AREA,"8,800,000","1,932.14","4,555",Sep-23,EMERALD HILL ROAD,Resale,Land,179.5,"49,025",-,Terrace House,1,Freehold,09,Core Central Region,-
EMERALD HILL CONSERVATION AREA,"11,000,000","2,360.55","4,660",Sep-23,SAUNDERS ROAD,Resale,Land,219.3,"50,160",-,Terrace House,1,Freehold,09,Core Central Region,-
KIMSIA PARK,"5,825,000","1,650.12","3,530",Aug-23,JALAN JINTAN,Resale,Land,153.3,"37,997",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,400,000","1,702.86","3,171",May-23,JALAN ELOK,Resale,Land,158.2,"34,134",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"24,000,000","10,491.67","2,288",Apr-23,PATERSON HILL,Resale,Land,974.7,"24,623",-,Detached House,1,Freehold,09,Core Central Region,-
EMERALD HILL CONSERVATION AREA,"18,000,000","3,126.94","5,756",Mar-23,CAIRNHILL ROAD,Resale,Land,290.5,"61,962",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,150,000","1,723.32","2,988",Nov-22,JALAN ELOK,Resale,Land,160.1,"32,167",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,620,000","1,482.2","3,117",May-22,NIVEN ROAD,Resale,Land,137.7,"33,551",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"6,000,000","1,617.83","3,709",Apr-22,JALAN ELOK,Resale,Land,150.3,"39,920",-,Terrace House,1,Freehold,09,Core Central Region,-
EMERALD HILL CONSERVATION AREA,"9,180,000","2,524.16","3,637",Apr-22,EMERALD HILL ROAD,Resale,Land,234.5,"39,147",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"6,180,000","1,650.12","3,745",Mar-22,JALAN LADA PUTEH,Resale,Land,153.3,"40,313",-,Terrace House,1,Freehold,09,Core Central Region,-
KIMSIA PARK,"6,400,000","1,650.12","3,879",Feb-22,JALAN JINTAN,Resale,Land,153.3,"41,748",-,Terrace House,1,Freehold,09,Core Central Region,-
EMERALD HILL CONSERVATION AREA,"5,358,000","1,043.03","5,137",Nov-21,EMERALD HILL ROAD,Resale,Land,96.9,"55,294",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"10,500,000","2,815.86","3,729",Nov-21,CAIRNHILL ROAD,Resale,Land,261.6,"40,138",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,003,888","1,445.61","2,770",Sep-21,NIVEN ROAD,Resale,Land,134.3,"29,813",-,Terrace House,1,Freehold,09,Core Central Region,-
CAIRNHILL CONSERVATION AREA,"10,000,000","2,561.83","3,903",Sep-21,CAIRNHILL ROAD,Resale,Land,238,"42,017",-,Terrace House,1,Freehold,09,Core Central Region,-
EMERALD HILL CONSERVATION AREA,"5,800,000","1,330.43","4,359",Aug-21,EMERALD HILL ROAD,Resale,Land,123.6,"46,926",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,000,000","1,650.12","3,030",Aug-21,JALAN LADA PUTEH,Resale,Land,153.3,"32,616",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"6,000,000","1,382.1","4,341",Aug-21,DEVONSHIRE ROAD,Resale,Land,128.4,"46,729",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,128,000","1,720.09","2,981",Jul-21,DUBLIN ROAD,Resale,Land,159.8,"32,090",-,Terrace House,1,Freehold,09,Core Central Region,-
CAIRNHILL CONSERVATION AREA,"10,000,000","2,577.98","3,879",Jul-21,CAIRNHILL ROAD,Resale,Land,239.5,"41,754",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,300,000","1,650.12","2,606",Jul-21,JALAN KAYU MANIS,Resale,Land,153.3,"28,050",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,300,000","1,650.12","2,606",Jul-21,JALAN KAYU MANIS,Resale,Land,153.3,"28,050",-,Terrace House,1,Freehold,09,Core Central Region,-
