Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LANDED HOUSING DEVELOPMENT,"5,488,000","1,745.92","3,143",Jun-26,LORONG 105 CHANGI,Resale,Land,162.2,"33,835",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"20,000,000","7,146.22","2,799",Jun-26,WAREHAM ROAD,Resale,Land,663.9,"30,125",-,Detached House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,500,000","2,642.56","2,081",Jun-26,THIRD STREET,Resale,Land,245.5,"22,403",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,458,000","1,795.44","3,040",Jun-26,CEYLON ROAD,Resale,Land,166.8,"32,722",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"7,038,000","5,964.33","1,180",Jun-26,LORONG J TELOK KURAU,Resale,Land,554.1,"12,702",-,Terrace House,2,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"8,838,000","3,055.36","2,893",Jun-26,PALM AVENUE,New Sale,Land,283.85,"31,136",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
FRANKEL ESTATE,"7,788,888","2,784.65","2,797",Jun-26,GREENFIELD DRIVE,Resale,Land,258.7,"30,108",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,380,000","1,778.21","2,463",Jun-26,KOON SENG ROAD,Resale,Land,165.2,"26,513",-,Terrace House,1,Freehold,15,Rest of Central Region,-
OPERA ESTATE,"4,600,000","1,698.56","2,708",Jun-26,FIGARO STREET,Resale,Land,157.8,"29,151",-,Terrace House,1,Freehold,15,Outside Central Region,-
EAST COAST PARK,"4,900,000","2,730.83","1,794",Jun-26,SIGLAP ROAD,Resale,Land,253.7,"19,314",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,088,000","1,876.17","3,778",Jun-26,HAIG ROAD,Resale,Land,174.3,"40,666",-,Terrace House,1,Freehold,15,Rest of Central Region,-
FRANKEL ESTATE,"6,800,000","2,581.21","2,634",May-26,ROSEBURN AVENUE,Resale,Land,239.8,"28,357",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
FRANKEL ESTATE,"6,000,000","1,670.57","3,592",May-26,DUNBAR WALK,Resale,Land,155.2,"38,660",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"15,100,000","7,541.26","2,002",May-26,GOODMAN ROAD,Resale,Land,700.6,"21,553",-,Semi-Detached House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,400,000","1,663.04","2,646",May-26,LORONG BANDANG,Resale,Land,154.5,"28,479",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"9,300,000","7,083.79","1,313",May-26,EAST COAST ROAD,Resale,Land,658.1,"14,132",-,Detached House,1,Freehold,15,Outside Central Region,-
