Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
POLLEN COLLECTION II,"4,210,000","1,614.6","2,607",Jun-26,POLLEN RISE,New Sale,Land,150,"28,067",-,Terrace House,1,99 yrs lease commencing from 2025,28,Outside Central Region,-
SELETAR HILLS ESTATE,"8,080,000","3,402.5","2,375",Jun-26,JALAN LEBAT DAUN,Resale,Land,316.1,"25,562",-,Semi-Detached House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
SELETAR HILLS ESTATE,"3,910,000","2,556.45","1,529",Jun-26,JALAN LAKUM,Resale,Land,237.5,"16,463",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
SELETAR HILLS ESTATE,"5,000,000","3,445.56","1,451",Jun-26,JALAN PERADUN,Resale,Land,320.1,"15,620",-,Semi-Detached House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,360,000","4,360.5","1,459",Jun-26,MUGLISTON PARK,Resale,Land,405.1,"15,700",-,Detached House,1,999 yrs lease commencing from 1886,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,818,000","4,190.43","1,150",Jun-26,JALAN KAYU,Resale,Land,389.3,"12,376",-,Semi-Detached House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
LUXUS HILLS,"5,218,888","1,614.6","3,232",Jun-26,LUXUS HILL DRIVE,Resale,Land,150,"34,793",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
KECHUBONG TERRACE,"4,608,000","2,234.61","2,062",Jun-26,JALAN KECHUBONG,Resale,Land,207.6,"22,197",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
POLLEN COLLECTION II,"5,398,000","2,669.47","2,022",Jun-26,POLLEN RISE,New Sale,Land,248,"21,766",-,Terrace House,1,99 yrs lease commencing from 2025,28,Outside Central Region,-
POLLEN COLLECTION II,"4,331,000","1,733","2,499",Jun-26,POLLEN RISE,New Sale,Land,161,"26,901",-,Terrace House,1,99 yrs lease commencing from 2025,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,050,000","2,540.3","1,594",Jun-26,SUNRISE TERRACE,Resale,Land,236,"17,161",-,Terrace House,1,Freehold,28,Outside Central Region,-
LUXUS HILLS,"6,100,000","2,988.09","2,041",Jun-26,SELETAR GREEN AVENUE,Resale,Land,277.6,"21,974",-,Semi-Detached House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
POLLEN COLLECTION II,"5,447,000","2,669.47","2,040",Jun-26,POLLEN LANE,New Sale,Land,248,"21,964",-,Terrace House,1,99 yrs lease commencing from 2025,28,Outside Central Region,-
SELETAR HILLS ESTATE,"4,888,000","2,503.71","1,952",Jun-26,SARACA ROAD,Resale,Land,232.6,"21,015",-,Semi-Detached House,1,Freehold,28,Outside Central Region,-
