Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LANDED HOUSING DEVELOPMENT,"4,900,000","2,450.96","1,999",Jun-26,BUKIT TERESA ROAD,Resale,Land,227.7,"21,520",-,Terrace House,1,Freehold,04,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,600,000","3,737.26","1,498",May-26,WISHART ROAD,Resale,Land,347.2,"16,129",-,Semi-Detached House,1,Freehold,04,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"17,000,000","9,244.12","1,839",Mar-26,COVE GROVE,Resale,Land,858.8,"19,795",-,Detached House,1,99 yrs lease commencing from 2007,04,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"11,500,000","8,808.18","1,306",Jan-26,COVE DRIVE,Resale,Land,818.3,"14,054",-,Detached House,1,99 yrs lease commencing from 2007,04,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"17,800,000","8,378.7","2,124",Jan-26,TREASURE ISLAND,Resale,Land,778.4,"22,867",-,Detached House,1,99 yrs lease commencing from 2006,04,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"13,600,000","7,648.9","1,778",Jan-26,OCEAN DRIVE,Resale,Land,710.6,"19,139",-,Detached House,1,99 yrs lease commencing from 2004,04,Core Central Region,-
PARADISE ISLAND,"12,000,000","8,136.51","1,475",Nov-25,PARADISE ISLAND,Resale,Land,755.9,"15,875",-,Detached House,1,99 yrs lease commencing from 2005,04,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"15,200,000","7,812.51","1,946",Sep-25,OCEAN DRIVE,Resale,Land,725.8,"20,942",-,Detached House,1,99 yrs lease commencing from 2004,04,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"13,888,888","7,637.06","1,819",Aug-25,OCEAN DRIVE,Resale,Land,709.5,"19,576",-,Detached House,1,99 yrs lease commencing from 2004,04,Core Central Region,-
SENTOSA COVE,"14,800,000","7,934.14","1,865",Feb-25,COVE DRIVE,Resale,Land,737.1,"20,079",-,Detached House,1,99 yrs lease commencing from 2007,04,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"12,150,000","7,316.29","1,661",Jan-25,OCEAN DRIVE,Resale,Land,679.7,"17,876",-,Detached House,1,99 yrs lease commencing from 2005,04,Core Central Region,-
