Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
WESTWOOD PARK,"1,658,000","1,614.6","1,027",Aug-21,WESTWOOD DRIVE,Resale,Land,150,"11,053",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"1,720,000","2,163.56",795,Aug-21,WESTWOOD WALK,Resale,Land,201,"8,557",-,Semi-Detached House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTWOOD PARK,"1,868,000","2,152.8",868,Aug-21,WESTWOOD CRESCENT,Resale,Land,200,"9,340",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTWOOD PARK,"1,600,000","1,672.73",957,Aug-21,WESTWOOD CRESCENT,Resale,Land,155.4,"10,296",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
YUNNAN GARDENS,"6,000,000","6,604.79",908,Jul-21,YUNNAN WALK 1,Resale,Land,613.6,"9,778",-,Detached House,1,Freehold,22,Outside Central Region,-
WESTWOOD PARK,"1,650,000","1,736.23",950,Jul-21,WESTWOOD AVENUE,Resale,Land,161.3,"10,229",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"1,620,000","2,154.95",752,Jul-21,WESTWOOD CRESCENT,Resale,Land,200.2,"8,092",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTWOOD PARK,"1,920,000","2,331.48",824,Jul-21,WESTWOOD AVENUE,Resale,Land,216.6,"8,864",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"1,528,800","1,616.75",946,Jun-21,WESTWOOD AVENUE,Resale,Land,150.2,"10,178",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"1,810,000","2,339.02",774,Jun-21,WESTWOOD AVENUE,Resale,Land,217.3,"8,329",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
