Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LANDED HOUSING DEVELOPMENT,"5,555,000","3,013.92","1,843",Jun-26,LENGKONG EMPAT,Resale,Land,280,"19,839",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"10,480,000","7,560.63","1,386",Jun-26,CHANGI ROAD,Resale,Land,702.4,"14,920",-,Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,680,000","1,757.76","2,094",Jun-26,JALAN SENANG,Resale,Land,163.3,"22,535",-,Terrace House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,335,000","1,702.86","1,958",Jun-26,LORONG 25A GEYLANG,Resale,Land,158.2,"21,081",-,Terrace House,1,Freehold,14,Rest of Central Region,-
SIN CHUAN GARDEN,"4,308,000","1,848.18","2,331",Jun-26,WARINGIN PARK,Resale,Land,171.7,"25,090",-,Terrace House,1,Freehold,14,Outside Central Region,-
GEYLANG CONSERVATION AREA,"5,400,000","1,541.4","3,503",May-26,LORONG 24A GEYLANG,Resale,Land,143.2,"37,709",-,Terrace House,1,Freehold,14,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,700,000","3,681.29","1,548",May-26,CHANGI ROAD,Resale,Land,342,"16,667",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,100,000","3,070.97","1,661",May-26,TEO KIM ENG ROAD,Resale,Land,285.3,"17,876",-,Terrace House,1,Freehold,14,Outside Central Region,-
SIN CHUAN GARDEN,"4,560,000","1,821.27","2,504",May-26,WARINGIN PARK,Resale,Land,169.2,"26,950",-,Terrace House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,220,000","3,375.59","1,843",May-26,JALAN ISMAIL,Resale,Land,313.6,"19,834",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,500,000","2,609.19","2,108",May-26,JALAN KEMBANGAN,Resale,Land,242.4,"22,690",-,Terrace House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,956,000","2,730.83","1,815",Apr-26,LORONG MARICAN,Resale,Land,253.7,"19,535",-,Terrace House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,500,000","4,004.21","1,623",Apr-26,JALAN SENANG,Resale,Land,372,"17,473",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,020,000","2,140.96","1,878",Apr-26,JALAN SENTOSA,Resale,Land,198.9,"20,211",-,Terrace House,1,Freehold,14,Outside Central Region,-
