Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE COUNTRYSIDE,"5,400,000","2,524.16","2,139",Jun-26,COUNTRYSIDE WALK,Resale,Land,234.5,"23,028",-,Terrace House,1,Freehold,26,Outside Central Region,-
TEACHERS' HOUSING ESTATE,"5,125,000","2,480.03","2,067",Jun-26,TAGORE AVENUE,Resale,Land,230.4,"22,244",-,Terrace House,1,999 yrs lease commencing from 1885,26,Outside Central Region,-
THE COUNTRYSIDE,"5,300,000","2,848.15","1,861",Jun-26,COUNTRYSIDE LINK,Resale,Land,264.6,"20,030",-,Terrace House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,608,560","1,712.55","2,691",Jun-26,SPRINGSIDE AVENUE,Resale,Land,159.1,"28,966",-,Terrace House,1,Freehold,26,Outside Central Region,-
SPRINGLEAF GARDEN,"6,850,000","4,543.48","1,508",May-26,SPRINGLEAF LANE,Resale,Land,422.1,"16,228",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
SPRINGLEAF GARDEN,"5,270,000","3,552.12","1,484",May-26,SPRINGLEAF CRESCENT,Resale,Land,330,"15,970",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
LENTOR VIEW,"5,600,000","3,468.16","1,615",May-26,LENTOR LANE,Resale,Land,322.2,"17,381",-,Terrace House,1,Freehold,26,Outside Central Region,-
SPRINGLEAF GARDEN,"5,200,000","3,480","1,494",May-26,SPRINGLEAF GARDEN,Resale,Land,323.3,"16,084",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
SPRINGLEAF GARDEN,"6,688,000","4,574.7","1,462",May-26,SPRINGLEAF LANE,Resale,Land,425,"15,736",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
SPRINGLEAF GARDEN,"5,180,000","3,553.2","1,458",May-26,SPRINGLEAF RISE,Resale,Land,330.1,"15,692",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
TEACHERS' HOUSING ESTATE,"3,700,000","1,801.89","2,053",May-26,TAGORE AVENUE,Resale,Land,167.4,"22,103",-,Terrace House,1,999 yrs lease commencing from 1885,26,Outside Central Region,-
THE SPRINGSIDE,"4,300,000","1,711.48","2,512",Apr-26,SPRINGSIDE AVENUE,Resale,Land,159,"27,044",-,Terrace House,1,Freehold,26,Outside Central Region,-
SPRINGLEAF GARDEN,"5,320,000","3,599.48","1,478",Apr-26,SPRINGLEAF GARDEN,Resale,Land,334.4,"15,909",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
MANDAI GARDEN,"5,500,000","1,949.36","2,821",Apr-26,MENG SUAN ROAD,Resale,Land,181.1,"30,370",-,Terrace House,1,999 yrs lease commencing from 1884,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,368,888","1,677.03","2,605",Apr-26,SPRINGSIDE VIEW,Resale,Land,155.8,"28,042",-,Terrace House,1,Freehold,26,Outside Central Region,-
FUDU PARK,"6,180,000","3,232.43","1,912",Apr-26,LENTOR GROVE,Resale,Land,300.3,"20,579",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
THE SPRINGSIDE,"4,800,000","2,154.95","2,227",Apr-26,SPRINGSIDE AVENUE,Resale,Land,200.2,"23,976",-,Terrace House,1,Freehold,26,Outside Central Region,-
SPRINGLEAF GARDEN,"5,200,000","3,552.12","1,464",Mar-26,SPRINGLEAF RISE,Resale,Land,330,"15,758",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
FLORISSA PARK,"5,670,000","3,235.66","1,752",Mar-26,FLORISSA PARK,Resale,Land,300.6,"18,862",-,Terrace House,1,Freehold,26,Outside Central Region,-
MANDAI GARDEN,"5,390,000","1,952.59","2,760",Mar-26,MENG SUAN ROAD,Resale,Land,181.4,"29,713",-,Terrace House,1,999 yrs lease commencing from 1884,26,Outside Central Region,-
THE SPRINGSIDE,"4,600,000","1,758.84","2,615",Mar-26,SPRINGSIDE VIEW,Resale,Land,163.4,"28,152",-,Terrace House,1,Freehold,26,Outside Central Region,-
THE SPRINGSIDE,"3,968,000","1,677.03","2,366",Mar-26,SPRINGSIDE WALK,Resale,Land,155.8,"25,469",-,Terrace House,1,Freehold,26,Outside Central Region,-
HEETON PARK,"4,280,000","1,891.23","2,263",Mar-26,THONG SOON GREEN,Resale,Land,175.7,"24,360",-,Terrace House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,080,000","3,374.51","1,505",Feb-26,THONG SOON GREEN,Resale,Land,313.5,"16,204",-,Terrace House,1,Freehold,26,Outside Central Region,-
THE COUNTRYSIDE,"4,500,000","3,165.69","1,421",Feb-26,COUNTRYSIDE GROVE,Resale,Land,294.1,"15,301",-,Terrace House,1,Freehold,26,Outside Central Region,-
THE SPRINGSIDE,"5,080,000","3,935.32","1,291",Feb-26,SPRINGSIDE VIEW,Resale,Land,365.6,"13,895",-,Terrace House,1,Freehold,26,Outside Central Region,-
SPRINGLEAF GARDEN,"5,416,000","4,090.32","1,324",Feb-26,SPRINGLEAF AVENUE,Resale,Land,380,"14,253",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
HEETON PARK,"4,350,000","2,373.46","1,833",Feb-26,THONG SOON AVENUE,Resale,Land,220.5,"19,728",-,Terrace House,1,Freehold,26,Outside Central Region,-
THE SPRINGSIDE,"4,775,688","2,209.85","2,161",Feb-26,SPRINGSIDE AVENUE,Resale,Land,205.3,"23,262",-,Terrace House,1,Freehold,26,Outside Central Region,-
THE COUNTRYSIDE,"5,100,000","2,583.36","1,974",Jan-26,COUNTRYSIDE ROAD,Resale,Land,240,"21,250",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
HEETON CLASSIC,"6,330,000","3,765.25","1,681",Jan-26,THONG SOON GREEN,Resale,Land,349.8,"18,096",-,Terrace House,1,Freehold,26,Outside Central Region,-
MUN WAH GARDEN,"8,038,888","4,080.63","1,970",Jan-26,TUNG PO AVENUE,Resale,Land,379.1,"21,205",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
HONG HENG TERRACE,"3,980,000","1,633.98","2,436",Jan-26,THONG BEE ROAD,Resale,Land,151.8,"26,219",-,Terrace House,1,Freehold,26,Outside Central Region,-
LENTOR VILLAS,"5,000,000","3,398.19","1,471",Jan-26,LENTOR STREET,Resale,Land,315.7,"15,838",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
TEACHERS' HOUSING ESTATE,"4,750,000","1,804.05","2,633",Jan-26,TAGORE AVENUE,Resale,Land,167.6,"28,341",-,Terrace House,1,999 yrs lease commencing from 1885,26,Outside Central Region,-
TEACHERS' HOUSING ESTATE,"5,200,000","3,115.1","1,669",Jan-26,LI PO AVENUE,Resale,Land,289.4,"17,968",-,Terrace House,1,999 yrs lease commencing from 1885,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,400,000","3,849.21","1,403",Jan-26,MENG SUAN ROAD,Resale,Land,357.6,"15,101",-,Semi-Detached House,1,999 yrs lease commencing from 1884,26,Outside Central Region,-
THE SPRINGSIDE,"4,080,000","1,663.04","2,453",Dec-25,SPRINGSIDE CRESCENT,Resale,Land,154.5,"26,408",-,Terrace House,1,Freehold,26,Outside Central Region,-
TEACHERS' HOUSING ESTATE,"5,180,000","1,804.05","2,871",Dec-25,TAGORE AVENUE,Resale,Land,167.6,"30,907",-,Terrace House,1,999 yrs lease commencing from 1885,26,Outside Central Region,-
SPRINGLEAF GARDEN,"6,200,000","3,909.48","1,586",Dec-25,SPRINGLEAF LANE,Resale,Land,363.2,"17,070",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
THE SPRINGSIDE,"3,880,000","1,847.1","2,101",Dec-25,SPRINGSIDE GREEN,Resale,Land,171.6,"22,611",-,Terrace House,1,Freehold,26,Outside Central Region,-
THE SPRINGSIDE,"4,138,888","1,714.71","2,414",Nov-25,SPRINGSIDE WALK,Resale,Land,159.3,"25,982",-,Terrace House,1,Freehold,26,Outside Central Region,-
TEACHERS' HOUSING ESTATE,"4,860,000","2,176.48","2,233",Nov-25,IQBAL AVENUE,Resale,Land,202.2,"24,036",-,Terrace House,1,999 yrs lease commencing from 1885,26,Outside Central Region,-
