Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
BEDOK RESIDENCES,"1,049,000",548.96,"1,911",Sep-26,BEDOK NORTH DRIVE,Resale,Strata,51,"20,569",-,Apartment,1,99 yrs lease commencing from 2011,16,Outside Central Region,06 to 10
CASCADALE,"1,850,000","1,614.6","1,146",Sep-26,UPPER CHANGI ROAD EAST,Resale,Strata,150,"12,333",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
BAGNALL HAUS,"3,209,000","1,248.62","2,570",Sep-26,UPPER EAST COAST ROAD,New Sale,Strata,116,"27,664",-,Apartment,1,Freehold,16,Outside Central Region,01 to 05
EAST MEADOWS,"1,650,000","1,356.26","1,217",Sep-26,TANAH MERAH KECHIL ROAD,Resale,Strata,126,"13,095",-,Condominium,1,99 yrs lease commencing from 1998,16,Outside Central Region,11 to 15
PINERY RESIDENCES,"2,751,000","1,054.87","2,608",Sep-26,BEDOK RESERVOIR ROAD,New Sale,Strata,98,"28,071",-,Apartment,1,99 yrs lease commencing from 2025,16,Outside Central Region,01 to 05
SCENECA RESIDENCE,"1,620,000",678.13,"2,389",Sep-26,TANAH MERAH KECHIL LINK,Sub Sale,Strata,63,"25,714",-,Apartment,1,99 yrs lease commencing from 2021,16,Outside Central Region,06 to 10
GRANDEUR PARK RESIDENCES,"1,365,000",667.37,"2,045",Sep-26,BEDOK SOUTH AVENUE 3,Resale,Strata,62,"22,016",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,01 to 05
BAGNALL HAUS,"3,345,000","1,248.62","2,679",Sep-26,UPPER EAST COAST ROAD,New Sale,Strata,116,"28,836",-,Apartment,1,Freehold,16,Outside Central Region,01 to 05
BAYSHORE PARK,"1,108,000",947.23,"1,170",Sep-26,BAYSHORE ROAD,Resale,Strata,88,"12,591",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,01 to 05
BAYWATER,"1,480,000","1,033.34","1,432",Sep-26,BEDOK RESERVOIR ROAD,Resale,Strata,96,"15,417",-,Condominium,1,99 yrs lease commencing from 2001,16,Outside Central Region,01 to 05
GRANDEUR PARK RESIDENCES,"2,088,888","1,140.98","1,831",Sep-26,BEDOK SOUTH AVENUE 3,Resale,Strata,106,"19,706",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,11 to 15
THE GLADES,"1,828,000","1,011.82","1,807",Sep-26,BEDOK RISE,Resale,Strata,94,"19,447",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,06 to 10
URBAN VISTA,"1,398,888",850.36,"1,645",Sep-26,TANAH MERAH KECHIL LINK,Resale,Strata,79,"17,707",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10
VELA BAY,"4,113,000","1,377.79","2,985",Sep-26,BAYSHORE WALK,New Sale,Strata,128,"32,133",-,Apartment,1,99 yrs lease commencing from 2025,16,Outside Central Region,16 to 20
WATERFRONT WAVES,"2,220,000","1,323.97","1,677",Sep-26,BEDOK RESERVOIR ROAD,Resale,Strata,123,"18,049",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,11 to 15
SCENECA RESIDENCE,"1,580,000",688.9,"2,294",Aug-26,TANAH MERAH KECHIL LINK,Sub Sale,Strata,64,"24,688",-,Apartment,1,99 yrs lease commencing from 2021,16,Outside Central Region,06 to 10
BEDOK COURT,"2,410,000","2,271.2","1,061",Aug-26,BEDOK SOUTH AVENUE 3,Resale,Strata,211,"11,422",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,01 to 05
VELA BAY,"4,765,000","1,582.31","3,011",Aug-26,BAYSHORE WALK,New Sale,Strata,147,"32,415",-,Apartment,1,99 yrs lease commencing from 2025,16,Outside Central Region,11 to 15
WATERFRONT KEY,"1,488,000",850.36,"1,750",Aug-26,BEDOK RESERVOIR ROAD,Resale,Strata,79,"18,835",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,01 to 05
BAYSHORE PARK,"1,080,000",936.47,"1,153",Aug-26,BAYSHORE ROAD,Resale,Strata,87,"12,414",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,01 to 05
SCENECA RESIDENCE,"2,065,000",904.18,"2,284",Aug-26,TANAH MERAH KECHIL LINK,Sub Sale,Strata,84,"24,583",-,Apartment,1,99 yrs lease commencing from 2021,16,Outside Central Region,06 to 10
AQUARIUS BY THE PARK,"1,149,700",893.41,"1,287",Aug-26,BEDOK RESERVOIR VIEW,Resale,Strata,83,"13,852",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,01 to 05
URBAN VISTA,"722,000",441.32,"1,636",Aug-26,TANAH MERAH KECHIL LINK,Resale,Strata,41,"17,610",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10
CHANGI GREEN,"1,190,000",871.88,"1,365",Aug-26,UPPER CHANGI ROAD EAST,Resale,Strata,81,"14,691",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
BAYWATER,"1,880,000","1,270.15","1,480",Aug-26,BEDOK RESERVOIR ROAD,Resale,Strata,118,"15,932",-,Condominium,1,99 yrs lease commencing from 2001,16,Outside Central Region,06 to 10
BEDOK COURT,"2,050,000","1,829.88","1,120",Aug-26,BEDOK SOUTH AVENUE 3,Resale,Strata,170,"12,059",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,06 to 10
GRANDEUR PARK RESIDENCES,"2,400,000","1,130.22","2,123",Aug-26,BEDOK SOUTH AVENUE 3,Resale,Strata,105,"22,857",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,06 to 10
AQUARIUS BY THE PARK,"1,855,000","1,323.97","1,401",Aug-26,BEDOK RESERVOIR VIEW,Resale,Strata,123,"15,081",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,11 to 15
GRANDEUR PARK RESIDENCES,"3,008,888","1,453.14","2,071",Aug-26,BEDOK SOUTH AVENUE 3,Resale,Strata,135,"22,288",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,11 to 15
BAYWATER,"1,865,000","1,291.68","1,444",Aug-26,BEDOK RESERVOIR ROAD,Resale,Strata,120,"15,542",-,Condominium,1,99 yrs lease commencing from 2001,16,Outside Central Region,11 to 15
THE BAYSHORE,"1,735,000","1,227.1","1,414",Aug-26,BAYSHORE ROAD,Resale,Strata,114,"15,219",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,11 to 15
LAGUNA GREEN,"1,570,000","1,184.04","1,326",Aug-26,JALAN HAJIJAH,Resale,Strata,110,"14,273",-,Condominium,1,99 yrs lease commencing from 1995,16,Outside Central Region,01 to 05
SCENECA RESIDENCE,"2,688,000","1,162.51","2,312",Aug-26,TANAH MERAH KECHIL LINK,Sub Sale,Strata,108,"24,889",-,Apartment,1,99 yrs lease commencing from 2021,16,Outside Central Region,06 to 10
PINERY RESIDENCES,"2,110,000",807.3,"2,614",Aug-26,BEDOK RESERVOIR ROAD,New Sale,Strata,75,"28,133",-,Apartment,1,99 yrs lease commencing from 2025,16,Outside Central Region,06 to 10
THE BAYSHORE,"1,820,000","1,259.39","1,445",Aug-26,BAYSHORE ROAD,Resale,Strata,117,"15,556",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,01 to 05
OPTIMA @ TANAH MERAH,"1,828,888","1,054.87","1,734",Aug-26,TANAH MERAH KECHIL AVENUE,Resale,Strata,98,"18,662",-,Condominium,1,99 yrs lease commencing from 2008,16,Outside Central Region,11 to 15
EAST VILLAGE,"1,450,000","1,194.8","1,214",Aug-26,UPPER CHANGI ROAD,Resale,Strata,111,"13,063",-,Apartment,1,Freehold,16,Outside Central Region,01 to 05
COSTA DEL SOL,"2,630,000","1,323.97","1,986",Aug-26,BAYSHORE ROAD,Resale,Strata,123,"21,382",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
ECO,"925,000",635.08,"1,457",Aug-26,BEDOK SOUTH AVENUE 3,Resale,Strata,59,"15,678",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10
WATERFRONT GOLD,"1,516,000",893.41,"1,697",Aug-26,BEDOK RESERVOIR ROAD,Resale,Strata,83,"18,265",-,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,11 to 15
COSTA DEL SOL,"2,880,000","1,560.78","1,845",Aug-26,BAYSHORE ROAD,Resale,Strata,145,"19,862",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
WATERFRONT GOLD,"2,750,000","1,474.67","1,865",Aug-26,BEDOK RESERVOIR ROAD,Resale,Strata,137,"20,073",-,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,06 to 10
ECO,"1,570,000",914.94,"1,716",Aug-26,BEDOK SOUTH AVENUE 3,Resale,Strata,85,"18,471",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10
WATERFRONT GOLD,"1,380,888",893.41,"1,546",Aug-26,BEDOK RESERVOIR ROAD,Resale,Strata,83,"16,637",-,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,01 to 05
SCENECA RESIDENCE,"1,570,000",688.9,"2,279",Aug-26,TANAH MERAH KECHIL LINK,Sub Sale,Strata,64,"24,531",-,Apartment,1,99 yrs lease commencing from 2021,16,Outside Central Region,06 to 10
AQUARIUS BY THE PARK,"1,180,000",893.41,"1,321",Aug-26,BEDOK RESERVOIR VIEW,Resale,Strata,83,"14,217",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,16 to 20
VILLAS LAGUNA,"2,495,000","1,560.78","1,599",Aug-26,UPPER EAST COAST ROAD,Resale,Strata,145,"17,207",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
EASTWOOD REGENCY,"768,000",409.03,"1,878",Aug-26,EASTWOOD ROAD,Resale,Strata,38,"20,211",-,Apartment,1,Freehold,16,Outside Central Region,01 to 05
KEW GREEN,"3,050,000","3,078.5",991,Aug-26,KEW CRESCENT,Resale,Strata,286,"10,664",-,Condominium,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
AQUARIUS BY THE PARK,"1,650,000","1,227.1","1,345",Aug-26,BEDOK RESERVOIR VIEW,Resale,Strata,114,"14,474",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,01 to 05
SCENECA RESIDENCE,"1,730,000",753.48,"2,296",Aug-26,TANAH MERAH KECHIL LINK,Sub Sale,Strata,70,"24,714",-,Apartment,1,99 yrs lease commencing from 2021,16,Outside Central Region,06 to 10
SKY EDEN@BEDOK,"1,390,000",656.6,"2,117",Aug-26,BEDOK CENTRAL,Sub Sale,Strata,61,"22,787",-,Apartment,1,99 yrs lease commencing from 2022,16,Outside Central Region,01 to 05
GRANDEUR PARK RESIDENCES,"2,988,000","1,453.14","2,056",Aug-26,BEDOK SOUTH AVENUE 3,Resale,Strata,135,"22,133",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,11 to 15
THE GLADES,"1,830,000",990.29,"1,848",Aug-26,BEDOK RISE,Resale,Strata,92,"19,891",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,01 to 05
THE BAYSHORE,"2,000,000","1,431.61","1,397",Aug-26,BAYSHORE ROAD,Resale,Strata,133,"15,038",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,21 to 25
COSTA DEL SOL,"2,710,000","1,313.21","2,064",Aug-26,BAYSHORE ROAD,Resale,Strata,122,"22,213",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
THE GLADES,"820,000",473.62,"1,731",Aug-26,BEDOK RISE,Resale,Strata,44,"18,636",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,11 to 15
CASAFINA,"1,350,000",904.18,"1,493",Aug-26,BEDOK SOUTH AVENUE 1,Resale,Strata,84,"16,071",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,01 to 05
KEW GREEN,"2,850,000","2,949.34",966,Aug-26,KEW CRESCENT,Resale,Strata,274,"10,401",-,Condominium,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
GRANDEUR PARK RESIDENCES,"1,130,000",559.73,"2,019",Aug-26,BEDOK SOUTH AVENUE 3,Resale,Strata,52,"21,731",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,06 to 10
THE BAYSHORE,"1,750,000","1,237.86","1,414",Aug-26,BAYSHORE ROAD,Resale,Strata,115,"15,217",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,11 to 15
GRANDEUR PARK RESIDENCES,"1,818,000",882.65,"2,060",Aug-26,BEDOK SOUTH AVENUE 3,Resale,Strata,82,"22,171",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,01 to 05
BEDOK RESIDENCES,"1,580,000",742.72,"2,127",Aug-26,BEDOK NORTH DRIVE,Resale,Strata,69,"22,899",-,Apartment,1,99 yrs lease commencing from 2011,16,Outside Central Region,06 to 10
ECO,"2,100,000","1,151.75","1,823",Aug-26,BEDOK SOUTH AVENUE 3,Resale,Strata,107,"19,626",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
THE GLADES,"795,000",452.09,"1,759",Aug-26,BEDOK RISE,Resale,Strata,42,"18,929",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,11 to 15
BEDOK RESIDENCES,"1,080,000",592.02,"1,824",Aug-26,BEDOK NORTH DRIVE,Resale,Strata,55,"19,636",-,Apartment,1,99 yrs lease commencing from 2011,16,Outside Central Region,06 to 10
COUNTRY PARK CONDOMINIUM,"2,575,000","1,345.5","1,914",Aug-26,BEDOK ROAD,Resale,Strata,125,"20,600",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
RIVIERA RESIDENCES,"2,610,000","1,280.92","2,038",Aug-26,RIVIERA DRIVE,Resale,Strata,119,"21,933",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
BAYSHORE PARK,"1,608,000","1,173.28","1,371",Aug-26,BAYSHORE ROAD,Resale,Strata,109,"14,752",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,21 to 25
VELA BAY,"1,537,000",484.38,"3,173",Aug-26,BAYSHORE WALK,New Sale,Strata,45,"34,156",-,Apartment,1,99 yrs lease commencing from 2025,16,Outside Central Region,26 to 30
GRANDEUR PARK RESIDENCES,"1,850,000",882.65,"2,096",Aug-26,BEDOK SOUTH AVENUE 3,Resale,Strata,82,"22,561",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,06 to 10
CASCADALE,"1,480,000","1,302.44","1,136",Aug-26,UPPER CHANGI ROAD EAST,Resale,Strata,121,"12,231",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
WATERFRONT KEY,"2,850,000","1,517.72","1,878",Aug-26,BEDOK RESERVOIR ROAD,Resale,Strata,141,"20,213",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,06 to 10
BEDOK RESIDENCES,"1,060,000",581.26,"1,824",Aug-26,BEDOK NORTH DRIVE,Resale,Strata,54,"19,630",-,Apartment,1,99 yrs lease commencing from 2011,16,Outside Central Region,11 to 15
STRATFORD COURT,"2,060,000","1,937.52","1,063",Aug-26,BEDOK RIA CRESCENT,Resale,Strata,180,"11,444",-,Condominium,1,99 yrs lease commencing from 1995,16,Outside Central Region,01 to 05
SUNHAVEN,"1,789,000","1,259.39","1,421",Aug-26,UPPER CHANGI ROAD EAST,Resale,Strata,117,"15,291",-,Condominium,1,Freehold,16,Outside Central Region,06 to 10
PARBURY HILL CONDOMINIUM,"2,688,000","1,453.14","1,850",Aug-26,PARBURY AVENUE,Resale,Strata,135,"19,911",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
CASA MERAH,"2,405,000","1,550.02","1,552",Aug-26,TANAH MERAH KECHIL AVENUE,Resale,Strata,144,"16,701",-,Apartment,1,99 yrs lease commencing from 2006,16,Outside Central Region,01 to 05
THE BAYSHORE,"1,308,000","1,011.82","1,293",Aug-26,BAYSHORE ROAD,Resale,Strata,94,"13,915",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,16 to 20
ECO,"959,888",602.78,"1,592",Jul-26,BEDOK SOUTH AVENUE 3,Resale,Strata,56,"17,141",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
SKY EDEN@BEDOK,"2,150,000",893.41,"2,407",Jul-26,BEDOK CENTRAL,Sub Sale,Strata,83,"25,904",-,Apartment,1,99 yrs lease commencing from 2022,16,Outside Central Region,06 to 10
OPTIMA @ TANAH MERAH,"2,180,000","1,302.44","1,674",Jul-26,TANAH MERAH KECHIL AVENUE,Resale,Strata,121,"18,017",-,Condominium,1,99 yrs lease commencing from 2008,16,Outside Central Region,11 to 15
THE BAYSHORE,"1,260,000",947.23,"1,330",Jul-26,BAYSHORE ROAD,Resale,Strata,88,"14,318",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,11 to 15
WATERFRONT WAVES,"1,488,000",990.29,"1,503",Jul-26,BEDOK RESERVOIR ROAD,Resale,Strata,92,"16,174",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,01 to 05
ECO,"878,000",613.55,"1,431",Jul-26,BEDOK SOUTH AVENUE 3,Resale,Strata,57,"15,404",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,01 to 05
URBAN VISTA,"1,420,000","1,248.62","1,137",Jul-26,TANAH MERAH KECHIL LINK,Resale,Strata,116,"12,241",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
THE BAYSHORE,"1,400,000",947.23,"1,478",Jul-26,BAYSHORE ROAD,Resale,Strata,88,"15,909",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,01 to 05
ECO,"858,000",635.08,"1,351",Jul-26,BEDOK SOUTH AVENUE 3,Resale,Strata,59,"14,542",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
CASCADALE,"1,985,000","1,550.02","1,281",Jul-26,UPPER CHANGI ROAD EAST,Resale,Strata,144,"13,785",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
EAST MEADOWS,"1,500,000","1,194.8","1,255",Jul-26,TANAH MERAH KECHIL ROAD,Resale,Strata,111,"13,514",-,Condominium,1,99 yrs lease commencing from 1998,16,Outside Central Region,06 to 10
KEW GREEN,"3,300,000","3,003.16","1,099",Jul-26,KEW CRESCENT,Resale,Strata,279,"11,828",-,Condominium,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
