Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
BAN GUAN PARK,"8,300,000","2,362.7","3,513",Jun-26,GREENLEAF DRIVE,Resale,Land,219.5,"37,813",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
SHAMROCK PARK,"9,160,000","3,204.44","2,859",Jun-26,NAMLY RISE,Resale,Land,297.7,"30,769",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
HENRY PARK,"17,600,000","5,320.65","3,308",Jun-26,GROVE DRIVE,Resale,Land,494.3,"35,606",-,Detached House,1,999 yrs lease commencing from 1885,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"8,180,000","2,599.51","3,147",Jun-26,KING'S ROAD,Resale,Land,241.5,"33,872",-,Terrace House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"13,800,000","10,581.01","1,304",Jun-26,FERNHILL ROAD,Resale,Land,983,"14,039",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"17,900,000","8,878.15","2,016",Jun-26,CORONATION ROAD WEST,Resale,Land,824.8,"21,702",-,Detached House,1,Freehold,10,Core Central Region,-
KING'S GARDEN,"18,000,000","8,977.18","2,005",Jun-26,KING'S ROAD,Resale,Land,834,"21,583",-,Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"34,754,000","24,178.1","1,437",Jun-26,BELMONT ROAD,Resale,Land,"2,246.2","15,472",-,Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"25,246,000","17,563.62","1,437",Jun-26,BELMONT ROAD,Resale,Land,"1,631.7","15,472",-,Detached House,1,Freehold,10,Core Central Region,-
VICTORIA PARK VILLAS,"6,380,000","2,539.23","2,513",May-26,VICTORIA PARK GROVE,Resale,Land,235.9,"27,045",-,Semi-Detached House,1,99 yrs lease commencing from 2013,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"14,200,000","4,909.46","2,892",May-26,FERNHILL CRESCENT,Resale,Land,456.1,"31,134",-,Terrace House,1,Freehold,10,Core Central Region,-
SHAMROCK PARK,"9,030,000","4,261.47","2,119",May-26,NAMLY PLACE,Resale,Land,395.9,"22,809",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,700,000","1,825.57","3,122",May-26,JALAN SIANTAN,Resale,Land,169.6,"33,608",-,Terrace House,1,Freehold,10,Core Central Region,-
BAN GUAN PARK,"20,000,000","6,162.39","3,245",Apr-26,GREENLEAF ROAD,Resale,Land,572.5,"34,934",-,Detached House,1,Freehold,10,Core Central Region,-
BIN TONG PARK,"20,500,000","9,172","2,235",Apr-26,BIN TONG PARK,Resale,Land,852.1,"24,058",-,Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"9,333,333","2,514.47","3,712",Apr-26,MOUNT SINAI CRESCENT,Resale,Land,233.6,"39,954",-,Semi-Detached House,1,999 yrs lease commencing from 1885,10,Core Central Region,-
KIM LIN PARK,"13,800,000","3,706.05","3,724",Apr-26,JALAN TUPAI,Resale,Land,344.3,"40,081",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"7,850,000","3,263.64","2,405",Apr-26,JALAN AMPANG,Resale,Land,303.2,"25,891",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"26,000,000","12,781.17","2,034",Apr-26,GRANGE ROAD,Resale,Land,"1,187.4","21,897",-,Detached House,1,Freehold,10,Core Central Region,-
DUKE'S GARDEN,"10,400,000","3,777.09","2,753",Apr-26,PRINCESS OF WALES ROAD,Resale,Land,350.9,"29,638",-,Semi-Detached House,1,999 yrs lease commencing from 1875,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"38,600,000","15,896.28","2,428",Apr-26,MORLEY ROAD,Resale,Land,"1,476.8","26,138",-,Detached House,1,Freehold,10,Core Central Region,-
HENRY PARK,"9,825,000","8,275.36","1,187",Apr-26,GROVE LANE,Resale,Land,768.8,"12,780",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"6,250,000","2,065.61","3,026",Apr-26,MING TECK PARK,Resale,Land,191.9,"32,569",-,Terrace House,1,999 yrs lease commencing from 1876,10,Core Central Region,-
HOLLAND GARDENS,"8,750,000","3,684.52","2,375",Apr-26,MOONBEAM TERRACE,Resale,Land,342.3,"25,562",-,Semi-Detached House,1,999 yrs lease commencing from 1885,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"64,900,000","14,264.45","4,550",Apr-26,NASSIM ROAD,Resale,Land,"1,325.2","48,974",-,Detached House,1,Freehold,10,Core Central Region,-
SHAMROCK PARK,"8,800,000","3,192.6","2,756",Apr-26,NAMLY AVENUE,Resale,Land,296.6,"29,670",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
