Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PASIR RIS BEACH PARK,"2,330,000","2,397.14",972,Jun-26,PASIR RIS HEIGHTS,Resale,Land,222.7,"10,463",-,Terrace House,1,99 yrs lease commencing from 1978,18,Outside Central Region,-
THE RIVERINA,"2,820,000","1,618.91","1,742",Jun-26,RIVERINA CRESCENT,Resale,Land,150.4,"18,750",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
THE RIVERINA,"2,800,000","1,779.29","1,574",May-26,RIVERINA WALK,Resale,Land,165.3,"16,939",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
PASIR RIS BEACH PARK,"5,300,000","8,009.49",662,May-26,PASIR RIS AVENUE,Resale,Land,744.1,"7,123",-,Detached House,1,99 yrs lease commencing from 1978,18,Outside Central Region,-
THE RIVERINA,"2,518,000","1,628.59","1,546",Mar-26,RIVERINA CRESCENT,Resale,Land,151.3,"16,642",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
PASIR RIS BEACH PARK,"2,100,000","2,486.48",845,Feb-26,PASIR RIS HEIGHTS,Resale,Land,231,"9,091",-,Terrace House,1,99 yrs lease commencing from 1978,18,Outside Central Region,-
PASIR RIS BEACH PARK,"3,980,000","2,442.35","1,630",Feb-26,PASIR RIS TERRACE,Resale,Land,226.9,"17,541",-,Terrace House,1,999 yrs lease commencing from 1874,18,Outside Central Region,-
THE RIVERINA,"2,860,000","2,287.35","1,250",Jan-26,RIVERINA VIEW,Resale,Land,212.5,"13,459",-,Semi-Detached House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
THE RIVERINA,"2,850,000","1,614.6","1,765",Nov-25,RIVERINA CRESCENT,Resale,Land,150,"19,000",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
THE RIVERINA,"3,000,000","2,744.82","1,093",Nov-25,RIVERINA VIEW,Resale,Land,255,"11,765",-,Semi-Detached House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
THE RIVERINA,"2,480,000","1,614.6","1,536",Nov-25,RIVERINA CRESCENT,Resale,Land,150,"16,533",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
THE RIVERINA,"2,600,000","1,614.6","1,610",Nov-25,RIVERINA CRESCENT,Resale,Land,150,"17,333",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
PASIR RIS BEACH PARK,"11,216,000","10,585.32","1,060",Oct-25,PASIR RIS ROAD,Resale,Land,983.4,"11,405",-,Detached House,1,999 yrs lease commencing from 1874,18,Outside Central Region,-
THE RIVERINA,"2,680,000","2,152.8","1,245",Oct-25,RIVERINA CRESCENT,Resale,Land,200,"13,400",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
THE RIVERINA,"2,480,000","1,693.18","1,465",Aug-25,RIVERINA CRESCENT,Resale,Land,157.3,"15,766",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
ELIAS TERRACE,"3,450,000","1,614.6","2,137",Jul-25,ELIAS TERRACE,Resale,Land,150,"23,000",-,Terrace House,1,999 yrs lease commencing from 1881,18,Outside Central Region,-
THE RIVERINA,"2,688,000","1,787.9","1,503",Jun-25,RIVERINA WALK,Resale,Land,166.1,"16,183",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
THE RIVERINA,"2,568,888","1,614.6","1,591",Jun-25,RIVERINA VIEW,Resale,Land,150,"17,126",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
THE RIVERINA,"2,718,800","2,152.8","1,263",Jun-25,RIVERINA VIEW,Resale,Land,200,"13,594",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
THE RIVERINA,"2,900,000","2,430.51","1,193",Jun-25,RIVERINA VIEW,Resale,Land,225.8,"12,843",-,Semi-Detached House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
PASIR RIS BEACH PARK,"3,750,000","2,400.37","1,562",May-25,PASIR RIS TERRACE,Resale,Land,223,"16,816",-,Terrace House,1,999 yrs lease commencing from 1874,18,Outside Central Region,-
PASIR RIS BEACH PARK,"5,000,000","4,006.36","1,248",May-25,PASIR RIS AVENUE,Resale,Land,372.2,"13,434",-,Semi-Detached House,1,999 yrs lease commencing from 1874,18,Outside Central Region,-
PASIR RIS BEACH PARK,"3,800,000","2,642.56","1,438",Apr-25,PASIR RIS VIEW,Resale,Land,245.5,"15,479",-,Terrace House,1,999 yrs lease commencing from 1874,18,Outside Central Region,-
THE RIVERINA,"2,850,000","2,694.23","1,058",Feb-25,RIVERINA CRESCENT,Resale,Land,250.3,"11,386",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
THE RIVERINA,"3,200,000","2,857.84","1,120",Jan-25,RIVERINA VIEW,Resale,Land,265.5,"12,053",-,Semi-Detached House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
THE RIVERINA,"2,500,000","1,614.6","1,548",Jan-25,RIVERINA CRESCENT,Resale,Land,150,"16,667",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
THE RIVERINA,"2,565,000","1,618.91","1,584",Nov-24,RIVERINA VIEW,Resale,Land,150.4,"17,055",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
PASIR RIS BEACH PARK,"2,300,000","2,660.86",864,Nov-24,PASIR RIS HEIGHTS,Resale,Land,247.2,"9,304",-,Terrace House,1,99 yrs lease commencing from 1978,18,Outside Central Region,-
PASIR RIS BEACH PARK,"2,250,000","2,468.19",912,Oct-24,PASIR RIS HEIGHTS,Resale,Land,229.3,"9,812",-,Terrace House,1,99 yrs lease commencing from 1978,18,Outside Central Region,-
THE RIVERINA,"2,900,000","2,450.96","1,183",Oct-24,RIVERINA VIEW,Resale,Land,227.7,"12,736",-,Semi-Detached House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
PASIR RIS BEACH PARK,"6,200,000","3,997.75","1,551",Aug-24,PASIR RIS AVENUE,Resale,Land,371.4,"16,694",-,Semi-Detached House,1,999 yrs lease commencing from 1874,18,Outside Central Region,-
THE RIVERINA,"3,000,000","2,287.35","1,312",Aug-24,RIVERINA VIEW,Resale,Land,212.5,"14,118",-,Semi-Detached House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
THE RIVERINA,"2,988,888","2,287.35","1,307",Aug-24,RIVERINA VIEW,Resale,Land,212.5,"14,065",-,Semi-Detached House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
PASIR RIS BEACH PARK,"2,450,000","2,400.37","1,021",Jul-24,PASIR RIS TERRACE,Resale,Land,223,"10,987",-,Terrace House,1,99 yrs lease commencing from 1978,18,Outside Central Region,-
PASIR RIS BEACH PARK,"4,650,000","3,397.12","1,369",Jun-24,PASIR RIS TERRACE,Resale,Land,315.6,"14,734",-,Terrace House,1,999 yrs lease commencing from 1874,18,Outside Central Region,-
