Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
UNION SQUARE RESIDENCES,"1,955,000",721.19,"2,711",Sep-26,HAVELOCK ROAD,New Sale,Strata,67,"29,179",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,01 to 05
UNION SQUARE RESIDENCES,"1,488,000",505.91,"2,941",Sep-26,HAVELOCK ROAD,New Sale,Strata,47,"31,660",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,11 to 15
ONE MARINA GARDENS,"2,242,332",731.95,"3,063",Sep-26,MARINA GARDENS LANE,New Sale,Strata,68,"32,975",-,Apartment,1,99 years leasehold,01,Rest of Central Region,26 to 30
THE SAIL @ MARINA BAY,"1,980,000",861.12,"2,299",Sep-26,MARINA BOULEVARD,Resale,Strata,80,"24,750",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,56 to 60
SKYWATERS RESIDENCES,"11,480,000","2,088.22","5,498",Sep-26,PRINCE EDWARD ROAD,New Sale,Strata,194,"59,175",-,Apartment,1,99 years leasehold,01,Core Central Region,26 to 30
UNION SQUARE RESIDENCES,"4,698,000","1,517.72","3,095",Sep-26,HAVELOCK ROAD,New Sale,Strata,141,"33,319",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,31 to 35
ONE MARINA GARDENS,"1,951,400",645.84,"3,021",Sep-26,MARINA GARDENS LANE,New Sale,Strata,60,"32,523",-,Apartment,1,99 years leasehold,01,Rest of Central Region,11 to 15
EMERALD GARDEN,"2,350,000","1,001.05","2,348",Sep-26,CLUB STREET,Resale,Strata,93,"25,269",-,Condominium,1,999 yrs lease commencing from 1827,01,Rest of Central Region,01 to 05
UNION SQUARE RESIDENCES,"2,300,000",742.72,"3,097",Sep-26,HAVELOCK ROAD,New Sale,Strata,69,"33,333",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,31 to 35
ONE MARINA GARDENS,"2,255,900",731.95,"3,082",Sep-26,MARINA GARDENS LANE,New Sale,Strata,68,"33,175",-,Apartment,1,99 years leasehold,01,Rest of Central Region,26 to 30
UNION SQUARE RESIDENCES,"2,006,000",742.72,"2,701",Sep-26,HAVELOCK ROAD,New Sale,Strata,69,"29,072",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,01 to 05
UNION SQUARE RESIDENCES,"1,302,000",462.85,"2,813",Sep-26,HAVELOCK ROAD,New Sale,Strata,43,"30,279",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,11 to 15
MARINA BAY SUITES,"4,200,000","2,055.92","2,043",Sep-26,CENTRAL BOULEVARD,Resale,Strata,191,"21,990",-,Condominium,1,99 yrs lease commencing from 2007,01,Core Central Region,46 to 50
PEOPLE'S PARK COMPLEX,"1,200,000","1,119.46","1,072",Sep-26,PARK ROAD,Resale,Strata,104,"11,538",-,Apartment,1,99 yrs lease commencing from 1968,01,Rest of Central Region,21 to 25
UNION SQUARE RESIDENCES,"2,283,000",742.72,"3,074",Sep-26,HAVELOCK ROAD,New Sale,Strata,69,"33,087",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,26 to 30
UNION SQUARE RESIDENCES,"1,286,000",462.85,"2,778",Sep-26,HAVELOCK ROAD,New Sale,Strata,43,"29,907",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,06 to 10
ONE MARINA GARDENS,"2,997,800",979.52,"3,060",Sep-26,MARINA GARDENS LANE,New Sale,Strata,91,"32,943",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,26 to 30
UNION SQUARE RESIDENCES,"1,280,000",462.85,"2,765",Sep-26,HAVELOCK ROAD,New Sale,Strata,43,"29,767",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,06 to 10
MARINA ONE RESIDENCES,"2,150,000","1,130.22","1,902",Sep-26,MARINA WAY,Resale,Strata,105,"20,476",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,01 to 05
ONE MARINA GARDENS,"2,070,800",667.37,"3,103",Aug-26,MARINA GARDENS LANE,New Sale,Strata,62,"33,400",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,16 to 20
PEOPLE'S PARK COMPLEX,"688,000",462.85,"1,486",Aug-26,PARK ROAD,Resale,Strata,43,"16,000",-,Apartment,1,99 yrs lease commencing from 1968,01,Rest of Central Region,11 to 15
THE SAIL @ MARINA BAY,"2,288,000","1,033.34","2,214",Aug-26,MARINA BOULEVARD,Resale,Strata,96,"23,833",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,11 to 15
UNION SQUARE RESIDENCES,"1,915,000",699.66,"2,737",Aug-26,HAVELOCK ROAD,New Sale,Strata,65,"29,462",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,16 to 20
UNION SQUARE RESIDENCES,"1,900,000",699.66,"2,716",Aug-26,HAVELOCK ROAD,New Sale,Strata,65,"29,231",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,11 to 15
ONE MARINA GARDENS,"1,990,500",645.84,"3,082",Aug-26,MARINA GARDENS LANE,New Sale,Strata,60,"33,175",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,16 to 20
THE SAIL @ MARINA BAY,"3,428,000","1,646.89","2,081",Aug-26,MARINA BOULEVARD,Resale,Strata,153,"22,405",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,06 to 10
UNION SQUARE RESIDENCES,"2,032,000",731.95,"2,776",Aug-26,HAVELOCK ROAD,New Sale,Strata,68,"29,882",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,06 to 10
ONE SHENTON,"3,050,000","1,593.07","1,915",Aug-26,SHENTON WAY,Resale,Strata,148,"20,608",-,Apartment,1,99 yrs lease commencing from 2005,01,Core Central Region,36 to 40
UNION SQUARE RESIDENCES,"1,956,000",699.66,"2,796",Aug-26,HAVELOCK ROAD,New Sale,Strata,65,"30,092",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,16 to 20
THE SAIL @ MARINA BAY,"1,880,000",861.12,"2,183",Aug-26,MARINA BOULEVARD,Resale,Strata,80,"23,500",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,31 to 35
THE SAIL @ MARINA BAY,"2,000,000",936.47,"2,136",Aug-26,MARINA BOULEVARD,Resale,Strata,87,"22,989",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,16 to 20
THE CLIFT,"958,000",495.14,"1,935",Aug-26,MCCALLUM STREET,Resale,Strata,46,"20,826",-,Apartment,1,99 yrs lease commencing from 2004,01,Core Central Region,21 to 25
MARINA ONE RESIDENCES,"1,250,000",710.42,"1,760",Aug-26,MARINA WAY,Resale,Strata,66,"18,939",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,06 to 10
ONE MARINA GARDENS,"3,051,300","1,011.82","3,016",Aug-26,MARINA GARDENS LANE,New Sale,Strata,94,"32,461",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,31 to 35
UNION SQUARE RESIDENCES,"1,893,000",699.66,"2,706",Aug-26,HAVELOCK ROAD,New Sale,Strata,65,"29,123",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,11 to 15
UNION SQUARE RESIDENCES,"1,922,000",699.66,"2,747",Aug-26,HAVELOCK ROAD,New Sale,Strata,65,"29,569",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,16 to 20
MARINA ONE RESIDENCES,"1,250,000",721.19,"1,733",Aug-26,MARINA WAY,Resale,Strata,67,"18,657",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,16 to 20
W RESIDENCES MARINA VIEW - SINGAPORE,"1,917,000",710.42,"2,698",Aug-26,MARINA VIEW,New Sale,Strata,66,"29,045",-,Apartment,1,99 years leasehold,01,Core Central Region,16 to 20
MARINA BAY SUITES,"3,000,000","1,571.54","1,909",Aug-26,CENTRAL BOULEVARD,Resale,Strata,146,"20,548",-,Condominium,1,99 yrs lease commencing from 2007,01,Core Central Region,56 to 60
PEOPLE'S PARK COMPLEX,"1,300,000","1,119.46","1,161",Aug-26,PARK ROAD,Resale,Strata,104,"12,500",-,Apartment,1,99 yrs lease commencing from 1968,01,Rest of Central Region,11 to 15
MARINA ONE RESIDENCES,"1,330,000",775.01,"1,716",Aug-26,MARINA WAY,Resale,Strata,72,"18,472",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,26 to 30
UNION SQUARE RESIDENCES,"2,024,000",742.72,"2,725",Aug-26,HAVELOCK ROAD,New Sale,Strata,69,"29,333",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,01 to 05
UNION SQUARE RESIDENCES,"2,275,000",742.72,"3,063",Aug-26,HAVELOCK ROAD,New Sale,Strata,69,"32,971",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,26 to 30
ONE MARINA GARDENS,"2,091,800",667.37,"3,134",Aug-26,MARINA GARDENS LANE,New Sale,Strata,62,"33,739",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,26 to 30
MARINA BAY SUITES,"2,750,000","1,571.54","1,750",Aug-26,CENTRAL BOULEVARD,Resale,Strata,146,"18,836",-,Condominium,1,99 yrs lease commencing from 2007,01,Core Central Region,06 to 10
UNION SQUARE RESIDENCES,"2,107,000",742.72,"2,837",Aug-26,HAVELOCK ROAD,New Sale,Strata,69,"30,536",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,11 to 15
V ON SHENTON,"3,150,000","1,765.3","1,784",Aug-26,SHENTON WAY,Resale,Strata,164,"19,207",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,41 to 45
UNION SQUARE RESIDENCES,"1,432,000",505.91,"2,831",Aug-26,HAVELOCK ROAD,New Sale,Strata,47,"30,468",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,16 to 20
V ON SHENTON,"2,090,000","1,097.93","1,904",Aug-26,SHENTON WAY,Resale,Strata,102,"20,490",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,31 to 35
MARINA ONE RESIDENCES,"3,325,000","1,539.25","2,160",Aug-26,MARINA WAY,Resale,Strata,143,"23,252",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,01 to 05
ONE MARINA GARDENS,"1,956,800",645.84,"3,030",Aug-26,MARINA GARDENS LANE,New Sale,Strata,60,"32,613",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,11 to 15
THE SAIL @ MARINA BAY,"1,180,000",667.37,"1,768",Jul-26,MARINA BOULEVARD,Resale,Strata,62,"19,032",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,21 to 25
ONE MARINA GARDENS,"2,199,100",710.42,"3,095",Jul-26,MARINA GARDENS LANE,New Sale,Strata,66,"33,320",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,21 to 25
ONE MARINA GARDENS,"2,210,300",710.42,"3,111",Jul-26,MARINA GARDENS LANE,New Sale,Strata,66,"33,489",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,26 to 30
