Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THOMSON PARK,"6,000,000","3,006.39","1,996",Jun-26,JALAN IKAN MERAH,Resale,Land,279.3,"21,482",-,Terrace House,1,Freehold,20,Rest of Central Region,-
SEMBAWANG HILLS ESTATE,"4,250,000","2,076.38","2,047",Jun-26,JALAN CHENGAM,Resale,Land,192.9,"22,032",-,Terrace House,1,Freehold,20,Outside Central Region,-
ST NICHOLAS VIEW,"3,000,000","1,614.6","1,858",Jun-26,ST. NICHOLAS VIEW,Resale,Land,150,"20,000",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
SEMBAWANG HILLS ESTATE,"4,600,000","2,047.31","2,247",Jun-26,JALAN CHENGAM,Resale,Land,190.2,"24,185",-,Terrace House,1,Freehold,20,Outside Central Region,-
SEMBAWANG HILLS ESTATE,"6,150,000","3,006.39","2,046",Jun-26,JALAN LEBAN,Resale,Land,279.3,"22,019",-,Semi-Detached House,1,Freehold,20,Outside Central Region,-
CHOON SING GARDEN,"6,700,000","2,798.64","2,394",Jun-26,JALAN BINCHANG,Resale,Land,260,"25,769",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
THOMSON GARDEN ESTATE,"4,350,000","1,660.89","2,619",Jun-26,JALAN KUAK,Resale,Land,154.3,"28,192",-,Terrace House,1,Freehold,20,Rest of Central Region,-
THOMSON PARK,"5,380,000","2,984.86","1,802",Jun-26,JALAN SEMBILANG,Resale,Land,277.3,"19,401",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
CORAL PARK,"4,250,000","1,680.26","2,529",May-26,PEMIMPIN PLACE,Resale,Land,156.1,"27,226",-,Terrace House,1,Freehold,20,Rest of Central Region,-
SEMBAWANG HILLS ESTATE,"5,850,000","3,870.73","1,511",May-26,JALAN CHEMPEDAK,Resale,Land,359.6,"16,268",-,Terrace House,1,Freehold,20,Outside Central Region,-
SHANGRI-LA PARK,"6,709,000","3,699.59","1,813",May-26,SHANGRI-LA CLOSE,Resale,Land,343.7,"19,520",-,Semi-Detached House,1,Freehold,20,Outside Central Region,-
GOLDEN HILL ESTATE,"6,058,000","5,132.28","1,180",May-26,MEI HWAN DRIVE,Resale,Land,476.8,"12,706",-,Terrace House,1,Freehold,20,Outside Central Region,-
THOMSON GARDEN ESTATE,"3,528,000","1,726.55","2,043",May-26,SIN MING ROAD,Resale,Land,160.4,"21,995",-,Terrace House,1,Freehold,20,Rest of Central Region,-
THOMSON GARDEN ESTATE,"5,950,000","1,925.68","3,090",May-26,JALAN ISNIN,Resale,Land,178.9,"33,259",-,Terrace House,1,Freehold,20,Rest of Central Region,-
CHIP THYE GARDEN,"4,580,000","2,160.33","2,120",May-26,YIO CHU KANG GARDENS,Resale,Land,200.7,"22,820",-,Terrace House,1,Freehold,20,Outside Central Region,-
THOMSON HILLS ESTATE,"5,950,000","3,503.68","1,698",May-26,THOMSON GREEN,Resale,Land,325.5,"18,280",-,Semi-Detached House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,138,000","2,878.29","2,133",May-26,THOMSON RIDGE,Resale,Land,267.4,"22,954",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
SEMBAWANG HILLS ESTATE,"6,350,000","2,011.79","3,156",May-26,JALAN LEBAN,Resale,Land,186.9,"33,975",-,Terrace House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"8,750,000","2,799.72","3,125",May-26,JALAN BERJAYA,New Sale,Land,260.1,"33,641",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
THE INGLEWOOD,"4,875,000","1,688.87","2,887",Apr-26,THE INGLEWOOD,Resale,Land,156.9,"31,071",-,Terrace House,1,Freehold,20,Rest of Central Region,-
SOO CHOW GARDEN,"6,380,000","3,018.23","2,114",Apr-26,SOO CHOW VIEW,Resale,Land,280.4,"22,753",-,Terrace House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,000,000","2,239.99","1,786",Apr-26,OLD UPPER THOMSON ROAD,Resale,Land,208.1,"19,222",-,Semi-Detached House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
