Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
WATERBANK AT DAKOTA,"1,255,000",624.31,"2,010",Jul-26,DAKOTA CRESCENT,Resale,Strata,58,"21,638",-,Condominium,1,99 yrs lease commencing from 2009,14,Rest of Central Region,01 to 05
PARC ESTA,"1,728,000",742.72,"2,327",Jul-26,SIMS AVENUE,Resale,Strata,69,"25,043",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,06 to 10
SIMS URBAN OASIS,"1,190,000",667.37,"1,783",Jul-26,SIMS DRIVE,Resale,Strata,62,"19,194",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,01 to 05
PARC ESTA,"1,780,000",742.72,"2,397",Jul-26,SIMS AVENUE,Resale,Strata,69,"25,797",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,16 to 20
TROPIKA EAST,"742,000",441.32,"1,681",Jul-26,FOO KIM LIN ROAD,Resale,Strata,41,"18,098",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
AVANT RESIDENCES,"690,000",484.38,"1,425",Jul-26,ALJUNIED ROAD,Resale,Strata,45,"15,333",-,Apartment,1,99 yrs lease commencing from 2012,14,Rest of Central Region,06 to 10
SIMS URBAN OASIS,"1,235,000",667.37,"1,851",Jul-26,SIMS DRIVE,Resale,Strata,62,"19,919",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,01 to 05
SIMSVILLE,"2,380,000","1,528.49","1,557",Jul-26,GEYLANG EAST AVENUE 2,Resale,Strata,142,"16,761",-,Condominium,1,99 yrs lease commencing from 1994,14,Rest of Central Region,01 to 05
MORI,"1,338,000",710.42,"1,883",Jul-26,GUILLEMARD ROAD,Resale,Strata,66,"20,273",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
THE ANTARES,"1,383,000",667.37,"2,072",Jul-26,MATTAR ROAD,Resale,Strata,62,"22,306",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,06 to 10
THE WATERINA,"2,850,000","1,345.5","2,118",Jul-26,LORONG 40 GEYLANG,Resale,Strata,125,"22,800",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
LE REGAL,"610,000",419.8,"1,453",Jul-26,GEYLANG ROAD,Resale,Strata,39,"15,641",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
EUHABITAT,"1,508,888","1,011.82","1,491",Jul-26,JALAN EUNOS,Resale,Strata,94,"16,052",-,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05
REGAL 35,"1,980,000","2,400.37",825,Jul-26,LORONG 35 GEYLANG,Resale,Strata,223,"8,879",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
WINDY HEIGHTS,"3,580,000","2,475.72","1,446",Jul-26,JALAN DAUD,Resale,Strata,230,"15,565",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
CASA SARINA,"1,700,000","1,259.39","1,350",Jul-26,LORONG SARINA,Resale,Strata,117,"14,530",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
THE HELICONIA,"1,740,000","1,313.21","1,325",Jul-26,JALAN DAUD,Resale,Strata,122,"14,262",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
ESCADA VIEW,"1,360,000","1,205.57","1,128",Jul-26,LENGKONG EMPAT,Resale,Strata,112,"12,143",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
PARK PLACE RESIDENCES AT PLQ,"1,430,000",645.84,"2,214",Jul-26,PAYA LEBAR ROAD,Resale,Strata,60,"23,833",-,Apartment,1,99 yrs lease commencing from 2015,14,Rest of Central Region,06 to 10
VICENTA LODGE,"1,800,000","1,259.39","1,429",Jul-26,LORONG MARZUKI,Resale,Strata,117,"15,385",-,Apartment,1,Freehold,14,Outside Central Region,01 to 05
RESIDENTIAL APARTMENTS,"3,600,000","1,846.03","1,950",Jul-26,LORONG 30 GEYLANG,Resale,Land,171.5,"20,991",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
STARVILLE,"1,700,000","1,216.33","1,398",Jul-26,LENGKONG TIGA,Resale,Strata,113,"15,044",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
