Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE MILTONIA RESIDENCES,"1,035,000",861.12,"1,202",Sep-26,MILTONIA CLOSE,Resale,Strata,80,"12,938",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
SYMPHONY SUITES,"1,188,000",893.41,"1,330",Sep-26,YISHUN CLOSE,Resale,Strata,83,"14,313",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,06 to 10
ORCHID PARK CONDOMINIUM,"1,186,500","1,248.62",950,Sep-26,YISHUN STREET 81,Resale,Strata,116,"10,228",-,Condominium,1,99 yrs lease commencing from 1991,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"2,463,693","1,216.33","2,026",Sep-26,CANBERRA CRESCENT,New Sale,Strata,113,"21,803",-,Apartment,1,99 years leasehold,27,Outside Central Region,01 to 05
THE ESTUARY,"1,500,000","1,216.33","1,233",Sep-26,YISHUN AVENUE 1,Resale,Strata,113,"13,274",-,Condominium,1,99 yrs lease commencing from 2008,27,Outside Central Region,01 to 05
SYMPHONY SUITES,"1,470,000","1,022.58","1,438",Aug-26,YISHUN CLOSE,Resale,Strata,95,"15,474",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,11 to 15
CANBERRA CRESCENT RESIDENCES,"2,469,854","1,216.33","2,031",Aug-26,CANBERRA CRESCENT,New Sale,Strata,113,"21,857",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
YISHUN EMERALD,"1,050,000",958,"1,096",Aug-26,CANBERRA DRIVE,Resale,Strata,89,"11,798",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,11 to 15
ORCHID PARK CONDOMINIUM,"905,000","1,140.98",793,Aug-26,YISHUN STREET 81,Resale,Strata,106,"8,538",-,Condominium,1,99 yrs lease commencing from 1991,27,Outside Central Region,01 to 05
THE ESTUARY,"1,840,000","1,302.44","1,413",Aug-26,YISHUN AVENUE 1,Resale,Strata,121,"15,207",-,Condominium,1,99 yrs lease commencing from 2008,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,476,015","1,216.33","2,036",Aug-26,CANBERRA CRESCENT,New Sale,Strata,113,"21,912",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,456,401","1,216.33","2,020",Aug-26,CANBERRA CRESCENT,New Sale,Strata,113,"21,738",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
NORTH PARK RESIDENCES,"2,010,000","1,001.05","2,008",Aug-26,YISHUN CENTRAL 1,Resale,Strata,93,"21,613",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10
