ref_quarter,project_name,street_name,postal_district,median_psf_pm,psf25,psf75,x,y
2023Q4,ELLIOT AT THE EAST COAST,ELLIOT ROAD,15,3.81,3.39,5.14,38865.17182,32621.92134
2023Q4,MERAWOODS,HILLVIEW AVENUE,23,3.26,2.79,3.37,19806.57039,37591.36252
2023Q3,MERAWOODS,HILLVIEW AVENUE,23,3.3,3,3.48,19806.57039,37591.36252
2024Q4,MERAWOODS,HILLVIEW AVENUE,23,3.27,3.03,3.35,19806.57039,37591.36252
2024Q2,MERAWOODS,HILLVIEW AVENUE,23,3.01,2.86,3.35,19806.57039,37591.36252
2025Q4,MERAWOODS,HILLVIEW AVENUE,23,3.35,3.27,3.46,19806.57039,37591.36252
2025Q2,MERAWOODS,HILLVIEW AVENUE,23,3.12,3.01,3.43,19806.57039,37591.36252
2025Q3,MERAWOODS,HILLVIEW AVENUE,23,3.18,2.99,3.34,19806.57039,37591.36252
2026Q2,MERAWOODS,HILLVIEW AVENUE,23,3.12,3.02,3.26,19806.57039,37591.36252
2024Q1,THE PANORAMA,ANG MO KIO AVENUE 2,20,6.12,5.04,6.97,28117.75127,39714.86481
2023Q3,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.72,5.16,6.33,28117.75127,39714.86481
2023Q4,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.14,4.76,6.5,28117.75127,39714.86481
2024Q3,THE PANORAMA,ANG MO KIO AVENUE 2,20,4.9,4.65,5.7,28117.75127,39714.86481
2024Q4,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.02,4.83,5.92,28117.75127,39714.86481
2024Q2,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.04,4.72,5.57,28117.75127,39714.86481
2025Q1,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.26,4.78,6.57,28117.75127,39714.86481
2026Q2,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.5,4.9,6.41,28117.75127,39714.86481
2025Q4,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.12,4.77,6.1,28117.75127,39714.86481
2026Q1,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.43,5.04,6.52,28117.75127,39714.86481
2025Q2,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.79,5.04,6.76,28117.75127,39714.86481
2025Q3,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.33,4.99,6.3,28117.75127,39714.86481
2024Q1,BOULEVARD 88,ORCHARD BOULEVARD,10,8.4,7.47,9.02,27356.9046,31912.98919
2026Q1,BOULEVARD 88,ORCHARD BOULEVARD,10,8.38,7.62,8.64,27356.9046,31912.98919
2025Q3,BOULEVARD 88,ORCHARD BOULEVARD,10,7.88,7.32,8.54,27356.9046,31912.98919
2026Q2,BOULEVARD 88,ORCHARD BOULEVARD,10,8.78,8.28,9,27356.9046,31912.98919
2023Q4,ARTRA,ALEXANDRA VIEW,03,7.05,6.76,7.62,26209.55579,30277.95039
2023Q3,ARTRA,ALEXANDRA VIEW,03,7.18,6.68,8.01,26209.55579,30277.95039
2024Q1,ARTRA,ALEXANDRA VIEW,03,6.75,6.36,7.4,26209.55579,30277.95039
2024Q4,ARTRA,ALEXANDRA VIEW,03,7,6.84,7.24,26209.55579,30277.95039
2024Q2,ARTRA,ALEXANDRA VIEW,03,7,6.72,7.38,26209.55579,30277.95039
2025Q1,ARTRA,ALEXANDRA VIEW,03,7.24,6.74,7.38,26209.55579,30277.95039
2024Q3,ARTRA,ALEXANDRA VIEW,03,7.18,6.7,7.48,26209.55579,30277.95039
2025Q4,ARTRA,ALEXANDRA VIEW,03,7.26,7.01,7.45,26209.55579,30277.95039
2026Q1,ARTRA,ALEXANDRA VIEW,03,7.38,7,7.65,26209.55579,30277.95039
2025Q2,ARTRA,ALEXANDRA VIEW,03,7.08,6.88,7.3,26209.55579,30277.95039
2025Q3,ARTRA,ALEXANDRA VIEW,03,7.11,7,7.24,26209.55579,30277.95039
2026Q2,ARTRA,ALEXANDRA VIEW,03,7.24,6.79,7.72,26209.55579,30277.95039
2023Q4,8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,5.08,4.97,5.31,29415.96417,31487.80728
2023Q3,8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,5.17,4.82,5.45,29415.96417,31487.80728
2024Q1,8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,4.81,4.53,5.22,29415.96417,31487.80728
2024Q4,8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,4.86,4.43,5.31,29415.96417,31487.80728
2024Q2,8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,4.85,4.66,5.05,29415.96417,31487.80728
2025Q1,8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,4.83,4.56,5.06,29415.96417,31487.80728
2024Q3,8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,4.72,4.47,4.89,29415.96417,31487.80728
2025Q4,8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,4.97,4.74,5.12,29415.96417,31487.80728
2026Q1,8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,4.59,4.28,4.89,29415.96417,31487.80728
2025Q2,8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,4.89,4.65,5.48,29415.96417,31487.80728
2025Q3,8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,5.05,4.88,5.23,29415.96417,31487.80728
2026Q2,8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,4.92,4.75,5.18,29415.96417,31487.80728
2023Q3,DAHLIA PARK CONDOMINIUM,FLORA DRIVE,17,3.23,2.83,3.42,42666.03678,37896.20432
2024Q3,DAHLIA PARK CONDOMINIUM,FLORA DRIVE,17,2.96,2.8,3.15,42666.03678,37896.20432
2024Q4,DAHLIA PARK CONDOMINIUM,FLORA DRIVE,17,2.91,2.69,3.17,42666.03678,37896.20432
2025Q1,DAHLIA PARK CONDOMINIUM,FLORA DRIVE,17,2.87,2.63,3.11,42666.03678,37896.20432
2025Q4,DAHLIA PARK CONDOMINIUM,FLORA DRIVE,17,3,2.88,3.18,42666.03678,37896.20432
2026Q1,DAHLIA PARK CONDOMINIUM,FLORA DRIVE,17,3.02,2.88,3.2,42666.03678,37896.20432
2025Q2,DAHLIA PARK CONDOMINIUM,FLORA DRIVE,17,3.07,2.88,3.25,42666.03678,37896.20432
2026Q2,DAHLIA PARK CONDOMINIUM,FLORA DRIVE,17,3.12,2.96,3.32,42666.03678,37896.20432
2023Q4,PARC KOMO,UPPER CHANGI ROAD NORTH,17,5.17,4.98,5.39,43212.38721,38075.42361
2024Q1,PARC KOMO,UPPER CHANGI ROAD NORTH,17,4.9,4.42,5.29,43212.38721,38075.42361
2024Q2,PARC KOMO,UPPER CHANGI ROAD NORTH,17,4.78,4.65,5.65,43212.38721,38075.42361
2025Q1,PARC KOMO,UPPER CHANGI ROAD NORTH,17,4.92,4.75,6.02,43212.38721,38075.42361
2025Q4,PARC KOMO,UPPER CHANGI ROAD NORTH,17,4.75,4.68,4.9,43212.38721,38075.42361
2026Q1,PARC KOMO,UPPER CHANGI ROAD NORTH,17,4.44,4.37,4.87,43212.38721,38075.42361
2025Q2,PARC KOMO,UPPER CHANGI ROAD NORTH,17,4.97,4.68,5.61,43212.38721,38075.42361
2026Q2,PARC KOMO,UPPER CHANGI ROAD NORTH,17,4.81,4.63,5.4,43212.38721,38075.42361
2023Q3,SIGNATURE PARK,TOH TUCK ROAD,21,3.48,3.14,3.68,20707.31208,35939.54394
2023Q4,SIGNATURE PARK,TOH TUCK ROAD,21,3.57,3.31,3.73,20707.31208,35939.54394
2024Q1,SIGNATURE PARK,TOH TUCK ROAD,21,3.32,3.14,3.47,20707.31208,35939.54394
2024Q3,SIGNATURE PARK,TOH TUCK ROAD,21,3.23,3.09,3.44,20707.31208,35939.54394
2024Q4,SIGNATURE PARK,TOH TUCK ROAD,21,3.24,3.14,3.51,20707.31208,35939.54394
2024Q2,SIGNATURE PARK,TOH TUCK ROAD,21,3.32,3.13,3.53,20707.31208,35939.54394
2025Q1,SIGNATURE PARK,TOH TUCK ROAD,21,3.3,3.22,3.5,20707.31208,35939.54394
2026Q2,SIGNATURE PARK,TOH TUCK ROAD,21,3.36,3.29,3.52,20707.31208,35939.54394
2025Q4,SIGNATURE PARK,TOH TUCK ROAD,21,3.39,3.24,3.56,20707.31208,35939.54394
2026Q1,SIGNATURE PARK,TOH TUCK ROAD,21,3.43,3.25,3.58,20707.31208,35939.54394
2025Q2,SIGNATURE PARK,TOH TUCK ROAD,21,3.29,3.22,3.37,20707.31208,35939.54394
2025Q3,SIGNATURE PARK,TOH TUCK ROAD,21,3.36,3.22,3.55,20707.31208,35939.54394
2024Q1,CLIVEDEN AT GRANGE,GRANGE ROAD,10,5.45,5.11,5.57,27177.82189,31352.48289
2023Q4,CLIVEDEN AT GRANGE,GRANGE ROAD,10,5.54,5.45,5.78,27177.82189,31352.48289
2023Q3,CLIVEDEN AT GRANGE,GRANGE ROAD,10,5.81,5.67,5.91,27177.82189,31352.48289
2024Q3,CLIVEDEN AT GRANGE,GRANGE ROAD,10,5.5,5.34,5.56,27177.82189,31352.48289
2025Q1,CLIVEDEN AT GRANGE,GRANGE ROAD,10,5.28,5.07,5.59,27177.82189,31352.48289
2025Q4,CLIVEDEN AT GRANGE,GRANGE ROAD,10,5.52,5.48,5.63,27177.82189,31352.48289
2026Q1,CLIVEDEN AT GRANGE,GRANGE ROAD,10,5.72,5.56,5.84,27177.82189,31352.48289
2025Q3,CLIVEDEN AT GRANGE,GRANGE ROAD,10,5.63,5.63,5.67,27177.82189,31352.48289
2024Q2,AVA TOWERS,AVA ROAD,12,3.07,2.79,3.14,30059.9759,33837.47233
2026Q2,AVA TOWERS,AVA ROAD,12,3.11,2.92,3.41,30059.9759,33837.47233
2026Q2,8 HULLET,HULLET ROAD,09,8.08,7.73,8.22,28592.24408,31698.50965
2023Q3,THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,5.34,5.09,5.68,29146.11921,25329.21211
2023Q4,THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,5,4.84,5.52,29146.11921,25329.21211
2024Q1,THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,4.45,4.22,4.79,29146.11921,25329.21211
2024Q3,THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,4.5,4.34,4.73,29146.11921,25329.21211
2024Q4,THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,4.67,4.17,4.98,29146.11921,25329.21211
2024Q2,THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,4.56,4.37,4.75,29146.11921,25329.21211
2025Q1,THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,4.8,4.54,5.05,29146.11921,25329.21211
2026Q2,THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,4.69,4.5,4.93,29146.11921,25329.21211
2025Q4,THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,4.99,4.71,5.22,29146.11921,25329.21211
2026Q1,THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,4.65,4.23,4.86,29146.11921,25329.21211
2025Q2,THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,4.71,4.46,5.1,29146.11921,25329.21211
2025Q3,THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,4.89,4.48,5.09,29146.11921,25329.21211
2023Q4,AALTO,MEYER ROAD,15,5,4.84,5.22,35134.1529,31159.70585
2023Q3,AALTO,MEYER ROAD,15,5.21,4.7,5.74,35134.1529,31159.70585
2024Q3,AALTO,MEYER ROAD,15,5.19,4.91,5.29,35134.1529,31159.70585
2025Q3,AALTO,MEYER ROAD,15,5.29,4.84,5.56,35134.1529,31159.70585
2023Q4,MARINA BAY SUITES,CENTRAL BOULEVARD,01,6.08,5.74,6.61,30086.50268,29208.56954
2024Q1,MARINA BAY SUITES,CENTRAL BOULEVARD,01,5.81,5.49,5.99,30086.50268,29208.56954
2023Q3,MARINA BAY SUITES,CENTRAL BOULEVARD,01,6.24,5.89,6.7,30086.50268,29208.56954
2024Q3,MARINA BAY SUITES,CENTRAL BOULEVARD,01,5.84,5.65,6.16,30086.50268,29208.56954
2024Q4,MARINA BAY SUITES,CENTRAL BOULEVARD,01,5.92,5.72,6.32,30086.50268,29208.56954
2024Q2,MARINA BAY SUITES,CENTRAL BOULEVARD,01,5.84,5.6,6,30086.50268,29208.56954
2025Q1,MARINA BAY SUITES,CENTRAL BOULEVARD,01,6.15,5.94,6.41,30086.50268,29208.56954
2025Q4,MARINA BAY SUITES,CENTRAL BOULEVARD,01,6.1,5.85,6.46,30086.50268,29208.56954
2026Q1,MARINA BAY SUITES,CENTRAL BOULEVARD,01,5.99,5.8,6.27,30086.50268,29208.56954
2025Q2,MARINA BAY SUITES,CENTRAL BOULEVARD,01,6.13,5.89,6.35,30086.50268,29208.56954
2025Q3,MARINA BAY SUITES,CENTRAL BOULEVARD,01,6.05,5.79,6.16,30086.50268,29208.56954
2026Q2,MARINA BAY SUITES,CENTRAL BOULEVARD,01,5.97,5.86,6.23,30086.50268,29208.56954
2023Q3,SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,7.62,6.88,8.08,28471.2905,28732.54477
2023Q4,SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,7.48,6.8,7.8,28471.2905,28732.54477
2024Q1,SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,7.02,5.7,7.63,28471.2905,28732.54477
2024Q3,SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,7.25,6.64,7.48,28471.2905,28732.54477
2024Q4,SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,7.23,6.84,7.59,28471.2905,28732.54477
2024Q2,SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,6.88,5.7,7.25,28471.2905,28732.54477
2025Q1,SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,7.15,6.58,7.5,28471.2905,28732.54477
2026Q2,SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,6.88,6.32,7.75,28471.2905,28732.54477
2025Q4,SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,7.08,6.44,7.7,28471.2905,28732.54477
2026Q1,SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,7.3,6.88,7.74,28471.2905,28732.54477
2025Q2,SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,7.25,6.77,7.6,28471.2905,28732.54477
2025Q3,SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,7.08,6.14,7.41,28471.2905,28732.54477
2023Q3,OLEANAS RESIDENCE,KIM YAM ROAD,09,4.73,4.06,5.05,28610.49928,30654.98089
2024Q4,OLEANAS RESIDENCE,KIM YAM ROAD,09,4.53,4.12,4.68,28610.49928,30654.98089
2025Q1,OLEANAS RESIDENCE,KIM YAM ROAD,09,4.5,4.35,4.77,28610.49928,30654.98089
2026Q1,OLEANAS RESIDENCE,KIM YAM ROAD,09,4.71,4.5,4.88,28610.49928,30654.98089
2025Q2,OLEANAS RESIDENCE,KIM YAM ROAD,09,4.69,4.37,5.07,28610.49928,30654.98089
2025Q3,OLEANAS RESIDENCE,KIM YAM ROAD,09,4.5,4.33,4.72,28610.49928,30654.98089
2023Q4,THE JADE,BUKIT BATOK CENTRAL LINK,23,3.77,3.6,4.15,18599.9636,36799.17676
2023Q3,THE JADE,BUKIT BATOK CENTRAL LINK,23,3.95,3.77,4.19,18599.9636,36799.17676
2024Q3,THE JADE,BUKIT BATOK CENTRAL LINK,23,3.85,3.64,4.05,18599.9636,36799.17676
2024Q4,THE JADE,BUKIT BATOK CENTRAL LINK,23,3.86,3.68,3.95,18599.9636,36799.17676
2025Q1,THE JADE,BUKIT BATOK CENTRAL LINK,23,3.68,3.59,3.86,18599.9636,36799.17676
2026Q2,THE JADE,BUKIT BATOK CENTRAL LINK,23,3.83,3.76,3.99,18599.9636,36799.17676
2025Q4,THE JADE,BUKIT BATOK CENTRAL LINK,23,3.75,3.73,3.95,18599.9636,36799.17676
2025Q2,THE JADE,BUKIT BATOK CENTRAL LINK,23,3.88,3.78,3.95,18599.9636,36799.17676
2025Q3,THE JADE,BUKIT BATOK CENTRAL LINK,23,3.85,3.73,4.03,18599.9636,36799.17676
2024Q1,BURLINGTON SQUARE,BENCOOLEN STREET,07,5.34,5.18,5.55,30151.75611,31612.56419
2023Q4,BURLINGTON SQUARE,BENCOOLEN STREET,07,5.48,5.21,5.63,30151.75611,31612.56419
2023Q3,BURLINGTON SQUARE,BENCOOLEN STREET,07,5.73,5.13,6.03,30151.75611,31612.56419
2024Q4,BURLINGTON SQUARE,BENCOOLEN STREET,07,5.05,4.76,5.34,30151.75611,31612.56419
2024Q2,BURLINGTON SQUARE,BENCOOLEN STREET,07,4.98,4.21,5.38,30151.75611,31612.56419
2025Q1,BURLINGTON SQUARE,BENCOOLEN STREET,07,5.33,5.11,5.54,30151.75611,31612.56419
2024Q3,BURLINGTON SQUARE,BENCOOLEN STREET,07,5.37,5.18,5.68,30151.75611,31612.56419
2025Q4,BURLINGTON SQUARE,BENCOOLEN STREET,07,5.19,5.02,5.46,30151.75611,31612.56419
2026Q1,BURLINGTON SQUARE,BENCOOLEN STREET,07,5.44,5.28,5.59,30151.75611,31612.56419
2025Q2,BURLINGTON SQUARE,BENCOOLEN STREET,07,5.06,4.93,5.44,30151.75611,31612.56419
2025Q3,BURLINGTON SQUARE,BENCOOLEN STREET,07,5.51,5.19,5.75,30151.75611,31612.56419
2026Q2,BURLINGTON SQUARE,BENCOOLEN STREET,07,4.91,4.67,5.11,30151.75611,31612.56419
2023Q3,THE VISION,WEST COAST CRESCENT,05,4.98,4.59,5.12,20326.63361,31169.01672
2024Q1,THE VISION,WEST COAST CRESCENT,05,4.69,4.53,4.88,20326.63361,31169.01672
2025Q1,THE VISION,WEST COAST CRESCENT,05,4.61,4.41,4.91,20326.63361,31169.01672
2024Q3,THE VISION,WEST COAST CRESCENT,05,4.69,4.47,4.96,20326.63361,31169.01672
2026Q2,THE VISION,WEST COAST CRESCENT,05,4.7,4.42,4.87,20326.63361,31169.01672
2026Q1,THE VISION,WEST COAST CRESCENT,05,4.76,4.68,4.95,20326.63361,31169.01672
2025Q2,THE VISION,WEST COAST CRESCENT,05,4.65,4.59,5.02,20326.63361,31169.01672
2025Q3,THE VISION,WEST COAST CRESCENT,05,4.7,4.43,4.92,20326.63361,31169.01672
2024Q1,BULLION PARK,LENTOR LOOP,26,3.72,3.34,4.05,28241.68025,41583.60898
2023Q4,BULLION PARK,LENTOR LOOP,26,3.23,2.94,3.59,28241.68025,41583.60898
2023Q3,BULLION PARK,LENTOR LOOP,26,3.39,3.07,3.72,28241.68025,41583.60898
2024Q4,BULLION PARK,LENTOR LOOP,26,3.56,3.14,3.96,28241.68025,41583.60898
2024Q2,BULLION PARK,LENTOR LOOP,26,3.75,3.42,4.01,28241.68025,41583.60898
2025Q1,BULLION PARK,LENTOR LOOP,26,3.47,3.18,3.9,28241.68025,41583.60898
2024Q3,BULLION PARK,LENTOR LOOP,26,3.53,3.18,3.87,28241.68025,41583.60898
2025Q4,BULLION PARK,LENTOR LOOP,26,3.28,3.17,3.78,28241.68025,41583.60898
2026Q1,BULLION PARK,LENTOR LOOP,26,3.64,3.38,4.06,28241.68025,41583.60898
2025Q2,BULLION PARK,LENTOR LOOP,26,3.72,3.47,4.08,28241.68025,41583.60898
2025Q3,BULLION PARK,LENTOR LOOP,26,3.81,3.27,3.96,28241.68025,41583.60898
2026Q2,BULLION PARK,LENTOR LOOP,26,3.84,3.45,4.18,28241.68025,41583.60898
2024Q1,CUBE 8,THOMSON ROAD,11,4.7,4.41,5.04,28907.88866,34502.03697
2023Q4,CUBE 8,THOMSON ROAD,11,5.09,4.76,6.07,28907.88866,34502.03697
2023Q3,CUBE 8,THOMSON ROAD,11,4.98,4.78,5.9,28907.88866,34502.03697
2024Q3,CUBE 8,THOMSON ROAD,11,4.42,4.42,5.36,28907.88866,34502.03697
2024Q4,CUBE 8,THOMSON ROAD,11,5.26,4.66,5.81,28907.88866,34502.03697
2025Q1,CUBE 8,THOMSON ROAD,11,4.7,4.32,5.49,28907.88866,34502.03697
2025Q4,CUBE 8,THOMSON ROAD,11,4.79,4.65,5.81,28907.88866,34502.03697
2026Q1,CUBE 8,THOMSON ROAD,11,5.27,4.53,5.54,28907.88866,34502.03697
2025Q2,CUBE 8,THOMSON ROAD,11,5.36,4.79,6.07,28907.88866,34502.03697
2025Q3,CUBE 8,THOMSON ROAD,11,5.36,4.76,5.54,28907.88866,34502.03697
2024Q1,JERVOIS LODGE,JERVOIS ROAD,10,4.16,3.53,4.2,26870.9379,30737.80418
2023Q3,JERVOIS LODGE,JERVOIS ROAD,10,4.54,4.02,4.77,26870.9379,30737.80418
2025Q2,JERVOIS LODGE,JERVOIS ROAD,10,4.49,4.25,4.72,26870.9379,30737.80418
2025Q3,JERVOIS LODGE,JERVOIS ROAD,10,4.22,3.86,4.46,26870.9379,30737.80418
2024Q1,KENSINGTON SQUARE,JALAN LOKAM,19,5.38,3.98,5.7,33502.15467,36423.53292
2023Q3,KENSINGTON SQUARE,JALAN LOKAM,19,5.08,4.52,5.97,33502.15467,36423.53292
2024Q4,KENSINGTON SQUARE,JALAN LOKAM,19,5.38,3.86,5.95,33502.15467,36423.53292
2024Q2,KENSINGTON SQUARE,JALAN LOKAM,19,5.54,5.22,5.73,33502.15467,36423.53292
2025Q1,KENSINGTON SQUARE,JALAN LOKAM,19,4.89,4.77,5.05,33502.15467,36423.53292
2025Q3,KENSINGTON SQUARE,JALAN LOKAM,19,5.04,3.88,5.38,33502.15467,36423.53292
2026Q2,KENSINGTON SQUARE,JALAN LOKAM,19,5.22,5.13,5.64,33502.15467,36423.53292
2023Q4,PARC PALAIS,HUME AVENUE,21,3.54,3.37,3.63,20401.44464,37717.26702
2024Q1,PARC PALAIS,HUME AVENUE,21,3.57,3.36,3.8,20401.44464,37717.26702
2023Q3,PARC PALAIS,HUME AVENUE,21,3.52,3.37,3.73,20401.44464,37717.26702
2024Q3,PARC PALAIS,HUME AVENUE,21,3.41,3.21,3.64,20401.44464,37717.26702
2024Q4,PARC PALAIS,HUME AVENUE,21,3.53,3.17,3.7,20401.44464,37717.26702
2024Q2,PARC PALAIS,HUME AVENUE,21,3.55,3.12,3.61,20401.44464,37717.26702
2025Q1,PARC PALAIS,HUME AVENUE,21,3.48,3.37,3.67,20401.44464,37717.26702
2025Q4,PARC PALAIS,HUME AVENUE,21,3.37,3.28,3.6,20401.44464,37717.26702
2026Q1,PARC PALAIS,HUME AVENUE,21,3.61,3.46,3.79,20401.44464,37717.26702
2025Q2,PARC PALAIS,HUME AVENUE,21,3.53,3.34,3.68,20401.44464,37717.26702
2025Q3,PARC PALAIS,HUME AVENUE,21,3.41,3.23,3.55,20401.44464,37717.26702
2026Q2,PARC PALAIS,HUME AVENUE,21,3.48,3.36,3.66,20401.44464,37717.26702
2024Q1,DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,09,6.92,6.84,7.06,28458.33083,31239.6316
2023Q3,DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,09,7.67,7.27,8.71,28458.33083,31239.6316
2024Q4,DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,09,7.04,6.71,7.27,28458.33083,31239.6316
2024Q2,DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,09,6.72,6.54,6.92,28458.33083,31239.6316
2025Q1,DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,09,6.92,6.86,7.17,28458.33083,31239.6316
2025Q4,DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,09,6.79,6.66,6.87,28458.33083,31239.6316
2026Q1,DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,09,7.07,6.67,7.27,28458.33083,31239.6316
2025Q2,DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,09,6.92,6.54,7.09,28458.33083,31239.6316
2025Q3,DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,09,6.66,6.26,6.75,28458.33083,31239.6316
2026Q2,DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,09,6.79,6.46,6.92,28458.33083,31239.6316
2024Q3,STRATFORD COURT,BEDOK RIA CRESCENT,16,3.23,3.11,3.37,41128.01058,34527.48184
2026Q2,THE SIERRA,MOUNT SINAI DRIVE,10,4.12,3.84,4.79,22096.93022,33382.90658
2024Q3,PEARL BANK APARTMENT,PEARL BANK,03,7.66,7.19,7.96,28729.52546,29495.08115
2024Q3,HOLLAND RESIDENCES,TAMAN WARNA,10,5.53,5.24,5.6,24237.80112,32558.66002
2026Q2,PULLMAN RESIDENCES NEWTON,DUNEARN ROAD,11,8.21,7.49,8.64,28624.62973,32989.35951
2025Q4,PULLMAN RESIDENCES NEWTON,DUNEARN ROAD,11,7.99,7.45,8.43,28624.62973,32989.35951
2026Q1,PULLMAN RESIDENCES NEWTON,DUNEARN ROAD,11,8.43,7.49,8.72,28624.62973,32989.35951
2025Q2,PULLMAN RESIDENCES NEWTON,DUNEARN ROAD,11,7.42,7.05,8.21,28624.62973,32989.35951
2025Q3,PULLMAN RESIDENCES NEWTON,DUNEARN ROAD,11,7.34,7.03,8.21,28624.62973,32989.35951
2023Q3,THE CREST,PRINCE CHARLES CRESCENT,03,6.1,5.46,6.34,26435.01535,30612.72234
2023Q4,THE CREST,PRINCE CHARLES CRESCENT,03,5.96,5.43,6.36,26435.01535,30612.72234
2024Q1,THE CREST,PRINCE CHARLES CRESCENT,03,5.93,5.57,6.16,26435.01535,30612.72234
2024Q3,THE CREST,PRINCE CHARLES CRESCENT,03,5.46,5.02,5.78,26435.01535,30612.72234
2024Q4,THE CREST,PRINCE CHARLES CRESCENT,03,5.81,5.38,6.25,26435.01535,30612.72234
2024Q2,THE CREST,PRINCE CHARLES CRESCENT,03,5.86,5.44,6.04,26435.01535,30612.72234
2025Q1,THE CREST,PRINCE CHARLES CRESCENT,03,5.61,5.35,5.85,26435.01535,30612.72234
2026Q2,THE CREST,PRINCE CHARLES CRESCENT,03,5.51,5.33,5.81,26435.01535,30612.72234
2025Q4,THE CREST,PRINCE CHARLES CRESCENT,03,5.41,5.11,5.55,26435.01535,30612.72234
2026Q1,THE CREST,PRINCE CHARLES CRESCENT,03,5.49,5.22,5.78,26435.01535,30612.72234
2025Q2,THE CREST,PRINCE CHARLES CRESCENT,03,5.69,5.39,5.9,26435.01535,30612.72234
2025Q3,THE CREST,PRINCE CHARLES CRESCENT,03,5.72,5.22,6,26435.01535,30612.72234
2023Q4,SUNSHINE PLAZA,PRINSEP LINK,07,5.05,4.47,5.69,29923.38616,31415.8189
2023Q3,SUNSHINE PLAZA,PRINSEP LINK,07,5.63,5.31,5.9,29923.38616,31415.8189
2024Q3,SUNSHINE PLAZA,PRINSEP LINK,07,5.33,4.81,5.61,29923.38616,31415.8189
2024Q4,SUNSHINE PLAZA,PRINSEP LINK,07,5.25,4.58,5.68,29923.38616,31415.8189
2024Q2,SUNSHINE PLAZA,PRINSEP LINK,07,5.08,4.79,5.52,29923.38616,31415.8189
2025Q1,SUNSHINE PLAZA,PRINSEP LINK,07,5.04,4.32,5.64,29923.38616,31415.8189
2026Q2,SUNSHINE PLAZA,PRINSEP LINK,07,5.38,5.13,5.72,29923.38616,31415.8189
2025Q3,SUNSHINE PLAZA,PRINSEP LINK,07,5.57,4.84,5.64,29923.38616,31415.8189
2023Q3,BOTANIC GARDENS MANSION,TAMAN SERASI,10,4.08,3.79,4.34,26546.22292,32282.89811
2025Q4,BOTANIC GARDENS MANSION,TAMAN SERASI,10,4.13,3.75,4.34,26546.22292,32282.89811
