stop_code,lat,lon,route_count,stop_name
11169,1.30271,103.79838,13,C'wealth Stn Exit B/C
11171,1.30536,103.7948,10,Opp Blk 7B
11179,1.30628,103.79428,10,Blk 8
11181,1.30722,103.79228,14,Opp Blk 43
11189,1.3074,103.79254,15,Blk 43
11191,1.30802,103.78837,5,The Star Vista
11199,1.30838,103.78843,5,Blk 15
11201,1.30693,103.81186,7,CSC Dempsey Clubhse
11209,1.30817,103.81038,8,Opp Peirce Rd
11211,1.30839,103.8094,7,Aft Peirce Rd
11219,1.30989,103.80716,8,Great Eastern Mansions
11221,1.31002,103.80551,7,Lien Twrs
11229,1.3106,103.80523,8,Sommerville Pk
11231,1.31115,103.8012,6,Aft Hyll on Holland
11239,1.31153,103.80166,7,Fairlodge
11259,1.3112,103.79274,1,Opp Blk 21
11261,1.31223,103.79445,7,Holland Village
11269,1.31256,103.79454,7,Opp Holland Village
11271,1.31473,103.79008,6,Aft East Sussex Lane
11279,1.31467,103.79069,7,Aft Coronation Rd West
11281,1.31623,103.78852,4,Aft Tan Boon Chong Ave
11289,1.31619,103.78904,7,Opp Tan Boon Chong Ave
11291,1.31793,103.78592,5,Cold Storage Jelita
11299,1.31827,103.78559,6,Opp Cold Storage Jelita
11301,1.31804,103.7879,3,Hse No. 578
11309,1.31862,103.78843,3,Hse No. 589
11311,1.3199,103.78919,3,Hse No. 532
11319,1.32031,103.7896,3,Opp Hse No. 516
11321,1.32123,103.7901,3,Opp Regent Villa
11329,1.32236,103.79098,3,Regent Villa
11331,1.32321,103.79145,3,Opp Dynasty Gdn II
11339,1.32399,103.79205,3,Dynasty Lodge
11341,1.32552,103.79283,3,Garlick Ville
11349,1.32563,103.79304,3,Opp Garlick Ville
11351,1.30935,103.78945,3,Blk 13
11359,1.30931,103.78969,3,Opp Blk 13
11361,1.3065,103.79058,10,Buona Vista Stn Exit C
11369,1.30633,103.79085,11,Buona Vista Stn Exit D
11379,1.30917,103.79236,9,Buona Vista Ter
11381,1.30841,103.79328,8,Blk 10A
11389,1.30907,103.79293,8,Buona Vista CC
11401,1.30907,103.79507,5,Holland V Stn/Blk 12
11409,1.30764,103.79433,3,Blk 9
11419,1.31103,103.79604,4,Holland V Stn Exit A
11429,1.30454,103.79836,3,Opp Blk 115B
11439,1.30606,103.8003,3,Blk 92
11441,1.2978,103.79754,1,Blk 58
11449,1.29841,103.7976,1,Blk 37B
11451,1.30035,103.79707,1,Blk 72
11459,1.30097,103.79685,1,Blk 50
11469,1.30114,103.80189,2,Queensway Sec Sch
11471,1.29952,103.80315,2,Opp The Fisherman Ch
11481,1.29812,103.80601,2,Queenstown Lib
11489,1.29882,103.8044,2,Blk 30
11491,1.2971,103.80764,2,Opp Queenstown Pr Sch
11499,1.29685,103.80789,2,Queenstown Pr Sch
11511,1.28595,103.80252,11,Alexandra Hosp
11519,1.28666,103.80334,10,Opp Queensway Shop Ctr
11521,1.28857,103.80543,6,Anchorpoint
11529,1.28903,103.80609,4,Bef IKEA Ind Bldg
11531,1.29109,103.80753,6,Opp Lea Hin Hardware Fty
11539,1.29117,103.80786,4,Lea Hin Hardware Fty
11541,1.29236,103.80579,1,Opp Queens
11551,1.29127,103.8041,1,Tiong Ghee Tp
11561,1.29107,103.80248,1,Blk 166
11579,1.29256,103.80303,1,Blk 158
11589,1.29299,103.80401,1,Blk 157
11599,1.29421,103.80315,1,Blk 153
11609,1.29189,103.80212,1,Blk 163
12021,1.31908,103.78243,5,Bef Moonbeam Wk
12029,1.31958,103.78244,6,Opp Moonbeam Wk
12031,1.3208,103.77963,6,Pandan Valley Condo
12039,1.32105,103.78019,6,Opp Pandan Valley Condo
12041,1.32049,103.77653,5,Aft Pandan Valley
12049,1.32091,103.77656,6,Opp Pandan Valley
12051,1.32043,103.77506,5,Pine Gr Condo
12059,1.32073,103.77516,6,Opp Pine Gr Condo
12061,1.32179,103.77087,8,Blk 109
12069,1.32143,103.77104,7,Opp Blk 109A
12071,1.32402,103.77219,8,Blk 116
12079,1.32383,103.77263,7,Opp Blk 116
12081,1.32527,103.77424,8,Clementi N'hood Pk
12089,1.32626,103.77571,7,Opp Maju Camp
12091,1.32918,103.77715,8,SIM Campus
12099,1.32784,103.7767,7,Opp SIM Campus
12101,1.33244,103.77769,8,Ngee Ann Poly
12109,1.33082,103.77801,7,Opp Ngee Ann Poly
12111,1.31912,103.77223,5,Bef Clementi Rd
12119,1.31965,103.77279,6,Police KINS Trg Camp
12121,1.31165,103.78715,3,Blk 7
12129,1.31182,103.78733,1,Blk 3
12131,1.31416,103.78506,1,Aft Grove Ave
12139,1.31453,103.78504,1,Aft Mt Sinai Lane
12141,1.31574,103.78239,1,Opp Henry Pk
12149,1.31577,103.78266,1,Henry Pk
12151,1.31865,103.78128,1,Bef Moonbeam Terr
12169,1.31917,103.77724,1,Pandan Valley
12179,1.3168,103.77699,1,Montview
12189,1.31643,103.78022,1,Bef Mt Sinai Dr
12199,1.31548,103.77821,1,Opp Village Twr
12201,1.32671,103.764,2,LogisHub @ Clementi
12209,1.32653,103.7643,2,Opp LogisHub @ Clementi
12211,1.31721,103.78071,1,Bef Mt Sinai Wk
13011,1.3065,103.81932,9,Napier Stn Exit 2
13019,1.30674,103.82013,10,Napier Stn Exit 1
13021,1.30634,103.81431,7,Aft Min of Foreign Affairs
13029,1.30672,103.81452,8,Bef Tyersall Ave
13031,1.29913,103.81707,2,Opp Chatsworth Rd
13039,1.29982,103.81744,2,Bef Chatsworth Rd
13041,1.30243,103.81968,2,Aft Camp Rd
13049,1.30262,103.82045,2,Bef Rochalie Dr
13051,1.29334,103.82637,5,Opp Valley Pt
13059,1.29328,103.82663,5,Valley Pt
13062,1.29477,103.82853,3,Stellar RV
13063,1.29535,103.82964,2,RV Suites
13069,1.29488,103.82881,5,RV Residences
13071,1.29634,103.83294,4,Great World Stn Exit 5
13079,1.29612,103.83229,5,Great World Stn Exit 4
13081,1.29591,103.83624,4,St. Thomas Wk
13089,1.29575,103.83604,5,Opp St. Thomas Wk
