lat,lon,name,stn_code,line,operational,network_status,planned_opening,status_as_of,network_status_source,geometry_basis,geometry_source
1.3851009447007478,103.7444056427662,Choa Chu Kang,BP1,Bukit Panjang LRT,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.38453267812522,103.77083795599009,Fajar,BP10,Bukit Panjang LRT,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3877564079180014,103.76965965330062,Segar,BP11,Bukit Panjang LRT,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3866966743897435,103.7645005769824,Jelapang,BP12,Bukit Panjang LRT,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.382699241110327,103.76236875401857,Senja,BP13,Bukit Panjang LRT,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3802982859121633,103.74529179982422,South View,BP2,Bukit Panjang LRT,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3786121661808872,103.749051504225,Keat Hong,BP3,Bukit Panjang LRT,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3766592936677757,103.75369963012857,Teck Whye,BP4,Bukit Panjang LRT,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3786249495777958,103.75803362350752,Phoenix,BP5,Bukit Panjang LRT,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.379064076801204,103.7616847634505,Bukit Panjang,BP6,Bukit Panjang LRT,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3777546489373798,103.76666731246796,Petir,BP7,Bukit Panjang LRT,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3761265378818879,103.77127974986774,Pending,BP8,Bukit Panjang LRT,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3800154940432494,103.77266121712539,Bangkit,BP9,Bukit Panjang LRT,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.29937532378885,103.84571545130635,Dhoby Ghaut,CC1,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3262483643227896,103.88987764662726,MacPherson,CC10,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3354531033639623,103.88816447580918,Tai Seng,CC11,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3428468440311465,103.87972518707302,Bartley,CC12,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.350005490735138,103.87313727417494,Serangoon,CC13,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3516197561190195,103.86414412633293,Lorong Chuan,CC14,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.35108597291661,103.84877558086843,Bishan,CC15,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.348776656282285,103.83941284500592,Marymount,CC16,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.33748940543794,103.83983720927479,Caldecott,CC17,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.322229299461947,103.81546922960197,Botanic Gardens,CC19,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2968267735253725,103.8506555108639,Bras Basah,CC2,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3174545708674896,103.80748912467556,Farrer Road,CC20,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3119456174947703,103.79623333603709,Holland Village,CC21,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3067609114617156,103.79038477947218,Buona Vista,CC22,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2996564796754784,103.78739399257225,one-north,CC23,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2934009386725291,103.78449793831082,Kent Ridge,CC24,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2825029023308565,103.78182132863105,Haw Par Villa,CC25,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2762296702669356,103.79134196564955,Pasir Panjang,CC26,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2723234940934274,103.80292770501198,Labrador Park,CC27,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2705817863242321,103.80973975589153,Telok Blangah,CC28,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.265341837378836,103.82149832356076,HarbourFront,CC29,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2932599000655098,103.85561173048427,Esplanade,CC3,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.27038674504626,103.83010999639494,Keppel,CC30,Circle Line,1,open,2026-07-12,2026-08-08,lta_ccl6_opening_jul_2026,derived_lta_station_exit_points_mean,lta_train_station_exits_jul_2026
1.2730476244702422,103.83697665713747,Cantonment,CC31,Circle Line,1,open,2026-07-12,2026-08-08,lta_ccl6_opening_jul_2026,derived_lta_station_exit_points_mean,lta_train_station_exits_jul_2026
1.2732346336180156,103.84621824156011,Prince Edward Road,CC32,Circle Line,1,open,2026-07-12,2026-08-08,lta_ccl6_opening_jul_2026,derived_lta_station_exit_points_mean,lta_train_station_exits_jul_2026
1.2756992818126485,103.85498359251949,Marina Bay,CC33,Circle Line,1,open,2026-07-12,2026-08-08,lta_ccl6_opening_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2818719112921144,103.85907645389945,Bayfront,CC34,Circle Line,1,open,2026-07-12,2026-08-08,lta_ccl6_opening_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2931585031785204,103.86096253619196,Promenade,CC4,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2998028299201994,103.86363313769341,Nicoll Highway,CC5,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3028540998754146,103.87534796361363,Stadium,CC6,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3061937869977824,103.88254701504702,Mountbatten,CC7,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3083751546451665,103.88866829968163,Dakota,CC8,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3176684105528589,103.89259502750474,Paya Lebar,CC9,Circle Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3349714801716055,103.96204661805372,Expo,CG1,Changi Airport Branch Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3573079309122364,103.98837058084158,Changi Airport,CG2,Changi Airport Branch Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3701885491112453,103.86325202011615,Tavistock,CR10,Cross Island Line,0,planned,2030,2026-08-08,lta_crl1_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3699486591934034,103.8496163528243,Ang Mo Kio,CR11,Cross Island Line,0,planned,2030,2026-08-08,lta_crl1_project,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.365421569047663,103.84351959304189,Teck Ghee,CR12,Cross Island Line,0,planned,2030,2026-08-08,lta_crl1_project,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
