estate,segment,n,resid_raw,resid_shrunk,trust,conn,amen,green,sch,hlth,eldercare,infra,childcare,community,sport,flood,noise,air_noise,jtc_industrial,air_quality,stewardship,env,dens,mom,hawker,provision,weight_covered,score,provision_private,score_private,measured_only,model_version,band,value_score,value_band,mult,value_basis,reported
PUNGGOL,hdb_resale,17417,-0.019784432842110178,-0.019750413641946282,decimal,3.52,2.88,5.0,4.4,2.55,1.5,5.0,1.0,4.0,1.0,5.0,5.0,2.0,3.0,3.0,5.0,4.0,1.0,4.0,3.8,3.45,1.0,3.45,3.48,3.48,False,2.1.0,C,3.5188162649475334,B,1.0199467434630531,direct,3.52
GEYLANG,hdb_resale,5976,0.10882394749504787,0.1082803713337333,decimal,3.79,4.55,3.3,5.0,4.35,5.0,4.0,5.0,5.0,4.0,5.0,1.0,2.0,4.0,3.0,5.0,3.0,1.0,3.0,4.4,3.73,1.0,3.73,3.75,3.75,False,2.1.0,B,3.347212340725992,C,0.897375962661124,direct,3.35
BOON KENG,hdb_resale,7345,0.16241387521837325,0.16175320860731493,decimal,,,,,,,,,,,,,,,,,,,,,,,3.92,,,,2.1.0,,3.3345523590796358,C,0.8506511120101112,proxy_from:KALLANG/WHAMPOA,3.33
CLEMENTI,hdb_resale,5316,0.10381825265988809,0.1032356586494503,decimal,3.75,4.02,3.0,5.0,4.75,4.5,4.0,5.0,5.0,4.0,5.0,2.0,3.0,3.0,3.0,5.0,4.5,1.0,3.0,3.4,3.67,1.0,3.67,3.72,3.72,False,2.1.0,B,3.310025864533922,C,0.9019144045051558,direct,3.31
CENTRAL AREA,hdb_resale,1869,0.2644926980236679,0.26031429837084336,decimal,4.31,5.0,5.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,3.0,4.5,5.0,1.0,3.0,4.8,4.22,1.0,4.22,4.21,4.21,False,2.1.0,B+,3.252815176901283,C,0.7708092836258965,direct,3.25
WOODLEIGH,hdb_resale,7933,0.1003603372618258,0.09998223728469927,decimal,,,,,,,,,,,,,,,,,,,,,,,3.56,,,,2.1.0,,3.2212784263514314,C,0.9048534905481549,proxy_from:TOA PAYOH,3.22
BUKIT MERAH,hdb_resale,9161,0.21516822608794683,0.21446590351340195,decimal,4.34,4.36,3.0,5.0,4.35,4.5,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,1.0,2.0,4.4,3.99,1.0,3.99,3.98,3.98,False,2.1.0,B,3.219819581473879,C,0.8069723261839296,direct,3.22
KALLANG,hdb_resale,7345,0.16241387521837325,0.16175320860731493,decimal,,,,,,,,,,,,,,,,,,,,,,,3.78,,,,2.1.0,,3.2154612033982204,C,0.8506511120101112,proxy_from:KALLANG/WHAMPOA,3.22
TAMPINES EAST,hdb_resale,16707,0.044575099395352424,0.04449520138603986,decimal,,,,,,,,,,,,,,,,,,,,,,,3.13,,,,2.1.0,,2.9937829942674345,D,0.9564801898618002,proxy_from:TAMPINES,2.99
BUKIT TIMAH,hdb_resale,586,0.41015946500893286,0.39018416638836173,decimal,4.02,3.76,4.0,4.6,3.55,3.5,5.0,5.0,5.0,1.0,5.0,1.0,2.0,3.0,3.0,5.0,5.0,2.0,4.0,4.8,3.86,1.0,3.86,3.87,3.87,False,2.1.0,B,2.895,D,0.75,direct,2.9
QUEENSTOWN,hdb_resale,6591,0.21220689282342065,0.21124537541144262,decimal,3.04,4.28,2.0,5.0,4.3,5.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,1.0,3.0,5.0,3.53,1.0,3.53,3.59,3.59,False,2.1.0,B,2.8578011359215134,D,0.8095753926123268,direct,2.86
DOVER,hdb_resale,6591,0.21220689282342065,0.21124537541144262,decimal,,,,,,,,,,,,,,,,,,,,,,,3.51,,,,2.1.0,,2.841609628069267,D,0.8095753926123268,proxy_from:QUEENSTOWN,2.84
