project_name,project_name_norm,postal_district,planning_area,property_type,tenure,sale_month,type_of_sale,transacted_price,area_sqm,floor_level,data_source,bedrooms,bedroom_source
EMERALD GARDEN,EMERALD GARDEN,01,OUTRAM,Condominium,999 Yrs From 01/10/1827,2019-01,Resale,2600000,115.0,,edgeprop_backfill,3,edgeprop_exact
EMERALD GARDEN,EMERALD GARDEN,01,OUTRAM,Condominium,999 Yrs From 01/10/1827,2019-12,Resale,1620000,77.0,,edgeprop_backfill,1,edgeprop_exact
EMERALD GARDEN,EMERALD GARDEN,01,OUTRAM,Condominium,999 Yrs From 01/10/1827,2019-12,Resale,2000000,96.0,,edgeprop_backfill,2,edgeprop_exact
EMERALD GARDEN,EMERALD GARDEN,01,OUTRAM,Condominium,999 Yrs From 01/10/1827,2020-03,Resale,2100000,104.0,,edgeprop_backfill,2,edgeprop_exact
EMERALD GARDEN,EMERALD GARDEN,01,OUTRAM,Condominium,999 Yrs From 01/10/1827,2020-06,Resale,1558000,77.0,,edgeprop_backfill,1,edgeprop_exact
EMERALD GARDEN,EMERALD GARDEN,01,OUTRAM,Condominium,999 Yrs From 01/10/1827,2020-07,Resale,1975000,96.0,,edgeprop_backfill,2,edgeprop_exact
EMERALD GARDEN,EMERALD GARDEN,01,OUTRAM,Condominium,999 Yrs From 01/10/1827,2020-07,Resale,2450000,122.0,,edgeprop_backfill,3,edgeprop_exact
MARINA BAY SUITES,MARINA BAY SUITES,01,DOWNTOWN CORE,Condominium,99 Yrs From 08/03/2007,2019-03,Resale,3380000,151.0,,edgeprop_backfill,3,edgeprop_exact
MARINA BAY SUITES,MARINA BAY SUITES,01,DOWNTOWN CORE,Condominium,99 Yrs From 08/03/2007,2019-08,Resale,3030000,151.0,,edgeprop_backfill,3,edgeprop_exact
MARINA BAY SUITES,MARINA BAY SUITES,01,DOWNTOWN CORE,Condominium,99 Yrs From 08/03/2007,2019-11,Resale,4680000,249.0,,edgeprop_backfill,4,edgeprop_exact
MARINA BAY SUITES,MARINA BAY SUITES,01,DOWNTOWN CORE,Condominium,99 Yrs From 08/03/2007,2020-10,Resale,5150000,249.0,,edgeprop_backfill,4,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-06,Resale,1850000,102.0,,edgeprop_backfill,2,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-06,Resale,2453220,148.0,,edgeprop_backfill,3,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-08,Resale,1226000,57.0,,edgeprop_backfill,1,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-09,Resale,1880000,102.0,,edgeprop_backfill,2,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-09,Resale,2100000,142.0,,edgeprop_backfill,3,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-10,Resale,2300000,141.0,,edgeprop_backfill,3,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-10,Resale,2500000,149.0,,edgeprop_backfill,3,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-11,Resale,2500000,149.0,,edgeprop_backfill,3,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-12,Resale,1060000,54.0,,edgeprop_backfill,1,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-01,Resale,1030000,49.0,,edgeprop_backfill,1,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-01,Resale,1285000,75.0,,edgeprop_backfill,1,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-02,Resale,1080000,54.0,,edgeprop_backfill,1,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-02,Resale,2000000,114.0,,edgeprop_backfill,2,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-04,Resale,1185000,57.0,,edgeprop_backfill,1,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-07,Resale,1000000,54.0,,edgeprop_backfill,1,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-07,Resale,1733000,106.0,,edgeprop_backfill,2,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-08,Resale,1930000,112.0,,edgeprop_backfill,2,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-09,Resale,1750000,105.0,,edgeprop_backfill,2,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-11,Resale,1020000,56.0,,edgeprop_backfill,1,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-11,Resale,1560000,85.0,,edgeprop_backfill,1,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-11,Resale,1620000,85.0,,edgeprop_backfill,1,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-12,Resale,1553500,111.0,,edgeprop_backfill,2,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-12,Resale,1583550,109.0,,edgeprop_backfill,2,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-12,Resale,2300000,148.0,,edgeprop_backfill,3,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-12,Resale,3000000,166.0,,edgeprop_backfill,4,edgeprop_exact
PEOPLE'S PARK COMPLEX,PEOPLES PARK COMPLEX,01,OUTRAM,Apartment,99 Yrs From 25/03/1968,2019-02,Resale,510000,43.0,,edgeprop_backfill,1,edgeprop_exact
PEOPLE'S PARK COMPLEX,PEOPLES PARK COMPLEX,01,OUTRAM,Apartment,99 Yrs From 25/03/1968,2019-03,Resale,928000,104.0,,edgeprop_backfill,3,edgeprop_exact
PEOPLE'S PARK COMPLEX,PEOPLES PARK COMPLEX,01,OUTRAM,Apartment,99 Yrs From 25/03/1968,2019-07,Resale,510000,38.0,,edgeprop_backfill,1,edgeprop_exact
PEOPLE'S PARK COMPLEX,PEOPLES PARK COMPLEX,01,OUTRAM,Apartment,99 Yrs From 25/03/1968,2019-07,Resale,555000,43.0,,edgeprop_backfill,1,edgeprop_exact
PEOPLE'S PARK COMPLEX,PEOPLES PARK COMPLEX,01,OUTRAM,Apartment,99 Yrs From 25/03/1968,2019-08,Resale,1138888,149.0,,edgeprop_backfill,4,edgeprop_exact
PEOPLE'S PARK COMPLEX,PEOPLES PARK COMPLEX,01,OUTRAM,Apartment,99 Yrs From 25/03/1968,2019-10,Resale,469800,38.0,,edgeprop_backfill,1,edgeprop_exact
PEOPLE'S PARK COMPLEX,PEOPLES PARK COMPLEX,01,OUTRAM,Apartment,99 Yrs From 25/03/1968,2019-10,Resale,520000,43.0,,edgeprop_backfill,1,edgeprop_exact
PEOPLE'S PARK COMPLEX,PEOPLES PARK COMPLEX,01,OUTRAM,Apartment,99 Yrs From 25/03/1968,2020-01,Resale,480000,38.0,,edgeprop_backfill,1,edgeprop_exact
PEOPLE'S PARK COMPLEX,PEOPLES PARK COMPLEX,01,OUTRAM,Apartment,99 Yrs From 25/03/1968,2020-01,Resale,900000,104.0,,edgeprop_backfill,3,edgeprop_exact
PEOPLE'S PARK COMPLEX,PEOPLES PARK COMPLEX,01,OUTRAM,Apartment,99 Yrs From 25/03/1968,2020-01,Resale,945000,104.0,,edgeprop_backfill,3,edgeprop_exact
PEOPLE'S PARK COMPLEX,PEOPLES PARK COMPLEX,01,OUTRAM,Apartment,99 Yrs From 25/03/1968,2020-04,Resale,888800,104.0,,edgeprop_backfill,3,edgeprop_exact
PEOPLE'S PARK COMPLEX,PEOPLES PARK COMPLEX,01,OUTRAM,Apartment,99 Yrs From 25/03/1968,2020-07,Resale,468000,38.0,,edgeprop_backfill,1,edgeprop_exact
PEOPLE'S PARK COMPLEX,PEOPLES PARK COMPLEX,01,OUTRAM,Apartment,99 Yrs From 25/03/1968,2020-08,Resale,945000,104.0,,edgeprop_backfill,3,edgeprop_exact
PEOPLE'S PARK COMPLEX,PEOPLES PARK COMPLEX,01,OUTRAM,Apartment,99 Yrs From 25/03/1968,2020-10,Resale,465000,38.0,,edgeprop_backfill,1,edgeprop_exact
PEOPLE'S PARK COMPLEX,PEOPLES PARK COMPLEX,01,OUTRAM,Apartment,99 Yrs From 25/03/1968,2020-11,Resale,1138000,149.0,,edgeprop_backfill,4,edgeprop_exact
PEOPLE'S PARK COMPLEX,PEOPLES PARK COMPLEX,01,OUTRAM,Apartment,99 Yrs From 25/03/1968,2020-12,Resale,1080000,109.0,,edgeprop_backfill,3,edgeprop_exact
RIVERWALK APARTMENTS,RIVERWALK APARTMENTS,01,SINGAPORE RIVER,Apartment,99 Yrs From 15/12/1980,2019-01,Resale,2100000,150.0,,edgeprop_backfill,3,edgeprop_exact
RIVERWALK APARTMENTS,RIVERWALK APARTMENTS,01,SINGAPORE RIVER,Apartment,99 Yrs From 15/12/1980,2020-08,Resale,1700000,117.0,,edgeprop_backfill,2,edgeprop_exact
RIVERWALK APARTMENTS,RIVERWALK APARTMENTS,01,SINGAPORE RIVER,Apartment,99 Yrs From 15/12/1980,2020-08,Resale,1820000,117.0,,edgeprop_backfill,2,edgeprop_exact
RIVERWALK APARTMENTS,RIVERWALK APARTMENTS,01,SINGAPORE RIVER,Apartment,99 Yrs From 15/12/1980,2020-12,Resale,1250000,76.0,,edgeprop_backfill,1,edgeprop_exact
ROBINSON SUITES,ROBINSON SUITES,01,DOWNTOWN CORE,"Apartment, Condominium",Freehold,2019-03,Resale,1280000,45.0,,edgeprop_backfill,1,edgeprop_exact
ROBINSON SUITES,ROBINSON SUITES,01,DOWNTOWN CORE,"Apartment, Condominium",Freehold,2019-08,Resale,1237500,46.0,,edgeprop_backfill,1,edgeprop_exact
ROBINSON SUITES,ROBINSON SUITES,01,DOWNTOWN CORE,"Apartment, Condominium",Freehold,2020-01,Resale,1238000,46.0,,edgeprop_backfill,1,edgeprop_exact
ROBINSON SUITES,ROBINSON SUITES,01,DOWNTOWN CORE,"Apartment, Condominium",Freehold,2020-09,Resale,1200000,47.0,,edgeprop_backfill,1,edgeprop_exact
ROBINSON SUITES,ROBINSON SUITES,01,DOWNTOWN CORE,"Apartment, Condominium",Freehold,2020-12,Resale,1228000,45.0,,edgeprop_backfill,1,edgeprop_exact
THE CLIFT,CLIFT,01,DOWNTOWN CORE,Apartment,99 Yrs From 28/04/2004,2019-02,Resale,1350000,72.0,,edgeprop_backfill,1,edgeprop_exact
THE CLIFT,CLIFT,01,DOWNTOWN CORE,Apartment,99 Yrs From 28/04/2004,2019-02,Resale,1520000,72.0,,edgeprop_backfill,1,edgeprop_exact
THE CLIFT,CLIFT,01,DOWNTOWN CORE,Apartment,99 Yrs From 28/04/2004,2019-03,Resale,1320000,72.0,,edgeprop_backfill,1,edgeprop_exact
THE CLIFT,CLIFT,01,DOWNTOWN CORE,Apartment,99 Yrs From 28/04/2004,2019-03,Resale,1380000,72.0,,edgeprop_backfill,1,edgeprop_exact
THE CLIFT,CLIFT,01,DOWNTOWN CORE,Apartment,99 Yrs From 28/04/2004,2019-05,Resale,1068000,49.0,,edgeprop_backfill,1,edgeprop_exact
THE CLIFT,CLIFT,01,DOWNTOWN CORE,Apartment,99 Yrs From 28/04/2004,2019-06,Resale,1070000,46.0,,edgeprop_backfill,1,edgeprop_exact
THE CLIFT,CLIFT,01,DOWNTOWN CORE,Apartment,99 Yrs From 28/04/2004,2019-07,Resale,1380000,72.0,,edgeprop_backfill,1,edgeprop_exact
THE CLIFT,CLIFT,01,DOWNTOWN CORE,Apartment,99 Yrs From 28/04/2004,2019-07,Resale,1450000,72.0,,edgeprop_backfill,1,edgeprop_exact
THE CLIFT,CLIFT,01,DOWNTOWN CORE,Apartment,99 Yrs From 28/04/2004,2019-10,Resale,1460000,72.0,,edgeprop_backfill,1,edgeprop_exact
THE CLIFT,CLIFT,01,DOWNTOWN CORE,Apartment,99 Yrs From 28/04/2004,2019-11,Resale,1038888,49.0,,edgeprop_backfill,1,edgeprop_exact
THE CLIFT,CLIFT,01,DOWNTOWN CORE,Apartment,99 Yrs From 28/04/2004,2019-12,Resale,1050000,49.0,,edgeprop_backfill,1,edgeprop_exact
THE CLIFT,CLIFT,01,DOWNTOWN CORE,Apartment,99 Yrs From 28/04/2004,2019-12,Resale,1480000,72.0,,edgeprop_backfill,1,edgeprop_exact
THE CLIFT,CLIFT,01,DOWNTOWN CORE,Apartment,99 Yrs From 28/04/2004,2020-03,Resale,950000,46.0,,edgeprop_backfill,1,edgeprop_exact
THE CLIFT,CLIFT,01,DOWNTOWN CORE,Apartment,99 Yrs From 28/04/2004,2020-09,Resale,1460000,72.0,,edgeprop_backfill,1,edgeprop_exact
THE CLIFT,CLIFT,01,DOWNTOWN CORE,Apartment,99 Yrs From 28/04/2004,2020-12,Resale,1525000,76.0,,edgeprop_backfill,1,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2019-01,Sub Sale,1130000,44.0,,edgeprop_backfill,1,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2019-01,New Sale,3130000,141.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2019-01,New Sale,3638000,164.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2019-01,New Sale,10080000,364.0,,edgeprop_backfill,4,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2019-02,New Sale,2855680,112.0,,edgeprop_backfill,2,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2019-03,Sub Sale,1122000,44.0,,edgeprop_backfill,1,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2019-03,New Sale,3150000,141.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2019-05,New Sale,2130000,82.0,,edgeprop_backfill,2,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2019-05,New Sale,2487680,113.0,,edgeprop_backfill,2,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2019-05,New Sale,2990000,126.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2019-07,New Sale,3290240,126.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2019-10,Resale,2972080,112.0,,edgeprop_backfill,2,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2019-11,Resale,2343520,89.0,,edgeprop_backfill,2,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2019-11,Resale,2660000,113.0,,edgeprop_backfill,2,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2019-11,Resale,3258230,126.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2019-12,Resale,2650000,113.0,,edgeprop_backfill,2,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2020-02,Resale,3320000,126.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2020-03,Resale,3400000,141.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2020-06,Resale,3238400,141.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2020-06,Resale,3280000,126.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2020-06,Resale,3300000,126.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2020-06,Resale,3490000,141.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2020-06,Resale,3518000,141.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2020-06,Resale,3548000,141.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2020-06,Resale,3588000,141.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2020-07,Resale,3148000,126.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2020-07,Resale,3260000,126.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2020-07,Resale,3324800,141.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2020-07,Resale,3468000,141.0,,edgeprop_backfill,3,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2020-08,Resale,2000000,98.0,,edgeprop_backfill,2,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2020-12,Resale,1088000,47.0,,edgeprop_backfill,1,edgeprop_exact
V ON SHENTON,V ON SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 29/11/2011,2020-12,Resale,2000000,98.0,,edgeprop_backfill,2,edgeprop_exact
76 SHENTON,76 SHENTON,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 12/04/2007,2019-04,Resale,1680000,91.0,,edgeprop_backfill,2,edgeprop_exact
76 SHENTON,76 SHENTON,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 12/04/2007,2019-06,Resale,1670000,90.0,,edgeprop_backfill,2,edgeprop_exact
76 SHENTON,76 SHENTON,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 12/04/2007,2019-08,Resale,1280000,58.0,,edgeprop_backfill,1,edgeprop_exact
76 SHENTON,76 SHENTON,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 12/04/2007,2019-10,Resale,1630099,90.0,,edgeprop_backfill,2,edgeprop_exact
76 SHENTON,76 SHENTON,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 12/04/2007,2020-02,Resale,1660000,91.0,,edgeprop_backfill,2,edgeprop_exact
76 SHENTON,76 SHENTON,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 12/04/2007,2020-07,Resale,1230000,58.0,,edgeprop_backfill,1,edgeprop_exact
76 SHENTON,76 SHENTON,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 12/04/2007,2020-09,Resale,1180000,58.0,,edgeprop_backfill,1,edgeprop_exact
76 SHENTON,76 SHENTON,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 12/04/2007,2020-09,Resale,1760000,91.0,,edgeprop_backfill,2,edgeprop_exact
76 SHENTON,76 SHENTON,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 12/04/2007,2020-10,Resale,1120000,55.0,,edgeprop_backfill,1,edgeprop_exact
76 SHENTON,76 SHENTON,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 12/04/2007,2020-10,Resale,1150000,58.0,,edgeprop_backfill,1,edgeprop_exact
76 SHENTON,76 SHENTON,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 12/04/2007,2020-10,Resale,1745000,90.0,,edgeprop_backfill,2,edgeprop_exact
76 SHENTON,76 SHENTON,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 12/04/2007,2020-12,Resale,1070000,55.0,,edgeprop_backfill,1,edgeprop_exact
ALTEZ,ALTEZ,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 06/02/2008,2019-03,Resale,1280000,56.0,,edgeprop_backfill,1,edgeprop_exact
ALTEZ,ALTEZ,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 06/02/2008,2019-04,Resale,1250000,49.0,,edgeprop_backfill,1,edgeprop_exact
ALTEZ,ALTEZ,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 06/02/2008,2019-09,Resale,1188000,51.0,,edgeprop_backfill,1,edgeprop_exact
ALTEZ,ALTEZ,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 06/02/2008,2019-09,Resale,1250000,51.0,,edgeprop_backfill,1,edgeprop_exact
ALTEZ,ALTEZ,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 06/02/2008,2019-09,Resale,1320000,56.0,,edgeprop_backfill,1,edgeprop_exact
ALTEZ,ALTEZ,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 06/02/2008,2019-12,Resale,1600000,70.0,,edgeprop_backfill,1,edgeprop_exact
ALTEZ,ALTEZ,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 06/02/2008,2020-09,Resale,1070000,49.0,,edgeprop_backfill,1,edgeprop_exact
ALTEZ,ALTEZ,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 06/02/2008,2020-09,Resale,1428000,70.0,,edgeprop_backfill,1,edgeprop_exact
ALTEZ,ALTEZ,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 06/02/2008,2020-11,Resale,1145000,51.0,,edgeprop_backfill,1,edgeprop_exact
ALTEZ,ALTEZ,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 06/02/2008,2020-11,Resale,1248000,56.0,,edgeprop_backfill,1,edgeprop_exact
CRAIG PLACE,CRAIG PLACE,02,OUTRAM,Apartment,99 Yrs From 22/05/1997,2019-01,Resale,1350000,69.0,,edgeprop_backfill,2,edgeprop_exact
CRAIG PLACE,CRAIG PLACE,02,OUTRAM,Apartment,99 Yrs From 22/05/1997,2019-09,Resale,950000,52.0,,edgeprop_backfill,1,edgeprop_exact
CRAIG PLACE,CRAIG PLACE,02,OUTRAM,Apartment,99 Yrs From 22/05/1997,2020-08,Resale,930000,53.0,,edgeprop_backfill,1,edgeprop_exact
CRAIG PLACE,CRAIG PLACE,02,OUTRAM,Apartment,99 Yrs From 22/05/1997,2020-09,Resale,1350000,68.0,,edgeprop_backfill,2,edgeprop_exact
DORSETT RESIDENCES,DORSETT RESIDENCES,02,OUTRAM,Apartment,99 Yrs From 07/12/2009,2019-11,Resale,1425000,64.0,,edgeprop_backfill,2,edgeprop_exact
DORSETT RESIDENCES,DORSETT RESIDENCES,02,OUTRAM,Apartment,99 Yrs From 07/12/2009,2019-12,Resale,950000,45.0,,edgeprop_backfill,1,edgeprop_exact
DORSETT RESIDENCES,DORSETT RESIDENCES,02,OUTRAM,Apartment,99 Yrs From 07/12/2009,2020-05,Resale,915000,45.0,,edgeprop_backfill,1,edgeprop_exact
DORSETT RESIDENCES,DORSETT RESIDENCES,02,OUTRAM,Apartment,99 Yrs From 07/12/2009,2020-08,Resale,970000,45.0,,edgeprop_backfill,1,edgeprop_exact
DORSETT RESIDENCES,DORSETT RESIDENCES,02,OUTRAM,Apartment,99 Yrs From 07/12/2009,2020-09,Resale,958000,45.0,,edgeprop_backfill,1,edgeprop_exact
DORSETT RESIDENCES,DORSETT RESIDENCES,02,OUTRAM,Apartment,99 Yrs From 07/12/2009,2020-09,Resale,1380000,64.0,,edgeprop_backfill,2,edgeprop_exact
DORSETT RESIDENCES,DORSETT RESIDENCES,02,OUTRAM,Apartment,99 Yrs From 07/12/2009,2020-10,Resale,1430000,64.0,,edgeprop_backfill,2,edgeprop_exact
EON SHENTON,EON SHENTON,02,DOWNTOWN CORE,Apartment,99 Yrs From 06/10/2011,2019-04,Sub Sale,1250000,56.0,,edgeprop_backfill,2,edgeprop_exact
EON SHENTON,EON SHENTON,02,DOWNTOWN CORE,Apartment,99 Yrs From 06/10/2011,2019-06,Sub Sale,1200000,50.0,,edgeprop_backfill,2,edgeprop_exact
EON SHENTON,EON SHENTON,02,DOWNTOWN CORE,Apartment,99 Yrs From 06/10/2011,2019-09,Sub Sale,1300000,50.0,,edgeprop_backfill,2,edgeprop_exact
INTERNATIONAL PLAZA,INTERNATIONAL PLAZA,02,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 02/06/1970,2019-11,Resale,1050000,80.0,,edgeprop_backfill,2,edgeprop_exact
LUMIERE,LUMIERE,02,DOWNTOWN CORE,Apartment,99 Yrs From 21/03/2006,2019-09,Resale,1100000,63.0,,edgeprop_backfill,1,edgeprop_exact
