profile_id,estate,tenure,eligible,rank,profile_score,soft_weight_covered,filter_reasons,borderline_flags,persona,horizon,life_path,liveability_score,liveability_band,life_path_end_score,life_path_delta,value_score,value_band,value_basis,value_n,employment_score,employment_band,lease_score,lease_band,provision_score,provision_band,archetype,measured_only
forming-family-hdb-balanced,WOODLANDS,hdb,False,,3.497,1.0,employment_below:D,,YoungFam,T5,forming_family,3.466,C,3.466,1.193,3.8130020014098256,B,direct,17154.0,2.45,F,4.0,B+,3.31,C,A,False
forming-family-hdb-balanced,PUNGGOL,hdb,False,,3.483,1.0,employment_below:D,,YoungFam,T5,forming_family,3.383,C,3.383,0.624,3.4984173300782726,C,direct,17417.0,2.45,F,5.0,A,3.43,C,E,False
forming-family-hdb-balanced,QUEENSTOWN,hdb,False,,3.479,1.0,value_below:C,,YoungFam,T5,forming_family,3.702,B,3.702,0.423,2.8497053819953906,D,direct,6591.0,4.4,B+,3.0,B,3.52,B,B,False
forming-family-hdb-balanced,BUKIT TIMAH,hdb,False,,3.426,1.0,value_below:C,,YoungFam,T5,forming_family,3.848,B,3.848,1.159,2.8875,D,direct,586.0,3.88,B,2.0,C,3.85,B,D,False
forming-family-hdb-balanced,BISHAN,hdb,False,,3.424,1.0,value_below:C,,YoungFam,T5,forming_family,3.761,B,3.761,0.25,2.759611387296174,D,direct,4192.0,3.73,B,3.0,B,3.61,B,B,False
forming-family-hdb-balanced,DOVER,hdb,False,,3.388,1.0,value_below:C,,YoungFam,T5,forming_family,3.534,B,3.534,0.441,2.8254181202170208,D,proxy_from:QUEENSTOWN,6591.0,4.4,B+,3.0,B,3.49,C,F,False
forming-family-hdb-balanced,SERANGOON,hdb,False,,3.38,1.0,value_below:C,,YoungFam,T5,forming_family,3.685,B,3.685,1.58,2.8266095729186067,D,direct,4226.0,3.73,B,3.0,B,3.15,C,B,False
forming-family-hdb-balanced,TENGAH,hdb,False,,3.048,0.75,liveability_below:C;value_below:C;employment_below:D;value_n_below:100,,YoungFam,T5,forming_family,2.933,D,2.933,1.271,,no_data,no_data,,2.0,F,5.0,A,2.39,F,G,False
forming-family-hdb-balanced,MARINE PARADE,hdb,False,,2.808,1.0,value_below:C;lease_below:C,,YoungFam,T5,forming_family,3.177,C,3.177,0.457,2.339019051878408,F,direct,1461.0,3.83,B,1.0,D,3.03,C,D,False
single-pro-condo-commute-value,BUKIT MERAH,condo,True,1,3.96,0.909,,,SinglePro,T0,settling_single,3.947,B,3.955,0.209,3.799046249539897,B,direct,1745.0,4.22,B+,,,3.99,,B,False
single-pro-condo-commute-value,BOON KENG,condo,True,2,3.934,0.909,,,SinglePro,T0,settling_single,3.855,B,3.855,0.198,4.067039452578751,B+,direct,1535.0,3.92,B,,,3.91,,F,False
single-pro-condo-commute-value,TOA PAYOH,condo,True,3,3.848,0.909,,,SinglePro,T0,settling_single,3.597,B,4.216,0.792,4.226190636977617,B+,direct,3264.0,3.62,B,,,4.13,,B,False
single-pro-condo-commute-value,BEDOK,condo,True,4,3.834,0.909,,,SinglePro,T0,settling_single,3.44,C,4.144,0.888,4.267635163314492,B+,direct,4950.0,3.83,B,,,4.1,,B,False
single-pro-condo-commute-value,ANG MO KIO,condo,True,5,3.672,0.909,,,SinglePro,T0,settling_single,3.543,B,4.154,0.812,4.0425737472639405,B+,direct,4692.0,3.25,C,,,3.69,,B,False
single-pro-condo-commute-value,CHOA CHU KANG,condo,True,6,3.668,0.909,,,SinglePro,T0,settling_single,3.497,C,3.703,0.346,4.100755327322774,B+,direct,5826.0,3.35,C,,,3.67,,B,False
single-pro-condo-commute-value,BISHAN,condo,True,7,3.564,0.909,,,SinglePro,T0,settling_single,3.511,B,3.629,0.237,3.4977308915449403,C,direct,2807.0,3.73,B,,,3.65,,B,False
single-pro-condo-commute-value,QUEENSTOWN,condo,True,8,3.442,0.909,,value_borderline:C,SinglePro,T0,settling_single,3.279,C,3.432,0.332,2.9979910674394343,D,direct,5700.0,4.4,B+,,,3.58,,B,False
single-pro-condo-commute-value,HOLLAND VILLAGE,condo,False,,3.898,0.636,value_below:C;value_n_below:100;value_not_direct,,SinglePro,T0,settling_single,3.782,B,3.782,0.173,,N/A,no_hdb_segment,0.0,4.17,B+,,,3.85,,D,True
single-pro-condo-commute-value,BUKIT BATOK,condo,False,,3.754,0.636,value_below:C;value_n_below:100;value_not_direct,,SinglePro,T0,settling_single,3.596,B,3.737,0.36,,no_data,no_data,,4.08,B+,,,3.73,,B,False
single-pro-condo-commute-value,HOUGANG,condo,False,,3.754,0.636,value_below:C;value_n_below:100;value_not_direct,,SinglePro,T0,settling_single,3.883,B,4.056,0.333,,no_data,no_data,,3.35,C,,,4.03,,B,False
single-pro-condo-commute-value,TAMPINES WEST,condo,False,,3.751,0.909,value_not_direct,,SinglePro,T0,settling_single,3.565,B,3.565,0.102,4.333100004247286,B+,proxy_from:TAMPINES,6788.0,3.3,C,,,3.73,,A,False
single-pro-condo-commute-value,BUKIT PANJANG,condo,False,,3.677,0.636,value_below:C;value_n_below:100;value_not_direct,,SinglePro,T0,settling_single,3.752,B,4.053,0.516,,no_data,no_data,,3.35,C,,,4.01,,B,False
single-pro-condo-commute-value,WOODLEIGH,condo,False,,3.586,0.909,value_not_direct,,SinglePro,T0,settling_single,3.545,B,3.552,0.176,3.6498919137533963,B,proxy_from:TOA PAYOH,3264.0,3.58,B,,,3.59,,E,False
single-pro-condo-commute-value,CENTRAL AREA,condo,False,,3.562,0.318,excluded_archetype:X;liveability_below:C;employment_below:C,,SinglePro,T0,settling_single,,N/R,,,3.4538687910091883,C,direct,3986.0,,N/R,,,4.21,,X,False
single-pro-condo-commute-value,GEYLANG,condo,False,,3.555,0.909,liveability_below:C,,SinglePro,T0,settling_single,2.892,D,3.633,0.889,4.0160333004507,B+,direct,4641.0,4.12,B+,,,3.75,,B,False
single-pro-condo-commute-value,PASIR RIS,condo,False,,3.52,0.636,value_below:C;employment_below:C;value_n_below:100;value_not_direct,,SinglePro,T0,settling_single,3.837,B,4.004,0.225,,no_data,no_data,,2.65,D,,,3.98,,C,False
