project_name,postal_district,planning_area,property_type,tenure,sale_date,sale_month,type_of_sale,price,area_sqft,area_sqm,unit_price_psf,floor_level,unit_floor,address,bedrooms,sources,match_method
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1108900,570.0,53.0,1945,06 to 10,7,53 Canberra Crescent #07-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1109000,570.0,53.0,1946,06 to 10,9,51 Canberra Crescent #09-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1111600,570.0,53.0,1950,06 to 10,8,53 Canberra Crescent #08-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1112000,570.0,53.0,1951,06 to 10,10,51 Canberra Crescent #10-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1114400,570.0,53.0,1955,06 to 10,9,53 Canberra Crescent #09-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1115000,570.0,53.0,1956,11 to 15,11,51 Canberra Crescent #11-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1117000,570.0,53.0,1960,11 to 15,12,51 Canberra Crescent #12-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1117200,570.0,53.0,1960,06 to 10,10,53 Canberra Crescent #10-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1120000,570.0,53.0,1965,11 to 15,11,53 Canberra Crescent #11-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1122800,570.0,53.0,1970,11 to 15,12,53 Canberra Crescent #12-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1317100,667.0,62.0,1975,01 to 05,1,55 Canberra Crescent #01-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1320400,667.0,62.0,1980,01 to 05,2,55 Canberra Crescent #02-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1329300,667.0,62.0,1993,01 to 05,4,53 Canberra Crescent #04-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs from 04/11/2024,2025-08-02,2025-08,New Sale,1330300,667.0,62.0,1994,,5,55 Canberra Crescent #05-XX,2,edgeprop_only,edgeprop_only
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs from 04/11/2024,2025-08-02,2025-08,New Sale,1333600,667.0,62.0,1999,,6,55 Canberra Crescent #06-XX,2,edgeprop_only,edgeprop_only
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1335900,667.0,62.0,2003,06 to 10,6,53 Canberra Crescent #06-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs from 04/11/2024,2025-08-02,2025-08,New Sale,1337000,667.0,62.0,2004,,7,55 Canberra Crescent #07-XX,2,edgeprop_only,edgeprop_only
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1339300,667.0,62.0,2008,06 to 10,7,53 Canberra Crescent #07-XX,2,both,group+floor
