estate,segment,n,resid_raw,resid_shrunk,trust,conn,amen,green,sch,hlth,eldercare,infra,childcare,community,sport,flood,noise,air_noise,jtc_industrial,air_quality,stewardship,env,dens,mom,hawker,provision,weight_covered,score,provision_private,score_private,measured_only,model_version,band,value_score,value_band,mult,value_basis,reported
BUKIT PANJANG,hdb_resale,8552,-0.10679193475103066,-0.10641862339673945,decimal,5.0,4.2,3.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,3.0,5.0,3.5,1.0,3.0,3.4,4.06,1.0,4.06,4.05,4.05,False,2.1.0,B+,4.515886878881718,A,1.1122874085915562,direct,4.52
SEMBAWANG,hdb_resale,7347,-0.11949263521621489,-0.11900669526006975,decimal,3.75,3.95,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.5,1.0,4.0,3.4,3.93,1.0,3.93,3.99,3.99,False,2.1.0,B,4.426663416436825,B+,1.1263774596531362,direct,4.43
CHOA CHU KANG,hdb_resale,10805,-0.15924239340786528,-0.15880148230475202,decimal,3.65,3.05,4.0,5.0,3.9,4.5,4.0,5.0,4.0,5.0,5.0,1.0,5.0,2.0,3.0,4.5,4.0,2.0,4.0,1.8,3.66,1.0,3.66,3.68,3.68,False,2.1.0,B,4.289905178225992,B+,1.1721052399524567,direct,4.29
YISHUN,hdb_resale,16343,-0.07848795023083355,-0.07834413794799465,decimal,4.0,4.6,4.0,5.0,4.45,5.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,4.5,4.0,1.0,3.0,4.4,3.96,1.0,3.96,4.02,4.02,False,2.1.0,B,4.282719320998373,B+,1.0814947780298922,direct,4.28
PASIR RIS,hdb_resale,6971,-0.044085605904417235,-0.04389669458073081,decimal,3.75,4.2,5.0,5.0,4.45,4.0,4.0,5.0,4.0,5.0,5.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,3.8,4.02,1.0,4.02,4.01,4.01,False,2.1.0,B+,4.200395120658407,B+,1.044874408123982,direct,4.2
HOUGANG,hdb_resale,12162,-0.02032627806604559,-0.020276262618048744,decimal,4.85,3.4,4.3,5.0,4.45,4.5,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,3.5,2.0,3.0,1.8,4.08,1.0,4.08,4.1,4.1,False,2.1.0,B+,4.163571547615928,B+,1.0204832224548843,direct,4.16
BEDOK,hdb_resale,12563,0.03194212299897181,0.03186602805019289,decimal,4.45,5.0,4.0,4.4,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,4.0,3.0,3.0,4.5,4.5,1.0,4.0,4.8,4.18,1.0,4.18,4.17,4.17,False,2.1.0,B+,4.048899915773152,B+,0.9686363434864,direct,4.05
JURONG WEST,hdb_resale,15765,-0.12901944050299186,-0.12877438933394558,decimal,3.25,4.2,3.0,5.0,3.9,4.5,3.0,5.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,5.0,3.5,1.0,4.0,3.4,3.54,1.0,3.54,3.62,3.62,False,2.1.0,B,4.026514512442811,B+,1.1374334780911894,direct,4.03
CANBERRA,hdb_resale,7347,-0.11949263521621489,-0.11900669526006975,decimal,,,,,,,,,,,,,,,,,,,,,,,3.57,,,,2.1.0,,4.021167530961696,B+,1.1263774596531362,proxy_from:SEMBAWANG,4.02
SENGKANG,hdb_resale,19482,-0.07327524579632705,-0.07316258397929722,decimal,3.75,4.2,3.0,5.0,4.45,5.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,3.4,3.66,1.0,3.66,3.69,3.69,False,2.1.0,B,3.9378139385252915,B,1.0759054476845058,direct,3.94
BUKIT BATOK,hdb_resale,10304,-0.0594290716207988,-0.05925654673705387,decimal,3.9,3.05,4.0,5.0,4.45,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.5,4.0,1.0,3.0,1.8,3.69,1.0,3.69,3.74,3.74,False,2.1.0,B,3.915264957947881,B,1.0610474140780166,direct,3.92
JURONG EAST,hdb_resale,4869,-0.06212191312318183,-0.061741497243677515,decimal,4.25,4.2,2.0,4.4,3.9,4.5,4.0,5.0,4.0,3.0,5.0,2.0,4.0,3.0,3.0,5.0,3.0,1.0,4.0,3.4,3.62,1.0,3.62,3.63,3.63,False,2.1.0,B,3.850548181932123,B,1.063687343075172,direct,3.85
TOA PAYOH,hdb_resale,7933,0.1003603372618258,0.09998223728469927,decimal,4.6,5.0,5.0,4.4,3.9,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,3.0,5.0,3.5,1.0,3.0,5.0,4.24,1.0,4.24,4.18,4.18,False,2.1.0,B+,3.836578799924177,B,0.9048534905481549,direct,3.84
WOODLANDS,hdb_resale,17154,-0.1417160256400729,-0.14146861637743333,decimal,3.15,3.4,2.0,5.0,3.35,5.0,3.0,5.0,5.0,2.0,5.0,4.0,5.0,2.0,3.0,5.0,3.0,1.0,4.0,1.8,3.29,1.0,3.29,3.41,3.41,False,2.1.0,C,3.789962714392243,B,1.1519643508791013,direct,3.79
TAMPINES,hdb_resale,16707,0.044575099395352424,0.04449520138603986,decimal,4.4,3.4,3.3,5.0,4.45,5.0,4.0,5.0,5.0,3.0,5.0,2.0,4.0,3.0,3.0,5.0,2.5,2.0,4.0,1.8,3.78,1.0,3.78,3.81,3.81,False,2.1.0,B,3.6154951176776042,B,0.9564801898618002,direct,3.62
ANG MO KIO,hdb_resale,9710,0.027781889450348096,0.027696318948960595,decimal,3.55,4.6,4.0,5.0,5.0,4.5,3.0,5.0,5.0,4.0,4.0,2.0,2.0,4.0,3.0,5.0,4.0,1.0,4.0,4.4,3.7,1.0,3.7,3.75,3.75,False,2.1.0,B,3.598929717990214,B,0.9726837075649226,direct,3.6
TAMPINES WEST,hdb_resale,16707,0.044575099395352424,0.04449520138603986,decimal,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,2.1.0,,3.5868007119817507,B,0.9564801898618002,proxy_from:TAMPINES,3.59
PUNGGOL,hdb_resale,17417,-0.019784432842110178,-0.019750413641946282,decimal,3.4,2.85,5.0,4.4,2.1,1.5,5.0,1.0,4.0,1.0,5.0,5.0,2.0,3.0,3.0,5.0,4.0,1.0,4.0,3.8,3.41,1.0,3.41,3.45,3.45,False,2.1.0,C,3.4780183952090113,C,1.0199467434630531,direct,3.48
GEYLANG,hdb_resale,5976,0.10882394749504787,0.1082803713337333,decimal,3.9,4.65,3.3,5.0,4.45,5.0,4.0,5.0,5.0,4.0,5.0,1.0,2.0,4.0,3.0,5.0,3.0,1.0,3.0,4.4,3.76,1.0,3.76,3.77,3.77,False,2.1.0,B,3.374133619605826,C,0.897375962661124,direct,3.37
CLEMENTI,hdb_resale,5316,0.10381825265988809,0.1032356586494503,decimal,3.75,4.2,3.0,5.0,5.0,4.5,4.0,5.0,5.0,4.0,5.0,2.0,3.0,3.0,3.0,5.0,4.5,1.0,3.0,3.4,3.7,1.0,3.7,3.75,3.75,False,2.1.0,B,3.3370832966690767,C,0.9019144045051558,direct,3.34
BOON KENG,hdb_resale,7345,0.16241387521837325,0.16175320860731493,decimal,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,2.1.0,,3.3175393368394337,C,0.8506511120101112,proxy_from:KALLANG/WHAMPOA,3.32
CENTRAL AREA,hdb_resale,1869,0.2644926980236679,0.26031429837084336,decimal,4.6,5.0,5.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,3.0,4.5,5.0,1.0,3.0,4.8,4.26,1.0,4.26,4.24,4.24,False,2.1.0,B+,3.2836475482463188,C,0.7708092836258965,direct,3.28
BUKIT MERAH,hdb_resale,9161,0.21516822608794683,0.21446590351340195,decimal,4.5,4.6,3.0,5.0,4.45,4.5,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,1.0,2.0,4.4,4.03,1.0,4.03,4.03,4.03,False,2.1.0,B+,3.2520984745212362,C,0.8069723261839296,direct,3.25
WOODLEIGH,hdb_resale,7933,0.1003603372618258,0.09998223728469927,decimal,,,,,,,,,,,,,,,,,,,,,,,3.59,,,,2.1.0,,3.248424031067876,C,0.9048534905481549,proxy_from:TOA PAYOH,3.25
KALLANG,hdb_resale,7345,0.16241387521837325,0.16175320860731493,decimal,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,2.1.0,,3.1899416700379173,C,0.8506511120101112,proxy_from:KALLANG/WHAMPOA,3.19
TAMPINES EAST,hdb_resale,16707,0.044575099395352424,0.04449520138603986,decimal,,,,,,,,,,,,,,,,,,,,,,,3.13,,,,2.1.0,,2.9937829942674345,D,0.9564801898618002,proxy_from:TAMPINES,2.99
BUKIT TIMAH,hdb_resale,586,0.41015946500893286,0.39018416638836173,decimal,4.2,4.25,4.0,4.6,3.35,3.5,5.0,5.0,5.0,1.0,5.0,1.0,2.0,3.0,3.0,5.0,5.0,2.0,4.0,4.8,3.92,1.0,3.92,3.94,3.94,False,2.1.0,B,2.94,D,0.75,direct,2.94
QUEENSTOWN,hdb_resale,6591,0.21220689282342065,0.21124537541144262,decimal,3.15,4.15,2.0,5.0,4.1,5.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,1.0,3.0,5.0,3.53,1.0,3.53,3.58,3.58,False,2.1.0,B,2.8578011359215134,D,0.8095753926123268,direct,2.86
SERANGOON,hdb_resale,4226,0.10909347613474996,0.1083244901657541,decimal,2.1,3.75,3.0,5.0,3.0,1.5,2.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,4.5,2.0,4.0,4.4,3.18,1.0,3.18,3.29,3.29,False,2.1.0,C,2.8535296640892605,D,0.8973363723551133,direct,2.85
DOVER,hdb_resale,6591,0.21220689282342065,0.21124537541144262,decimal,,,,,,,,,,,,,,,,,,,,,,,3.46,,,,2.1.0,,2.8011308584386505,D,0.8095753926123268,proxy_from:QUEENSTOWN,2.8
BISHAN,hdb_resale,4192,0.2705402651893767,0.26861790423350623,decimal,3.6,3.4,4.0,5.0,3.35,4.5,4.0,4.0,4.0,5.0,5.0,2.0,3.0,4.0,3.0,5.0,5.0,2.0,3.0,1.8,3.61,1.0,3.61,3.65,3.65,False,2.1.0,B,2.759611387296174,D,0.7644352873396604,direct,2.76
MARINE PARADE,hdb_resale,1461,0.26414579129699334,0.25883098664312776,decimal,2.6,3.0,4.3,4.4,3.55,3.5,3.0,3.0,4.0,1.0,5.0,1.0,3.0,4.0,3.0,5.0,4.0,1.0,2.0,3.4,3.03,1.0,3.03,3.07,3.07,False,2.1.0,C,2.3390190518784078,F,0.7719534824681215,direct,2.34
LENTOR,hdb_resale,0,,,band_only,,,,,,,,,,,,,,,,,,,,,,,3.52,,,,2.1.0,,,N/A,,no_hdb_segment,no private-segment match
HOLLAND VILLAGE,hdb_resale,0,,,band_only,,,,,,,,,,,,,,,,,,,,,,,3.89,,,,2.1.0,,,N/A,,no_hdb_segment,no private-segment match
