project_name,street_name,postal_district,planning_area,lat,lon,match_status,match_score,query_used,onemap_building,onemap_road,onemap_address,onemap_postal,review_note
ALTEZ,ENGGOR STREET,02,CENTRAL AREA,1.274617941038219,103.8443195536877,matched,105,ALTEZ ENGGOR STREET,ALTEZ,ENGGOR STREET,16 ENGGOR STREET ALTEZ SINGAPORE 079717,079717,"project,street"
CRAIG PLACE,CRAIG ROAD,02,CENTRAL AREA,1.278031247126998,103.8423879126401,matched,105,CRAIG PLACE CRAIG ROAD,CRAIG PLACE,CRAIG ROAD,20 CRAIG ROAD CRAIG PLACE SINGAPORE 089692,089692,"project,street"
DORSETT RESIDENCES,NEW BRIDGE ROAD,02,CENTRAL AREA,1.2800452933183,103.8403586732533,matched,105,DORSETT RESIDENCES NEW BRIDGE ROAD,DORSETT RESIDENCES,NEW BRIDGE ROAD,331 NEW BRIDGE ROAD DORSETT RESIDENCES SINGAPORE 088764,088764,"project,street"
EON SHENTON,SHENTON WAY,02,CENTRAL AREA,1.273886603639456,103.8462355422443,matched,105,EON SHENTON SHENTON WAY,EON SHENTON,SHENTON WAY,70 SHENTON WAY EON SHENTON SINGAPORE 079118,079118,"project,street"
ICON,GOPENG STREET,02,CENTRAL AREA,1.275169975779209,103.8444963126445,matched,105,ICON GOPENG STREET,ICON,GOPENG STREET,10 GOPENG STREET ICON SINGAPORE 078878,078878,"project,street"
INTERNATIONAL PLAZA,ANSON ROAD,02,CENTRAL AREA,1.27588674266837,103.845923793168,matched,105,INTERNATIONAL PLAZA ANSON ROAD,INTERNATIONAL PLAZA,ANSON ROAD,10 ANSON ROAD INTERNATIONAL PLAZA SINGAPORE 079903,079903,"project,street"
LUMIERE,MISTRI ROAD,02,CENTRAL AREA,1.274262456853353,103.8460250873715,matched,105,LUMIERE MISTRI ROAD,LUMIERE,MISTRI ROAD,2 MISTRI ROAD LUMIERE SINGAPORE 079624,079624,"project,street"
NEWPORT RESIDENCES,ANSON ROAD,02,CENTRAL AREA,1.274622454168776,103.8455254265378,low_confidence,35,ANSON ROAD,NIL,ANSON ROAD,ANSON ROAD,NIL,street
ONE BERNAM,BERNAM STREET,02,CENTRAL AREA,1.273862943505204,103.8437104845058,matched,105,ONE BERNAM BERNAM STREET,ONE BERNAM,BERNAM STREET,1 BERNAM STREET ONE BERNAM SINGAPORE 078852,078852,"project,street"
ONZE @ TANJONG PAGAR,KEE SENG STREET,02,CENTRAL AREA,1.274849748368617,103.8421848156174,matched,105,ONZE @ TANJONG PAGAR KEE SENG STREET,ONZE @ TANJONG PAGAR,KEE SENG STREET,11 KEE SENG STREET ONZE @ TANJONG PAGAR SINGAPORE 089218,089218,"project,street"
SKY EVERTON,EVERTON ROAD,02,CENTRAL AREA,1.275889767875465,103.8381517091216,matched,105,SKY EVERTON EVERTON ROAD,SKY EVERTON,EVERTON ROAD,50 EVERTON ROAD SKY EVERTON SINGAPORE 089396,089396,"project,street"
