project_name,street_name,postal_district,planning_area,lat,lon,match_status,match_score,query_used,onemap_building,onemap_road,onemap_address,onemap_postal,review_note
DORMER PARK,JERVOIS ROAD,10,BUKIT TIMAH,1.294696601029312,103.8213920337675,matched,105,DORMER PARK JERVOIS ROAD,DORMER PARK,JERVOIS ROAD,53 JERVOIS ROAD DORMER PARK SINGAPORE 249046,249046,"project,street"
DRAYCOTT EIGHT,DRAYCOTT PARK,10,BUKIT TIMAH,1.311388412613092,103.8321820290218,matched,105,DRAYCOTT EIGHT DRAYCOTT PARK,DRAYCOTT EIGHT,DRAYCOTT PARK,10 DRAYCOTT PARK DRAYCOTT EIGHT SINGAPORE 259405,259405,"project,street"
DUCHESS CREST,DUCHESS AVENUE,10,BUKIT TIMAH,1.324664255222955,103.8029915093057,matched,105,DUCHESS CREST DUCHESS AVENUE,DUCHESS CREST,DUCHESS AVENUE,66 DUCHESS AVENUE DUCHESS CREST SINGAPORE 269204,269204,"project,street"
DUCHESS MANOR,DUCHESS ROAD,10,BUKIT TIMAH,1.324560203798761,103.8070570277685,matched,105,DUCHESS MANOR DUCHESS ROAD,DUCHESS MANOR,DUCHESS ROAD,20 DUCHESS ROAD DUCHESS MANOR SINGAPORE 268988,268988,"project,street"
DUCHESS RESIDENCES,DUCHESS AVENUE,10,BUKIT TIMAH,1.324524112241207,103.8015204185125,matched,105,DUCHESS RESIDENCES DUCHESS AVENUE,DUCHESS RESIDENCES,DUCHESS AVENUE,102 DUCHESS AVENUE DUCHESS RESIDENCES SINGAPORE 266310,266310,"project,street"
DUCHESS ROYALE,DUCHESS AVENUE,10,BUKIT TIMAH,1.324203099278842,103.8061775147994,matched,105,DUCHESS ROYALE DUCHESS AVENUE,DUCHESS ROYALE,DUCHESS AVENUE,32 DUCHESS AVENUE DUCHESS ROYALE SINGAPORE 269105,269105,"project,street"
DUET,HOLLAND ROAD,10,BUKIT TIMAH,1.311041870403681,103.8043815417544,matched,105,DUET HOLLAND ROAD,DUET,HOLLAND ROAD,78 HOLLAND ROAD DUET SINGAPORE 258873,258873,"project,street"
DUKES RESIDENCE,DUKE'S ROAD,10,BUKIT TIMAH,1.321547798083932,103.8112866419648,matched,105,DUKES RESIDENCE DUKE'S ROAD,DUKES RESIDENCE,DUKE'S ROAD,25 DUKE'S ROAD DUKES RESIDENCE SINGAPORE 268906,268906,"project,street"
DYNASTY GARDEN,SIXTH AVENUE,10,BUKIT TIMAH,1.323325941959704,103.7920458376859,matched,105,DYNASTY GARDEN SIXTH AVENUE,DYNASTY GARDEN,SIXTH AVENUE,271 SIXTH AVENUE DYNASTY GARDEN SINGAPORE 276562,276562,"project,street"
DYNASTY LODGE,SIXTH AVENUE,10,BUKIT TIMAH,1.323824294266948,103.7924065895761,matched,105,DYNASTY LODGE SIXTH AVENUE,DYNASTY LODGE,SIXTH AVENUE,265 SIXTH AVENUE DYNASTY LODGE SINGAPORE 276559,276559,"project,street"
EWE BOON REGENT,EWE BOON ROAD,10,BUKIT TIMAH,1.316490115033271,103.8304732933785,matched,105,EWE BOON REGENT EWE BOON ROAD,EWE BOON REGENT,EWE BOON ROAD,31 EWE BOON ROAD EWE BOON REGENT SINGAPORE 259332,259332,"project,street"
FAIRLODGE,HOLLAND ROAD,10,BUKIT TIMAH,1.311788084458451,103.8014941666984,matched,105,FAIRLODGE HOLLAND ROAD,FAIRLODGE,HOLLAND ROAD,108 HOLLAND ROAD FAIRLODGE SINGAPORE 278551,278551,"project,street"
FERRELL RESIDENCES,BUKIT TIMAH ROAD,10,BUKIT TIMAH,1.317699237096512,103.8323402248785,matched,105,FERRELL RESIDENCES BUKIT TIMAH ROAD,FERRELL RESIDENCES,BUKIT TIMAH ROAD,327 BUKIT TIMAH ROAD FERRELL RESIDENCES SINGAPORE 259715,259715,"project,street"
FIFTH AVENUE CONDOMINIUM,FIFTH AVENUE,10,BUKIT TIMAH,1.329905575151868,103.7958224618985,matched,105,FIFTH AVENUE CONDOMINIUM FIFTH AVENUE,FIFTH AVENUE CONDOMINIUM,FIFTH AVENUE,2 FIFTH AVENUE FIFTH AVENUE CONDOMINIUM SINGAPORE 268800,268800,"project,street"
FIFTY-TWO STEVENS,STEVENS ROAD,10,BUKIT TIMAH,1.315024326059941,103.8265703128088,matched,105,FIFTY-TWO STEVENS STEVENS ROAD,FIFTY-TWO STEVENS,STEVENS ROAD,52 STEVENS ROAD FIFTY-TWO STEVENS SINGAPORE 257848,257848,"project,street"
FONTANA HEIGHTS,MOUNT SINAI RISE,10,BUKIT TIMAH,1.315369554639197,103.7769425924472,matched,105,FONTANA HEIGHTS MOUNT SINAI RISE,FONTANA HEIGHTS,MOUNT SINAI RISE,39 MOUNT SINAI RISE FONTANA HEIGHTS SINGAPORE 276957,276957,"project,street"
FOUR SEASONS PARK,CUSCADEN WALK,10,BUKIT TIMAH,1.30397101741497,103.8278667744666,matched,105,FOUR SEASONS PARK CUSCADEN WALK,FOUR SEASONS PARK,CUSCADEN WALK,12 CUSCADEN WALK FOUR SEASONS PARK SINGAPORE 249694,249694,"project,street"
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,10,BUKIT TIMAH,1.330054846777333,103.7970156312211,matched,105,FOURTH AVENUE RESIDENCES FOURTH AVENUE,FOURTH AVENUE RESIDENCES,FOURTH AVENUE,4 FOURTH AVENUE FOURTH AVENUE RESIDENCES SINGAPORE 268672,268672,"project,street"
GALLOP GABLES,FARRER ROAD,10,BUKIT TIMAH,1.314302416967658,103.8085321772623,matched,105,GALLOP GABLES FARRER ROAD,GALLOP GABLES,FARRER ROAD,78 FARRER ROAD GALLOP GABLES SINGAPORE 268854,268854,"project,street"
GALLOP GREEN,WOOLLERTON PARK,10,BUKIT TIMAH,1.315294631225901,103.8080699407927,matched,105,GALLOP GREEN WOOLLERTON PARK,GALLOP GREEN,WOOLLERTON PARK,19 WOOLLERTON PARK GALLOP GREEN SINGAPORE 257537,257537,"project,street"
GARDEN APARTMENTS,ORANGE GROVE ROAD,10,BUKIT TIMAH,1.312520681994724,103.8251920459627,needs_review,60,GARDEN APARTMENTS,GARDEN APARTMENT,ORANGE GROVE ROAD,25 ORANGE GROVE ROAD GARDEN APARTMENT SINGAPORE 258351,258351,"partial_project,street"
GARDENVILLE,WALSHE ROAD,10,BUKIT TIMAH,1.312461730860249,103.8273029480516,matched,105,GARDENVILLE WALSHE ROAD,GARDENVILLE,WALSHE ROAD,10 WALSHE ROAD GARDENVILLE SINGAPORE 257654,257654,"project,street"
GISBORNE LIGHT,EWE BOON ROAD,10,BUKIT TIMAH,1.316249470591463,103.8304280522695,matched,105,GISBORNE LIGHT EWE BOON ROAD,GISBORNE LIGHT,EWE BOON ROAD,27 EWE BOON ROAD GISBORNE LIGHT SINGAPORE 259330,259330,"project,street"
GLENTREES,MOUNT SINAI LANE,10,BUKIT TIMAH,1.315854318014161,103.7846292022083,matched,105,GLENTREES MOUNT SINAI LANE,GLENTREES,MOUNT SINAI LANE,11B MOUNT SINAI LANE GLENTREES SINGAPORE 277051,277051,"project,street"
GOODWOOD GARDENS,BALMORAL CRESCENT,10,BUKIT TIMAH,1.314662150298307,103.8341782231214,matched,105,GOODWOOD GARDENS BALMORAL CRESCENT,GOODWOOD GARDENS,BALMORAL CRESCENT,4 BALMORAL CRESCENT GOODWOOD GARDENS SINGAPORE 259889,259889,"project,street"
GOODWOOD GRAND,BALMORAL ROAD,10,BUKIT TIMAH,1.314906587383764,103.8336567885609,matched,105,GOODWOOD GRAND BALMORAL ROAD,GOODWOOD GRAND,BALMORAL ROAD,16 BALMORAL ROAD GOODWOOD GRAND SINGAPORE 259802,259802,"project,street"
GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,10,BUKIT TIMAH,1.314251231173334,103.836041963599,matched,105,GOODWOOD RESIDENCE BUKIT TIMAH ROAD,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,261 BUKIT TIMAH ROAD GOODWOOD RESIDENCE SINGAPORE 259703,259703,"project,street"
GRAMERCY PARK,GRANGE ROAD,10,BUKIT TIMAH,1.298780892306566,103.8266774838589,matched,105,GRAMERCY PARK GRANGE ROAD,GRAMERCY PARK,GRANGE ROAD,57 GRANGE ROAD GRAMERCY PARK SINGAPORE 249569,249569,"project,street"
GRANGE 1866,GRANGE ROAD,10,BUKIT TIMAH,1.299882622544197,103.828975333714,matched,105,GRANGE 1866 GRANGE ROAD,GRANGE 1866,GRANGE ROAD,74 GRANGE ROAD GRANGE 1866 SINGAPORE 249578,249578,"project,street"
GRANGE RESIDENCES,GRANGE ROAD,10,BUKIT TIMAH,1.304377502846671,103.8226594615002,matched,105,GRANGE RESIDENCES GRANGE ROAD,GRANGE RESIDENCES,GRANGE ROAD,95 GRANGE ROAD GRANGE RESIDENCES SINGAPORE 249616,249616,"project,street"
HALLMARK RESIDENCES,EWE BOON ROAD,10,BUKIT TIMAH,1.315736786526946,103.8309087129183,matched,105,HALLMARK RESIDENCES EWE BOON ROAD,HALLMARK RESIDENCES,EWE BOON ROAD,21 EWE BOON ROAD HALLMARK RESIDENCES SINGAPORE 259327,259327,"project,street"
HOLLAND COURT,HOLLAND ROAD,10,BUKIT TIMAH,1.31330761763,103.7980392712934,matched,105,HOLLAND COURT HOLLAND ROAD,HOLLAND COURT,HOLLAND ROAD,144 HOLLAND ROAD HOLLAND COURT SINGAPORE 278576,278576,"project,street"
HOLLAND HILL LODGE,HOLLAND HILL,10,BUKIT TIMAH,1.309830606028843,103.8029137615404,matched,105,HOLLAND HILL LODGE HOLLAND HILL,HOLLAND HILL LODGE,HOLLAND HILL,5 HOLLAND HILL HOLLAND HILL LODGE SINGAPORE 278742,278742,"project,street"
HOLLAND HILL PARK,HOLLAND HILL,10,BUKIT TIMAH,1.309586543408335,103.8023464862535,matched,105,HOLLAND HILL PARK HOLLAND HILL,HOLLAND HILL PARK,HOLLAND HILL,7 HOLLAND HILL HOLLAND HILL PARK SINGAPORE 278731,278731,"project,street"
HOLLAND MEWS,HOLLAND ROAD,10,BUKIT TIMAH,1.309538120773156,103.8062602900363,matched,105,HOLLAND MEWS HOLLAND ROAD,HOLLAND MEWS,HOLLAND ROAD,69 HOLLAND ROAD HOLLAND MEWS SINGAPORE 258868,258868,"project,street"
HOLLAND PEAK,HOLLAND HILL,10,BUKIT TIMAH,1.309094587053859,103.8021730397235,matched,105,HOLLAND PEAK HOLLAND HILL,HOLLAND PEAK,HOLLAND HILL,27 HOLLAND HILL HOLLAND PEAK SINGAPORE 278741,278741,"project,street"
HOLLAND RESIDENCES,TAMAN WARNA,10,BUKIT TIMAH,1.312362172000507,103.7933012269819,low_confidence,50,HOLLAND RESIDENCES,ONE HOLLAND VILLAGE RESIDENCES,HOLLAND VILLAGE WAY,1 HOLLAND VILLAGE WAY ONE HOLLAND VILLAGE RESIDENCES SINGAPORE 275754,275754,partial_project
HOLLAND SUITES,HOLLAND ROAD,10,BUKIT TIMAH,1.311939612361664,103.7993460504482,matched,105,HOLLAND SUITES HOLLAND ROAD,HOLLAND SUITES,HOLLAND ROAD,129 HOLLAND ROAD HOLLAND SUITES SINGAPORE 278568,278568,"project,street"
HOLLAND TOWER,HOLLAND HEIGHTS,10,BUKIT TIMAH,1.307574807960559,103.8028911935367,matched,105,HOLLAND TOWER HOLLAND HEIGHTS,HOLLAND TOWER,HOLLAND HEIGHTS,10 HOLLAND HEIGHTS HOLLAND TOWER SINGAPORE 249510,249510,"project,street"
HOLLANDSWOOD COURT,HOLLAND PARK,10,BUKIT TIMAH,1.310002498208018,103.8036346500351,matched,105,HOLLANDSWOOD COURT HOLLAND PARK,HOLLANDSWOOD COURT,HOLLAND PARK,3 HOLLAND PARK HOLLANDSWOOD COURT SINGAPORE 249473,249473,"project,street"
HOLT RESIDENCES,HOLT ROAD,10,BUKIT TIMAH,1.294042755021616,103.8260678116283,matched,105,HOLT RESIDENCES HOLT ROAD,HOLT RESIDENCES,HOLT ROAD,5 HOLT ROAD HOLT RESIDENCES SINGAPORE 249444,249444,"project,street"
HONOLULU TOWER,BUKIT TIMAH ROAD,10,BUKIT TIMAH,1.318090734061944,103.8310765829656,matched,105,HONOLULU TOWER BUKIT TIMAH ROAD,HONOLULU TOWER,BUKIT TIMAH ROAD,341 BUKIT TIMAH ROAD HONOLULU TOWER SINGAPORE 259719,259719,"project,street"
HYLL ON HOLLAND,HOLLAND ROAD,10,BUKIT TIMAH,1.310340808077821,103.802891320917,matched,105,HYLL ON HOLLAND HOLLAND ROAD,HYLL ON HOLLAND,HOLLAND ROAD,89 HOLLAND ROAD HYLL ON HOLLAND SINGAPORE 275750,275750,"project,street"
J C DRAYCOTT,DRAYCOTT DRIVE,10,BUKIT TIMAH,1.309875388644863,103.8309789290862,matched,105,J C DRAYCOTT DRAYCOTT DRIVE,J C DRAYCOTT,DRAYCOTT DRIVE,34 DRAYCOTT DRIVE J C DRAYCOTT SINGAPORE 259426,259426,"project,street"
JADE GARDEN,ROBIN ROAD,10,BUKIT TIMAH,1.365235677020461,103.8806418451461,low_confidence,50,JADE GARDEN,JADE VINE GARDENS,KANG CHOO BIN WALK,33 KANG CHOO BIN WALK JADE VINE GARDENS SINGAPORE 548253,548253,partial_project
JADE MANSION,LEEDON ROAD,10,BUKIT TIMAH,1.313328677945702,103.7974179705329,matched,105,JADE MANSION LEEDON ROAD,JADE MANSION,LEEDON ROAD,10 LEEDON ROAD JADE MANSION SINGAPORE 267833,267833,"project,street"
JAYA TOWER,BUKIT TIMAH ROAD,10,BUKIT TIMAH,1.320107017315258,103.8239781247498,matched,105,JAYA TOWER BUKIT TIMAH ROAD,JAYA TOWER,BUKIT TIMAH ROAD,431 BUKIT TIMAH ROAD JAYA TOWER SINGAPORE 259738,259738,"project,street"
JERVOIS GROVE,JERVOIS ROAD,10,BUKIT TIMAH,1.294895800720929,103.81856774498,matched,105,JERVOIS GROVE JERVOIS ROAD,JERVOIS GROVE,JERVOIS ROAD,100 JERVOIS ROAD JERVOIS GROVE SINGAPORE 249056,249056,"project,street"
JERVOIS JADE,JERVOIS CLOSE,10,BUKIT TIMAH,1.292452766161026,103.8252469184313,matched,105,JERVOIS JADE JERVOIS CLOSE,JERVOIS JADE,JERVOIS CLOSE,21 JERVOIS CLOSE JERVOIS JADE SINGAPORE 249114,249114,"project,street"
JERVOIS LODGE,JERVOIS ROAD,10,BUKIT TIMAH,1.293639331476394,103.8234986204388,matched,105,JERVOIS LODGE JERVOIS ROAD,JERVOIS LODGE,JERVOIS ROAD,32 JERVOIS ROAD JERVOIS LODGE SINGAPORE 249015,249015,"project,street"
JERVOIS MANSION,JERVOIS CLOSE,10,BUKIT TIMAH,1.29297856291536,103.8242793192437,matched,105,JERVOIS MANSION JERVOIS CLOSE,JERVOIS MANSION,JERVOIS CLOSE,10 JERVOIS CLOSE JERVOIS MANSION SINGAPORE 249106,249106,"project,street"
JERVOIS MEADOWS,JERVOIS ROAD,10,BUKIT TIMAH,1.2948894091672,103.8166557659121,matched,105,JERVOIS MEADOWS JERVOIS ROAD,JERVOIS MEADOWS,JERVOIS ROAD,107 JERVOIS ROAD JERVOIS MEADOWS SINGAPORE 249063,249063,"project,street"
JERVOIS PRIVE,JERVOIS ROAD,10,BUKIT TIMAH,1.29491611293503,103.8182662865986,needs_review,60,JERVOIS PRIVE,JERVOIS PRIVÉ,JERVOIS ROAD,100A JERVOIS ROAD JERVOIS PRIVÉ SINGAPORE 249057,249057,"partial_project,street"
JERVOIS REGENCY,JERVOIS ROAD,10,BUKIT TIMAH,1.294490977818782,103.8220653285215,matched,105,JERVOIS REGENCY JERVOIS ROAD,JERVOIS REGENCY,JERVOIS ROAD,49 JERVOIS ROAD JERVOIS REGENCY SINGAPORE 249081,249081,"project,street"
JERVOIS TREASURES,JERVOIS ROAD,10,BUKIT TIMAH,1.292820331223828,103.8235319342891,matched,105,JERVOIS TREASURES JERVOIS ROAD,JERVOIS TREASURES,JERVOIS ROAD,31 JERVOIS ROAD JERVOIS TREASURES SINGAPORE 249080,249080,"project,street"
JERVOIS VIEW,JERVOIS ROAD,10,BUKIT TIMAH,1.293893394889583,103.8240891580956,matched,105,JERVOIS VIEW JERVOIS ROAD,JERVOIS VIEW,JERVOIS ROAD,21 JERVOIS ROAD JERVOIS VIEW SINGAPORE 249004,249004,"project,street"
JEWEL OF BALMORAL,BALMORAL PARK,10,BUKIT TIMAH,1.315885317078271,103.8274861515729,matched,105,JEWEL OF BALMORAL BALMORAL PARK,JEWEL OF BALMORAL,BALMORAL PARK,7C BALMORAL PARK JEWEL OF BALMORAL SINGAPORE 259865,259865,"project,street"
JUNIPER AT ARDMORE,ARDMORE PARK,10,BUKIT TIMAH,1.30875984414499,103.8296433558137,matched,105,JUNIPER AT ARDMORE ARDMORE PARK,JUNIPER AT ARDMORE,ARDMORE PARK,6 ARDMORE PARK JUNIPER AT ARDMORE SINGAPORE 259953,259953,"project,street"
JUNIPER HILL,EWE BOON ROAD,10,BUKIT TIMAH,1.316482033978174,103.8298971534507,matched,105,JUNIPER HILL EWE BOON ROAD,JUNIPER HILL,EWE BOON ROAD,39 EWE BOON ROAD JUNIPER HILL SINGAPORE 259334,259334,"project,street"
KASTURINA LODGE,KAY POH ROAD,10,BUKIT TIMAH,1.296403005229079,103.8297582924453,matched,105,KASTURINA LODGE KAY POH ROAD,KASTURINA LODGE,KAY POH ROAD,20 KAY POH ROAD KASTURINA LODGE SINGAPORE 248969,248969,"project,street"
KELLOCK LODGE,KELLOCK ROAD,10,BUKIT TIMAH,1.294891587563407,103.8296995580939,matched,105,KELLOCK LODGE KELLOCK ROAD,KELLOCK LODGE,KELLOCK ROAD,3 KELLOCK ROAD KELLOCK LODGE SINGAPORE 248899,248899,"project,street"
KUIE PONG LOFT,ROBIN WALK,10,BUKIT TIMAH,1.319166793436302,103.8259354947709,matched,105,KUIE PONG LOFT ROBIN WALK,KUIE PONG LOFT,ROBIN WALK,10 ROBIN WALK KUIE PONG LOFT SINGAPORE 258159,258159,"project,street"
KUM HING COURT,TOMLINSON ROAD,10,BUKIT TIMAH,1.302828397109369,103.8260460965258,matched,105,KUM HING COURT TOMLINSON ROAD,KUM HING COURT,TOMLINSON ROAD,28 TOMLINSON ROAD KUM HING COURT SINGAPORE 247854,247854,"project,street"
LATITUDE,JALAN MUTIARA,10,BUKIT TIMAH,1.296120207427773,103.8281146619523,matched,105,LATITUDE JALAN MUTIARA,LATITUDE,JALAN MUTIARA,33 JALAN MUTIARA LATITUDE SINGAPORE 249208,249208,"project,street"
LE NOUVEL ARDMORE,ARDMORE PARK,10,BUKIT TIMAH,1.310423987155983,103.8279134032646,matched,105,LE NOUVEL ARDMORE ARDMORE PARK,LE NOUVEL ARDMORE,ARDMORE PARK,1A ARDMORE PARK LE NOUVEL ARDMORE SINGAPORE 259945,259945,"project,street"
LEEDON 2,LEEDON ROAD,10,BUKIT TIMAH,1.312919028697562,103.7969842037081,matched,105,LEEDON 2 LEEDON ROAD,LEEDON 2,LEEDON ROAD,2 LEEDON ROAD LEEDON 2 SINGAPORE 267829,267829,"project,street"
LEEDON GREEN,LEEDON HEIGHTS,10,BUKIT TIMAH,1.313033209557247,103.8035458782812,matched,105,LEEDON GREEN LEEDON HEIGHTS,LEEDON GREEN,LEEDON HEIGHTS,28 LEEDON HEIGHTS LEEDON GREEN SINGAPORE 266222,266222,"project,street"
LEEDON RESIDENCE,LEEDON HEIGHTS,10,BUKIT TIMAH,1.313775491878578,103.8018538692327,matched,105,LEEDON RESIDENCE LEEDON HEIGHTS,LEEDON RESIDENCE,LEEDON HEIGHTS,16 LEEDON HEIGHTS LEEDON RESIDENCE SINGAPORE 267937,267937,"project,street"
LEIGHWOODS,MOUNT SINAI RISE,10,BUKIT TIMAH,1.315032875594349,103.7772570420676,matched,105,LEIGHWOODS MOUNT SINAI RISE,LEIGHWOODS,MOUNT SINAI RISE,37 MOUNT SINAI RISE LEIGHWOODS SINGAPORE 276956,276956,"project,street"
LES MAISONS NASSIM,NASSIM ROAD,10,BUKIT TIMAH,1.308690315245335,103.8239424918008,matched,105,LES MAISONS NASSIM NASSIM ROAD,LES MAISONS NASSIM,NASSIM ROAD,14A NASSIM ROAD LES MAISONS NASSIM SINGAPORE 258385,258385,"project,street"
LIBERTE,SARKIES ROAD,10,BUKIT TIMAH,1.313822614974131,103.836659394213,low_confidence,35,LIBERTE,LIBERTÉ,SARKIES ROAD,5 SARKIES ROAD LIBERTÉ SINGAPORE 258125,258125,street
LIEN TOWERS,HOLLAND PARK,10,BUKIT TIMAH,1.309941533600204,103.8049574645716,matched,105,LIEN TOWERS HOLLAND PARK,LIEN TOWERS,HOLLAND PARK,21 HOLLAND PARK LIEN TOWERS SINGAPORE 249476,249476,"project,street"
LOFT @ NATHAN,NATHAN ROAD,10,BUKIT TIMAH,1.294546739713123,103.8275829574874,matched,105,LOFT @ NATHAN NATHAN ROAD,LOFT @ NATHAN,NATHAN ROAD,31 NATHAN ROAD LOFT @ NATHAN SINGAPORE 248749,248749,"project,street"
LOFT @ STEVENS,STEVENS ROAD,10,BUKIT TIMAH,1.317839471699672,103.8262236506755,matched,105,LOFT @ STEVENS STEVENS ROAD,LOFT @ STEVENS,STEVENS ROAD,68 STEVENS ROAD LOFT @ STEVENS SINGAPORE 257856,257856,"project,street"
LOFT@HOLLAND,HOLLAND ROAD,10,BUKIT TIMAH,1.312363681518027,103.7971687596409,matched,105,LOFT@HOLLAND HOLLAND ROAD,LOFT@HOLLAND,HOLLAND ROAD,151 HOLLAND ROAD LOFT@HOLLAND SINGAPORE 278580,278580,"project,street"
LUSH ON HOLLAND HILL,HOLLAND HILL,10,BUKIT TIMAH,1.308877689298608,103.8004687754186,matched,105,LUSH ON HOLLAND HILL HOLLAND HILL,LUSH ON HOLLAND HILL,HOLLAND HILL,21 HOLLAND HILL LUSH ON HOLLAND HILL SINGAPORE 278737,278737,"project,street"
LUTHERAN TOWERS,TAN KIM CHENG ROAD,10,BUKIT TIMAH,1.321790791947791,103.8125221884666,matched,105,LUTHERAN TOWERS TAN KIM CHENG ROAD,LUTHERAN TOWERS,TAN KIM CHENG ROAD,21 TAN KIM CHENG ROAD LUTHERAN TOWERS SINGAPORE 266621,266621,"project,street"
M5,JALAN MUTIARA,10,BUKIT TIMAH,1.295666585926809,103.8288597508097,matched,105,M5 JALAN MUTIARA,M5,JALAN MUTIARA,5 JALAN MUTIARA M5 SINGAPORE 249185,249185,"project,street"
MADISON RESIDENCES,BUKIT TIMAH ROAD,10,BUKIT TIMAH,1.318477788707698,103.829950585068,matched,105,MADISON RESIDENCES BUKIT TIMAH ROAD,MADISON RESIDENCES,BUKIT TIMAH ROAD,355 BUKIT TIMAH ROAD MADISON RESIDENCES SINGAPORE 259724,259724,"project,street"
MANHATTAN MANSIONS,GRANGE ROAD,10,BUKIT TIMAH,1.299780830207959,103.8284891561212,matched,105,MANHATTAN MANSIONS GRANGE ROAD,MANHATTAN MANSIONS,GRANGE ROAD,76 GRANGE ROAD MANHATTAN MANSIONS SINGAPORE 249580,249580,"project,street"
MARTINA MANSIONS,BUKIT TIMAH ROAD,10,BUKIT TIMAH,1.317478128955183,103.8332826691635,matched,105,MARTINA MANSIONS BUKIT TIMAH ROAD,MARTINA MANSIONS,BUKIT TIMAH ROAD,315 BUKIT TIMAH ROAD MARTINA MANSIONS SINGAPORE 259710,259710,"project,street"
MELROSE PARK,KELLOCK ROAD,10,BUKIT TIMAH,1.293358193975709,103.830424236672,matched,105,MELROSE PARK KELLOCK ROAD,MELROSE PARK,KELLOCK ROAD,93 KELLOCK ROAD MELROSE PARK SINGAPORE 248904,248904,"project,street"
MILL POINT,ZION CLOSE,10,BUKIT TIMAH,1.292907093235203,103.8304503654108,matched,105,MILL POINT ZION CLOSE,MILL POINT,ZION CLOSE,3 ZION CLOSE MILL POINT SINGAPORE 247813,247813,"project,street"
MON JERVOIS,JERVOIS ROAD,10,BUKIT TIMAH,1.294049380847932,103.8222001110487,matched,105,MON JERVOIS JERVOIS ROAD,MON JERVOIS,JERVOIS ROAD,43 JERVOIS ROAD MON JERVOIS SINGAPORE 249095,249095,"project,street"
MONTVIEW,MOUNT SINAI DRIVE,10,BUKIT TIMAH,1.316682765413457,103.7773288711305,matched,105,MONTVIEW MOUNT SINAI DRIVE,MONTVIEW,MOUNT SINAI DRIVE,63 MOUNT SINAI DRIVE MONTVIEW SINGAPORE 277116,277116,"project,street"
MOOI RESIDENCES,HOLLAND ROAD,10,BUKIT TIMAH,1.312577305990507,103.7983562524593,matched,105,MOOI RESIDENCES HOLLAND ROAD,MOOI RESIDENCES,HOLLAND ROAD,139 HOLLAND ROAD MOOI RESIDENCES SINGAPORE 278573,278573,"project,street"
MUTIARA CREST,JALAN MUTIARA,10,BUKIT TIMAH,1.295868405478777,103.8293761717411,matched,105,MUTIARA CREST JALAN MUTIARA,MUTIARA CREST,JALAN MUTIARA,2 JALAN MUTIARA MUTIARA CREST SINGAPORE 249183,249183,"project,street"
MUTIARA VIEW,JALAN MUTIARA,10,BUKIT TIMAH,1.295375812626158,103.8284843024757,matched,105,MUTIARA VIEW JALAN MUTIARA,MUTIARA VIEW,JALAN MUTIARA,11 JALAN MUTIARA MUTIARA VIEW SINGAPORE 249191,249191,"project,street"
NASSIM 9,NASSIM ROAD,10,BUKIT TIMAH,1.307523528678419,103.8254263580372,matched,105,NASSIM 9 NASSIM ROAD,NASSIM 9,NASSIM ROAD,9 NASSIM ROAD NASSIM 9 SINGAPORE 258376,258376,"project,street"
NASSIM JADE,NASSIM ROAD,10,BUKIT TIMAH,1.306633498727834,103.8259449546303,matched,105,NASSIM JADE NASSIM ROAD,NASSIM JADE,NASSIM ROAD,3 NASSIM ROAD NASSIM JADE SINGAPORE 258371,258371,"project,street"
NASSIM LODGE,NASSIM ROAD,10,BUKIT TIMAH,1.307256831776353,103.8257023541193,matched,105,NASSIM LODGE NASSIM ROAD,NASSIM LODGE,NASSIM ROAD,7 NASSIM ROAD NASSIM LODGE SINGAPORE 258374,258374,"project,street"
NASSIM MANSION,NASSIM HILL,10,BUKIT TIMAH,1.309357108312373,103.8197469793628,matched,105,NASSIM MANSION NASSIM HILL,NASSIM MANSION,NASSIM HILL,32 NASSIM HILL NASSIM MANSION SINGAPORE 258472,258472,"project,street"
NASSIM PARK RESIDENCES,NASSIM ROAD,10,BUKIT TIMAH,1.308085915308356,103.8237970462418,matched,105,NASSIM PARK RESIDENCES NASSIM ROAD,NASSIM PARK RESIDENCES,NASSIM ROAD,15 NASSIM ROAD NASSIM PARK RESIDENCES SINGAPORE 258386,258386,"project,street"
NATHAN PLACE,NATHAN ROAD,10,BUKIT TIMAH,1.295010813911595,103.8264367967202,matched,105,NATHAN PLACE NATHAN ROAD,NATHAN PLACE,NATHAN ROAD,18 NATHAN ROAD NATHAN PLACE SINGAPORE 248747,248747,"project,street"
NATHAN RESIDENCES,NATHAN ROAD,10,BUKIT TIMAH,1.2945695828216,103.8272708047655,matched,105,NATHAN RESIDENCES NATHAN ROAD,NATHAN RESIDENCES,NATHAN ROAD,25 NATHAN ROAD NATHAN RESIDENCES SINGAPORE 248745,248745,"project,street"
NATHAN SUITES,NATHAN ROAD,10,BUKIT TIMAH,1.295221233224745,103.8271496029007,matched,105,NATHAN SUITES NATHAN ROAD,NATHAN SUITES,NATHAN ROAD,21 NATHAN ROAD NATHAN SUITES SINGAPORE 248743,248743,"project,street"
NOUVEL 18,ANDERSON ROAD,10,BUKIT TIMAH,1.310839453620271,103.8283253674611,matched,105,NOUVEL 18 ANDERSON ROAD,NOUVEL 18,ANDERSON ROAD,16 ANDERSON ROAD NOUVEL 18 SINGAPORE 259987,259987,"project,street"
