project_name,project_name_norm,postal_district,total_txns,unattributed_txns,in_edgeprop,reason
GIDEON'S LODGE,GIDEONS LODGE,15,2,2,True,partial_match
GOODWOOD RESIDENCE,GOODWOOD RESIDENCE,10,56,2,True,partial_match
GREEN COURT,GREEN COURT,14,2,2,True,partial_match
HAIG COURT,HAIG COURT,15,59,2,True,partial_match
HAPPY MANSION,HAPPY MANSION,13,2,2,True,partial_match
HONG HENG GARDEN,HONG HENG GARDEN,26,3,2,True,partial_match
ICON,ICON,02,143,2,True,partial_match
JADESCAPE,JADESCAPE,20,357,2,True,partial_match
JEWEL @ BUANGKOK,JEWEL AT BUANGKOK,19,194,2,True,partial_match
KINGSFORD . HILLVIEW PEAK,KINGSFORD HILLVIEW PEAK,23,186,2,True,partial_match
LEEDON RESIDENCE,LEEDON RESIDENCE,10,67,2,True,partial_match
LOYANG TOWNHOUSES,LOYANG TOWNHOUSES,17,2,2,True,partial_match
MARTIN MODERN,MARTIN MODERN,09,237,2,True,partial_match
MAYFAIR MODERN,MAYFAIR MODERN,21,189,2,True,partial_match
MAYFAIR PARK,MAYFAIR PARK,21,2,2,True,partial_match
ONE ROSYTH,ONE ROSYTH,19,8,2,True,partial_match
ONE-NORTH RESIDENCES,ONE NORTH RESIDENCES,05,100,2,True,partial_match
PEAKVIEW ESTATE,PEAKVIEW ESTATE,16,2,2,True,partial_match
PINE COURT,PINE COURT,15,2,2,True,partial_match
R MAISON,R MAISON,13,11,2,True,partial_match
RACE COURSE BUILDING,RACE COURSE BUILDING,08,2,2,True,partial_match
REGAL 35,REGAL 35,14,12,2,True,partial_match
RESIDENTIAL APARTMENTS,RESIDENTIAL APARTMENTS,07,2,2,False,placeholder
RESIDENTIAL APARTMENTS,RESIDENTIAL APARTMENTS,21,2,2,False,placeholder
RISING COURT,RISING COURT,15,2,2,True,partial_match
RIVER VALLEY APARTMENTS,RIVER VALLEY APARTMENTS,10,2,2,True,partial_match
RIVERBANK @ FERNVALE,RIVERBANK AT FERNVALE,28,170,2,True,partial_match
RIVIERE,RIVIERE,03,440,2,True,partial_match
SEASIDE PARK,SEASIDE PARK,15,2,2,True,partial_match
SELETAR PARK RESIDENCE,SELETAR PARK RESIDENCE,28,140,2,True,partial_match
SENNETT RESIDENCE,SENNETT RESIDENCE,13,109,2,True,partial_match
SIGLAP LODGE,SIGLAP LODGE,15,2,2,True,partial_match
SKY HABITAT,SKY HABITAT,20,135,2,True,partial_match
SOLEIL @ SINARAN,SOLEIL AT SINARAN,11,91,2,True,partial_match
SOMMERVILLE PARK,SOMMERVILLE PARK,10,84,2,True,partial_match
ST PATRICK'S RESIDENCES,ST PATRICKS RESIDENCES,15,31,2,True,partial_match
STANGEE PLACE,STANGEE PLACE,15,2,2,True,partial_match
STRATUM,STRATUM,18,141,2,True,partial_match
SUNBIRD VIEW,SUNBIRD VIEW,16,2,2,True,partial_match
TELOK KURAU LODGE,TELOK KURAU LODGE,15,2,2,False,no_edgeprop_project
TG MANSION,TG MANSION,15,2,2,True,partial_match
THE ANTARES,ANTARES,14,244,2,True,partial_match
THE CALROSE,CALROSE,26,69,2,True,partial_match
THE CENTRIS,CENTRIS,22,111,2,True,partial_match
THE CLAYMORE,CLAYMORE,09,16,2,True,partial_match
THE DRAYCOTT,DRAYCOTT,10,31,2,True,partial_match
THE ESTUARY,ESTUARY,27,137,2,True,partial_match
THE FLORENCE RESIDENCES,FLORENCE RESIDENCES,19,796,2,True,partial_match
THE FLORENTINE,FLORENTINE,19,15,2,True,partial_match
THE LANAI,LANAI,23,68,2,True,partial_match
THE ORCHARD RESIDENCES,ORCHARD RESIDENCES,09,30,2,True,partial_match
THE PALETTE,PALETTE,18,209,2,True,partial_match
THE PEAK@BALMEG,PEAK AT BALMEG,05,37,2,True,partial_match
THE RANZ,RANZ,08,4,2,True,partial_match
THE RITZ-CARLTON RESIDENCES SINGAPORE CAIRNHILL,RITZ CARLTON RESIDENCES SINGAPORE CAIRNHILL,09,17,2,True,partial_match
THE SANTORINI,SANTORINI,18,206,2,True,partial_match
THE SEA VIEW,SEA VIEW,15,50,2,True,partial_match
THE TRILLIUM,TRILLIUM,09,40,2,True,partial_match
URBAN VISTA,URBAN VISTA,16,202,2,True,partial_match
VERTICUS,VERTICUS,12,152,2,True,partial_match
WATERBANK AT DAKOTA,WATERBANK AT DAKOTA,14,147,2,True,partial_match
WATERVIEW,WATERVIEW,18,180,2,True,partial_match
