project_name,street_name,postal_district,planning_area,lat,lon,match_status,primary_1km_count,primary_1km_ranked_count,top_primary_1km_count,primary_1km_schools,best_primary_1km_school,best_primary_1km_rank,best_primary_1km_distance_m,best_primary_1km_metric,best_primary_1km_source_year,secondary_2km_count,secondary_2km_ranked_count,top_secondary_2km_count,best_secondary_2km_school,best_secondary_2km_rank,best_secondary_2km_distance_m,best_secondary_2km_metric,best_secondary_2km_source_year,jc_5km_count,jc_5km_ranked_count,top_jc_5km_count,best_jc_5km_school,best_jc_5km_rank,best_jc_5km_distance_m,best_jc_5km_metric,best_jc_5km_source_year,has_primary_1km,has_ranked_primary_1km
INTERNATIONAL PLAZA,ANSON ROAD,2,CENTRAL AREA,1.27588674266837,103.845923793168,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,0,0,0,,,,,,2,1,1,DUNMAN HIGH SCHOOL,8,4909,Arts 8; Science 7,2025.0,True,False
LUMIERE,MISTRI ROAD,2,CENTRAL AREA,1.274262456853353,103.8460250873715,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,0,0,0,,,,,,1,0,0,,,,,,True,False
ONE BERNAM,BERNAM STREET,2,CENTRAL AREA,1.273862943505204,103.8437104845058,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,0,0,0,,,,,,1,0,0,,,,,,True,False
ONZE @ TANJONG PAGAR,KEE SENG STREET,2,CENTRAL AREA,1.274849748368617,103.8421848156174,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,0,0,0,,,,,,1,0,0,,,,,,True,False
SKY EVERTON,EVERTON ROAD,2,CENTRAL AREA,1.275889767875465,103.8381517091216,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,1,0,0,,,,,,1,0,0,,,,,,True,False
SKYSUITES@ANSON,ENGGOR STREET,2,CENTRAL AREA,1.274643978047123,103.8447415873149,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,0,0,0,,,,,,1,0,0,,,,,,True,False
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,2,CENTRAL AREA,1.275595285272561,103.837559859708,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,1,0,0,,,,,,1,0,0,,,,,,True,False
SPOTTISWOODE PARK,SPOTTISWOODE PARK ROAD,2,CENTRAL AREA,1.273420740691681,103.8379389523004,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,1,0,0,,,,,,1,0,0,,,,,,True,False
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,2,CENTRAL AREA,1.275271152231314,103.8368322250497,matched,2,0,0,CANTONMENT PRIMARY SCHOOL; CHIJ (KELLOCK),,,,,,1,0,0,,,,,,1,0,0,,,,,,True,False
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,2,CENTRAL AREA,1.276035116061894,103.8375020463613,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,1,0,0,,,,,,1,0,0,,,,,,True,False
THE ARRIS,YAN KIT ROAD,2,CENTRAL AREA,1.275501068821503,103.8415960229412,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,0,0,0,,,,,,1,0,0,,,,,,True,False
THE BEACON,CANTONMENT ROAD,2,CENTRAL AREA,1.275874835214168,103.8404809943486,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,0,0,0,,,,,,1,0,0,,,,,,True,False
TMW MAXWELL,TRAS STREET,2,CENTRAL AREA,1.279042477699102,103.8446552581064,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,0,0,0,,,,,,2,1,1,DUNMAN HIGH SCHOOL,8,4850,Arts 8; Science 7,2025.0,True,False
WALLICH RESIDENCE,WALLICH STREET,2,CENTRAL AREA,1.277117360003171,103.8457901522148,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,0,0,0,,,,,,2,1,1,DUNMAN HIGH SCHOOL,8,4849,Arts 8; Science 7,2025.0,True,False
ALESSANDREA,ALEXANDRA ROAD,3,QUEENSTOWN,1.29050566271654,103.8225873414022,matched,3,0,0,ALEXANDRA PRIMARY SCHOOL; ZHANGDE PRIMARY SCHOOL; GAN ENG SENG PRIMARY SCHOOL,,,,,,5,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,4330,Arts 5; Science 4,2025.0,True,False
