project_name,street_name,postal_district,planning_area,lat,lon,match_status,primary_1km_count,primary_1km_ranked_count,top_primary_1km_count,primary_1km_schools,best_primary_1km_school,best_primary_1km_rank,best_primary_1km_distance_m,best_primary_1km_metric,best_primary_1km_source_year,secondary_2km_count,secondary_2km_ranked_count,top_secondary_2km_count,best_secondary_2km_school,best_secondary_2km_rank,best_secondary_2km_distance_m,best_secondary_2km_metric,best_secondary_2km_source_year,jc_5km_count,jc_5km_ranked_count,top_jc_5km_count,best_jc_5km_school,best_jc_5km_rank,best_jc_5km_distance_m,best_jc_5km_metric,best_jc_5km_source_year,has_primary_1km,has_ranked_primary_1km
CORONATION ARCADE,CORONATION ROAD,10,BUKIT TIMAH,1.323298290766047,103.8105275741431,matched,2,1,1,NANYANG PRIMARY SCHOOL; RAFFLES GIRLS' PRIMARY SCHOOL,NANYANG PRIMARY SCHOOL,3,402,265%,2025.0,6,4,4,HWA CHONG INSTITUTION,1,592,IP AL6M,2025.0,8,6,6,RAFFLES INSTITUTION,1,4480,Arts 5; Science 3,2025.0,True,True
CORONATION GROVE,CORONATION ROAD,10,BUKIT TIMAH,1.322807075295864,103.8022072769724,matched,2,1,1,NANYANG PRIMARY SCHOOL; RAFFLES GIRLS' PRIMARY SCHOOL,NANYANG PRIMARY SCHOOL,3,638,265%,2025.0,4,2,2,HWA CHONG INSTITUTION,1,501,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,501,Arts 5; Science 4,2025.0,True,True
CORONATION SHOPPING PLAZA,BUKIT TIMAH ROAD,10,BUKIT TIMAH,1.323835121787596,103.8099995700472,matched,2,1,1,NANYANG PRIMARY SCHOOL; RAFFLES GIRLS' PRIMARY SCHOOL,NANYANG PRIMARY SCHOOL,3,401,265%,2025.0,4,2,2,HWA CHONG INSTITUTION,1,514,IP AL6M,2025.0,8,6,6,RAFFLES INSTITUTION,1,4495,Arts 5; Science 3,2025.0,True,True
CRYSTAL COURT,RIVER VALLEY ROAD,10,BUKIT TIMAH,1.294146309605875,103.8269880344331,matched,1,0,0,ALEXANDRA PRIMARY SCHOOL,,,,,,4,0,0,,,,,,6,4,4,HWA CHONG INSTITUTION,2,4222,Arts 5; Science 4,2025.0,True,False
CUSCADEN RESERVE,CUSCADEN ROAD,10,BUKIT TIMAH,1.303610112285875,103.8251671604272,matched,0,0,0,,,,,,,4,1,1,SINGAPORE CHINESE GIRLS' SCHOOL,9,1922,IP AL7; PG3 AL8,2025.0,7,5,5,HWA CHONG INSTITUTION,2,3264,Arts 5; Science 4,2025.0,False,False
CUSCADEN RESIDENCES,CUSCADEN ROAD,10,BUKIT TIMAH,1.304663478109571,103.8264342392905,matched,0,0,0,,,,,,,5,1,1,SINGAPORE CHINESE GIRLS' SCHOOL,9,1786,IP AL7; PG3 AL8,2025.0,6,4,4,HWA CHONG INSTITUTION,2,3275,Arts 5; Science 4,2025.0,False,False
CYAN,KENG CHIN ROAD,10,BUKIT TIMAH,1.318261579611728,103.8303529871774,matched,2,0,0,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL; ANGLO-CHINESE SCHOOL (PRIMARY),,,,,,3,2,2,ST. JOSEPH'S INSTITUTION,7,634,IP AL7; PG3 AL8,2025.0,7,5,5,RAFFLES INSTITUTION,1,3448,Arts 5; Science 3,2025.0,True,False
D' DALVEY,DALVEY ESTATE,10,BUKIT TIMAH,1.321204501999264,103.8215655411312,matched,1,0,0,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,,,,,,5,3,3,HWA CHONG INSTITUTION,1,1827,IP AL6M,2025.0,9,7,7,RAFFLES INSTITUTION,1,3714,Arts 5; Science 3,2025.0,True,False
D'GROVE VILLAS,ORANGE GROVE ROAD,10,BUKIT TIMAH,1.309133475398026,103.8277260580953,matched,0,0,0,,,,,,,3,2,2,ST. JOSEPH'S INSTITUTION,7,1617,IP AL7; PG3 AL8,2025.0,8,6,6,RAFFLES INSTITUTION,1,4494,Arts 5; Science 3,2025.0,False,False
D'LEEDON,LEEDON HEIGHTS,10,BUKIT TIMAH,1.314421655212678,103.8039129744935,matched,1,1,1,NANYANG PRIMARY SCHOOL,NANYANG PRIMARY SCHOOL,3,850,265%,2025.0,5,2,2,HWA CHONG INSTITUTION,1,1261,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1261,Arts 5; Science 4,2025.0,True,True
DALVEY HAUS,DALVEY ROAD,10,BUKIT TIMAH,1.316262714158467,103.8251896181783,matched,1,0,0,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,,,,,,4,2,2,ST. JOSEPH'S INSTITUTION,7,900,IP AL7; PG3 AL8,2025.0,8,6,6,RAFFLES INSTITUTION,1,3917,Arts 5; Science 3,2025.0,True,False
DE LENTE,HOLLAND ROAD,10,BUKIT TIMAH,1.311769406582469,103.8017099614828,matched,0,0,0,,,,,,,3,1,1,HWA CHONG INSTITUTION,1,1603,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1603,Arts 5; Science 4,2025.0,False,False
DLV.,DALVEY ROAD,10,BUKIT TIMAH,1.315472110145424,103.8251035681749,matched,1,0,0,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,,,,,,4,2,2,ST. JOSEPH'S INSTITUTION,7,985,IP AL7; PG3 AL8,2025.0,8,6,6,RAFFLES INSTITUTION,1,3998,Arts 5; Science 3,2025.0,True,False
DORMER PARK,JERVOIS ROAD,10,BUKIT TIMAH,1.294696601029312,103.8213920337675,matched,1,0,0,ALEXANDRA PRIMARY SCHOOL,,,,,,4,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,3854,Arts 5; Science 4,2025.0,True,False
DRAYCOTT EIGHT,DRAYCOTT PARK,10,BUKIT TIMAH,1.311388412613092,103.8321820290218,matched,1,0,0,ANGLO-CHINESE SCHOOL (PRIMARY),,,,,,3,2,2,ST. JOSEPH'S INSTITUTION,7,1424,IP AL7; PG3 AL8,2025.0,7,5,5,RAFFLES INSTITUTION,1,4084,Arts 5; Science 3,2025.0,True,False
DUCHESS CREST,DUCHESS AVENUE,10,BUKIT TIMAH,1.324664255222955,103.8029915093057,matched,2,1,1,NANYANG PRIMARY SCHOOL; RAFFLES GIRLS' PRIMARY SCHOOL,NANYANG PRIMARY SCHOOL,3,657,265%,2025.0,4,2,2,HWA CHONG INSTITUTION,1,322,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,322,Arts 5; Science 4,2025.0,True,True
DUCHESS MANOR,DUCHESS ROAD,10,BUKIT TIMAH,1.324560203798761,103.8070570277685,matched,2,1,1,NANYANG PRIMARY SCHOOL; RAFFLES GIRLS' PRIMARY SCHOOL,NANYANG PRIMARY SCHOOL,3,394,265%,2025.0,4,2,2,HWA CHONG INSTITUTION,1,188,IP AL6M,2025.0,8,6,6,RAFFLES INSTITUTION,1,4729,Arts 5; Science 3,2025.0,True,True
DUCHESS RESIDENCES,DUCHESS AVENUE,10,BUKIT TIMAH,1.324524112241207,103.8015204185125,matched,2,1,1,NANYANG PRIMARY SCHOOL; RAFFLES GIRLS' PRIMARY SCHOOL,NANYANG PRIMARY SCHOOL,3,785,265%,2025.0,4,2,2,HWA CHONG INSTITUTION,1,483,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,483,Arts 5; Science 4,2025.0,True,True
DUCHESS ROYALE,DUCHESS AVENUE,10,BUKIT TIMAH,1.324203099278842,103.8061775147994,matched,2,1,1,NANYANG PRIMARY SCHOOL; RAFFLES GIRLS' PRIMARY SCHOOL,NANYANG PRIMARY SCHOOL,3,386,265%,2025.0,4,2,2,HWA CHONG INSTITUTION,1,165,IP AL6M,2025.0,8,6,6,RAFFLES INSTITUTION,1,4833,Arts 5; Science 3,2025.0,True,True
DUET,HOLLAND ROAD,10,BUKIT TIMAH,1.311041870403681,103.8043815417544,matched,0,0,0,,,,,,,3,1,1,HWA CHONG INSTITUTION,1,1627,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1627,Arts 5; Science 4,2025.0,False,False
DUKES RESIDENCE,DUKE'S ROAD,10,BUKIT TIMAH,1.321547798083932,103.8112866419648,matched,1,1,1,NANYANG PRIMARY SCHOOL,NANYANG PRIMARY SCHOOL,3,404,265%,2025.0,6,4,4,HWA CHONG INSTITUTION,1,766,IP AL6M,2025.0,9,6,6,RAFFLES INSTITUTION,1,4526,Arts 5; Science 3,2025.0,True,True
DYNASTY GARDEN,SIXTH AVENUE,10,BUKIT TIMAH,1.323325941959704,103.7920458376859,matched,0,0,0,,,,,,,4,3,3,HWA CHONG INSTITUTION,1,1542,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1542,Arts 5; Science 4,2025.0,False,False
DYNASTY LODGE,SIXTH AVENUE,10,BUKIT TIMAH,1.323824294266948,103.7924065895761,matched,0,0,0,,,,,,,5,3,3,HWA CHONG INSTITUTION,1,1494,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1494,Arts 5; Science 4,2025.0,False,False
EWE BOON REGENT,EWE BOON ROAD,10,BUKIT TIMAH,1.316490115033271,103.8304732933785,matched,2,0,0,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL; ANGLO-CHINESE SCHOOL (PRIMARY),,,,,,3,2,2,ST. JOSEPH'S INSTITUTION,7,826,IP AL7; PG3 AL8,2025.0,7,5,5,RAFFLES INSTITUTION,1,3622,Arts 5; Science 3,2025.0,True,False
FAIRLODGE,HOLLAND ROAD,10,BUKIT TIMAH,1.311788084458451,103.8014941666984,matched,0,0,0,,,,,,,3,1,1,HWA CHONG INSTITUTION,1,1608,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1608,Arts 5; Science 4,2025.0,False,False
FERRELL RESIDENCES,BUKIT TIMAH ROAD,10,BUKIT TIMAH,1.317699237096512,103.8323402248785,matched,2,0,0,ANGLO-CHINESE SCHOOL (PRIMARY); SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,,,,,,3,2,2,ST. JOSEPH'S INSTITUTION,7,788,IP AL7; PG3 AL8,2025.0,7,5,5,RAFFLES INSTITUTION,1,3418,Arts 5; Science 3,2025.0,True,False
FIFTH AVENUE CONDOMINIUM,FIFTH AVENUE,10,BUKIT TIMAH,1.329905575151868,103.7958224618985,matched,0,0,0,,,,,,,5,3,3,HWA CHONG INSTITUTION,1,1200,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1200,Arts 5; Science 4,2025.0,False,False
FIFTY-TWO STEVENS,STEVENS ROAD,10,BUKIT TIMAH,1.315024326059941,103.8265703128088,matched,1,0,0,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,,,,,,4,2,2,ST. JOSEPH'S INSTITUTION,7,983,IP AL7; PG3 AL8,2025.0,8,6,6,RAFFLES INSTITUTION,1,3960,Arts 5; Science 3,2025.0,True,False
FONTANA HEIGHTS,MOUNT SINAI RISE,10,BUKIT TIMAH,1.315369554639197,103.7769425924472,matched,1,0,0,HENRY PARK PRIMARY SCHOOL,,,,,,7,1,1,ANGLO-CHINESE SCHOOL (INDEPENDENT),8,1352,IP AL7; PG3 AL8,2025.0,5,4,4,HWA CHONG INSTITUTION,2,3397,Arts 5; Science 4,2025.0,True,False
FOUR SEASONS PARK,CUSCADEN WALK,10,BUKIT TIMAH,1.30397101741497,103.8278667744666,matched,0,0,0,,,,,,,4,1,1,SINGAPORE CHINESE GIRLS' SCHOOL,9,1853,IP AL7; PG3 AL8,2025.0,6,4,4,HWA CHONG INSTITUTION,2,3442,Arts 5; Science 4,2025.0,False,False
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,10,BUKIT TIMAH,1.330054846777333,103.7970156312211,matched,0,0,0,,,,,,,5,3,3,HWA CHONG INSTITUTION,1,1087,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1087,Arts 5; Science 4,2025.0,False,False
GALLOP GABLES,FARRER ROAD,10,BUKIT TIMAH,1.314302416967658,103.8085321772623,matched,1,1,1,NANYANG PRIMARY SCHOOL,NANYANG PRIMARY SCHOOL,3,759,265%,2025.0,5,2,2,HWA CHONG INSTITUTION,1,1296,IP AL6M,2025.0,8,5,5,HWA CHONG INSTITUTION,2,1296,Arts 5; Science 4,2025.0,True,True
GALLOP GREEN,WOOLLERTON PARK,10,BUKIT TIMAH,1.315294631225901,103.8080699407927,matched,1,1,1,NANYANG PRIMARY SCHOOL,NANYANG PRIMARY SCHOOL,3,644,265%,2025.0,5,2,2,HWA CHONG INSTITUTION,1,1177,IP AL6M,2025.0,8,5,5,HWA CHONG INSTITUTION,2,1177,Arts 5; Science 4,2025.0,True,True
GARDENVILLE,WALSHE ROAD,10,BUKIT TIMAH,1.312461730860249,103.8273029480516,matched,1,0,0,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,,,,,,3,2,2,ST. JOSEPH'S INSTITUTION,7,1252,IP AL7; PG3 AL8,2025.0,8,6,6,RAFFLES INSTITUTION,1,4176,Arts 5; Science 3,2025.0,True,False
GISBORNE LIGHT,EWE BOON ROAD,10,BUKIT TIMAH,1.316249470591463,103.8304280522695,matched,2,0,0,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL; ANGLO-CHINESE SCHOOL (PRIMARY),,,,,,3,2,2,ST. JOSEPH'S INSTITUTION,7,851,IP AL7; PG3 AL8,2025.0,7,5,5,RAFFLES INSTITUTION,1,3648,Arts 5; Science 3,2025.0,True,False
GLENTREES,MOUNT SINAI LANE,10,BUKIT TIMAH,1.315854318014161,103.7846292022083,matched,1,0,0,HENRY PARK PRIMARY SCHOOL,,,,,,7,2,2,METHODIST GIRLS' SCHOOL (SECONDARY),4,1874,IP AL6; PG3 AL8,2025.0,6,5,5,HWA CHONG INSTITUTION,2,2585,Arts 5; Science 4,2025.0,True,False
GOODWOOD GARDENS,BALMORAL CRESCENT,10,BUKIT TIMAH,1.314662150298307,103.8341782231214,matched,2,0,0,ANGLO-CHINESE SCHOOL (PRIMARY); SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,,,,,,3,2,2,ST. JOSEPH'S INSTITUTION,7,1182,IP AL7; PG3 AL8,2025.0,7,5,5,RAFFLES INSTITUTION,1,3670,Arts 5; Science 3,2025.0,True,False
GOODWOOD GRAND,BALMORAL ROAD,10,BUKIT TIMAH,1.314906587383764,103.8336567885609,matched,2,0,0,ANGLO-CHINESE SCHOOL (PRIMARY); SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,,,,,,3,2,2,ST. JOSEPH'S INSTITUTION,7,1129,IP AL7; PG3 AL8,2025.0,7,5,5,RAFFLES INSTITUTION,1,3661,Arts 5; Science 3,2025.0,True,False
GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,10,BUKIT TIMAH,1.314251231173334,103.836041963599,matched,2,0,0,ANGLO-CHINESE SCHOOL (PRIMARY); ANGLO-CHINESE SCHOOL (JUNIOR),,,,,,3,2,2,ST. JOSEPH'S INSTITUTION,7,1340,IP AL7; PG3 AL8,2025.0,7,5,5,RAFFLES INSTITUTION,1,3661,Arts 5; Science 3,2025.0,True,False
GRAMERCY PARK,GRANGE ROAD,10,BUKIT TIMAH,1.298780892306566,103.8266774838589,matched,1,0,0,ALEXANDRA PRIMARY SCHOOL,,,,,,3,0,0,,,,,,6,4,4,HWA CHONG INSTITUTION,2,3785,Arts 5; Science 4,2025.0,True,False
GRANGE 1866,GRANGE ROAD,10,BUKIT TIMAH,1.299882622544197,103.828975333714,matched,0,0,0,,,,,,,3,0,0,,,,,,6,4,4,HWA CHONG INSTITUTION,2,3855,Arts 5; Science 4,2025.0,False,False
GRANGE RESIDENCES,GRANGE ROAD,10,BUKIT TIMAH,1.304377502846671,103.8226594615002,matched,0,0,0,,,,,,,4,1,1,SINGAPORE CHINESE GIRLS' SCHOOL,9,1908,IP AL7; PG3 AL8,2025.0,7,5,5,HWA CHONG INSTITUTION,2,3020,Arts 5; Science 4,2025.0,False,False
HALLMARK RESIDENCES,EWE BOON ROAD,10,BUKIT TIMAH,1.315736786526946,103.8309087129183,matched,2,0,0,ANGLO-CHINESE SCHOOL (PRIMARY); SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,,,,,,3,2,2,ST. JOSEPH'S INSTITUTION,7,920,IP AL7; PG3 AL8,2025.0,7,5,5,RAFFLES INSTITUTION,1,3680,Arts 5; Science 3,2025.0,True,False
HOLLAND COURT,HOLLAND ROAD,10,BUKIT TIMAH,1.31330761763,103.7980392712934,matched,0,0,0,,,,,,,4,2,2,HWA CHONG INSTITUTION,1,1614,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1614,Arts 5; Science 4,2025.0,False,False
HOLLAND HILL LODGE,HOLLAND HILL,10,BUKIT TIMAH,1.309830606028843,103.8029137615404,matched,0,0,0,,,,,,,3,1,1,HWA CHONG INSTITUTION,1,1783,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1783,Arts 5; Science 4,2025.0,False,False
HOLLAND HILL PARK,HOLLAND HILL,10,BUKIT TIMAH,1.309586543408335,103.8023464862535,matched,0,0,0,,,,,,,3,1,1,HWA CHONG INSTITUTION,1,1822,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1822,Arts 5; Science 4,2025.0,False,False
HOLLAND MEWS,HOLLAND ROAD,10,BUKIT TIMAH,1.309538120773156,103.8062602900363,matched,0,0,0,,,,,,,4,1,1,HWA CHONG INSTITUTION,1,1789,IP AL6M,2025.0,8,5,5,HWA CHONG INSTITUTION,2,1789,Arts 5; Science 4,2025.0,False,False
HOLLAND PEAK,HOLLAND HILL,10,BUKIT TIMAH,1.309094587053859,103.8021730397235,matched,0,0,0,,,,,,,3,1,1,HWA CHONG INSTITUTION,1,1879,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1879,Arts 5; Science 4,2025.0,False,False
HOLLAND SUITES,HOLLAND ROAD,10,BUKIT TIMAH,1.311939612361664,103.7993460504482,matched,0,0,0,,,,,,,3,1,1,HWA CHONG INSTITUTION,1,1678,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1678,Arts 5; Science 4,2025.0,False,False
HOLLAND TOWER,HOLLAND HEIGHTS,10,BUKIT TIMAH,1.307574807960559,103.8028911935367,matched,1,0,0,NEW TOWN PRIMARY SCHOOL,,,,,,3,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,2031,Arts 5; Science 4,2025.0,True,False
HOLLANDSWOOD COURT,HOLLAND PARK,10,BUKIT TIMAH,1.310002498208018,103.8036346500351,matched,0,0,0,,,,,,,3,1,1,HWA CHONG INSTITUTION,1,1752,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1752,Arts 5; Science 4,2025.0,False,False
HOLT RESIDENCES,HOLT ROAD,10,BUKIT TIMAH,1.294042755021616,103.8260678116283,matched,1,0,0,ALEXANDRA PRIMARY SCHOOL,,,,,,4,0,0,,,,,,6,4,4,HWA CHONG INSTITUTION,2,4176,Arts 5; Science 4,2025.0,True,False
HONOLULU TOWER,BUKIT TIMAH ROAD,10,BUKIT TIMAH,1.318090734061944,103.8310765829656,matched,2,0,0,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL; ANGLO-CHINESE SCHOOL (PRIMARY),,,,,,3,2,2,ST. JOSEPH'S INSTITUTION,7,682,IP AL7; PG3 AL8,2025.0,7,5,5,RAFFLES INSTITUTION,1,3432,Arts 5; Science 3,2025.0,True,False
HYLL ON HOLLAND,HOLLAND ROAD,10,BUKIT TIMAH,1.310340808077821,103.802891320917,matched,0,0,0,,,,,,,3,1,1,HWA CHONG INSTITUTION,1,1727,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1727,Arts 5; Science 4,2025.0,False,False
J C DRAYCOTT,DRAYCOTT DRIVE,10,BUKIT TIMAH,1.309875388644863,103.8309789290862,matched,0,0,0,,,,,,,3,2,2,ST. JOSEPH'S INSTITUTION,7,1557,IP AL7; PG3 AL8,2025.0,7,5,5,RAFFLES INSTITUTION,1,4286,Arts 5; Science 3,2025.0,False,False
JADE MANSION,LEEDON ROAD,10,BUKIT TIMAH,1.313328677945702,103.7974179705329,matched,0,0,0,,,,,,,5,2,2,HWA CHONG INSTITUTION,1,1649,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1649,Arts 5; Science 4,2025.0,False,False
JAYA TOWER,BUKIT TIMAH ROAD,10,BUKIT TIMAH,1.320107017315258,103.8239781247498,matched,1,0,0,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,,,,,,4,2,2,ST. JOSEPH'S INSTITUTION,7,639,IP AL7; PG3 AL8,2025.0,8,6,6,RAFFLES INSTITUTION,1,3639,Arts 5; Science 3,2025.0,True,False
JERVOIS GROVE,JERVOIS ROAD,10,BUKIT TIMAH,1.294895800720929,103.81856774498,matched,1,0,0,ALEXANDRA PRIMARY SCHOOL,,,,,,5,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,3702,Arts 5; Science 4,2025.0,True,False
JERVOIS JADE,JERVOIS CLOSE,10,BUKIT TIMAH,1.292452766161026,103.8252469184313,matched,2,0,0,ALEXANDRA PRIMARY SCHOOL; ZHANGDE PRIMARY SCHOOL,,,,,,5,0,0,,,,,,6,4,4,HWA CHONG INSTITUTION,2,4278,Arts 5; Science 4,2025.0,True,False
JERVOIS LODGE,JERVOIS ROAD,10,BUKIT TIMAH,1.293639331476394,103.8234986204388,matched,1,0,0,ALEXANDRA PRIMARY SCHOOL,,,,,,4,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,4067,Arts 5; Science 4,2025.0,True,False
JERVOIS MANSION,JERVOIS CLOSE,10,BUKIT TIMAH,1.29297856291536,103.8242793192437,matched,2,0,0,ALEXANDRA PRIMARY SCHOOL; ZHANGDE PRIMARY SCHOOL,,,,,,5,0,0,,,,,,6,4,4,HWA CHONG INSTITUTION,2,4174,Arts 5; Science 4,2025.0,True,False
JERVOIS MEADOWS,JERVOIS ROAD,10,BUKIT TIMAH,1.2948894091672,103.8166557659121,matched,1,0,0,ALEXANDRA PRIMARY SCHOOL,,,,,,5,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,3626,Arts 5; Science 4,2025.0,True,False
JERVOIS REGENCY,JERVOIS ROAD,10,BUKIT TIMAH,1.294490977818782,103.8220653285215,matched,1,0,0,ALEXANDRA PRIMARY SCHOOL,,,,,,4,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,3908,Arts 5; Science 4,2025.0,True,False
JERVOIS TREASURES,JERVOIS ROAD,10,BUKIT TIMAH,1.292820331223828,103.8235319342891,matched,2,0,0,ALEXANDRA PRIMARY SCHOOL; ZHANGDE PRIMARY SCHOOL,,,,,,5,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,4149,Arts 5; Science 4,2025.0,True,False
JERVOIS VIEW,JERVOIS ROAD,10,BUKIT TIMAH,1.293893394889583,103.8240891580956,matched,1,0,0,ALEXANDRA PRIMARY SCHOOL,,,,,,4,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,4075,Arts 5; Science 4,2025.0,True,False
JEWEL OF BALMORAL,BALMORAL PARK,10,BUKIT TIMAH,1.315885317078271,103.8274861515729,matched,2,0,0,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL; ANGLO-CHINESE SCHOOL (PRIMARY),,,,,,3,2,2,ST. JOSEPH'S INSTITUTION,7,871,IP AL7; PG3 AL8,2025.0,8,6,6,RAFFLES INSTITUTION,1,3827,Arts 5; Science 3,2025.0,True,False
JUNIPER AT ARDMORE,ARDMORE PARK,10,BUKIT TIMAH,1.30875984414499,103.8296433558137,matched,0,0,0,,,,,,,3,2,2,ST. JOSEPH'S INSTITUTION,7,1661,IP AL7; PG3 AL8,2025.0,8,6,6,RAFFLES INSTITUTION,1,4453,Arts 5; Science 3,2025.0,False,False
JUNIPER HILL,EWE BOON ROAD,10,BUKIT TIMAH,1.316482033978174,103.8298971534507,matched,2,0,0,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL; ANGLO-CHINESE SCHOOL (PRIMARY),,,,,,3,2,2,ST. JOSEPH'S INSTITUTION,7,812,IP AL7; PG3 AL8,2025.0,7,5,5,RAFFLES INSTITUTION,1,3649,Arts 5; Science 3,2025.0,True,False
KASTURINA LODGE,KAY POH ROAD,10,BUKIT TIMAH,1.296403005229079,103.8297582924453,matched,2,0,0,RIVER VALLEY PRIMARY SCHOOL; ALEXANDRA PRIMARY SCHOOL,,,,,,3,0,0,,,,,,6,4,4,HWA CHONG INSTITUTION,2,4205,Arts 5; Science 4,2025.0,True,False
KELLOCK LODGE,KELLOCK ROAD,10,BUKIT TIMAH,1.294891587563407,103.8296995580939,matched,2,0,0,RIVER VALLEY PRIMARY SCHOOL; ALEXANDRA PRIMARY SCHOOL,,,,,,3,0,0,,,,,,5,3,3,HWA CHONG INSTITUTION,2,4333,Arts 5; Science 4,2025.0,True,False
KUIE PONG LOFT,ROBIN WALK,10,BUKIT TIMAH,1.319166793436302,103.8259354947709,matched,1,0,0,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,,,,,,4,2,2,ST. JOSEPH'S INSTITUTION,7,575,IP AL7; PG3 AL8,2025.0,8,6,6,RAFFLES INSTITUTION,1,3600,Arts 5; Science 3,2025.0,True,False
KUM HING COURT,TOMLINSON ROAD,10,BUKIT TIMAH,1.302828397109369,103.8260460965258,matched,0,0,0,,,,,,,4,1,1,SINGAPORE CHINESE GIRLS' SCHOOL,9,1994,IP AL7; PG3 AL8,2025.0,6,4,4,HWA CHONG INSTITUTION,2,3394,Arts 5; Science 4,2025.0,False,False
LATITUDE,JALAN MUTIARA,10,BUKIT TIMAH,1.296120207427773,103.8281146619523,matched,2,0,0,ALEXANDRA PRIMARY SCHOOL; RIVER VALLEY PRIMARY SCHOOL,,,,,,3,0,0,,,,,,6,4,4,HWA CHONG INSTITUTION,2,4117,Arts 5; Science 4,2025.0,True,False
LE NOUVEL ARDMORE,ARDMORE PARK,10,BUKIT TIMAH,1.310423987155983,103.8279134032646,matched,0,0,0,,,,,,,3,2,2,ST. JOSEPH'S INSTITUTION,7,1472,IP AL7; PG3 AL8,2025.0,8,6,6,RAFFLES INSTITUTION,1,4354,Arts 5; Science 3,2025.0,False,False
LEEDON 2,LEEDON ROAD,10,BUKIT TIMAH,1.312919028697562,103.7969842037081,matched,0,0,0,,,,,,,4,1,1,HWA CHONG INSTITUTION,1,1714,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1714,Arts 5; Science 4,2025.0,False,False
LEEDON GREEN,LEEDON HEIGHTS,10,BUKIT TIMAH,1.313033209557247,103.8035458782812,matched,0,0,0,,,,,,,5,2,2,HWA CHONG INSTITUTION,1,1420,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1420,Arts 5; Science 4,2025.0,False,False
LEEDON RESIDENCE,LEEDON HEIGHTS,10,BUKIT TIMAH,1.313775491878578,103.8018538692327,matched,0,0,0,,,,,,,5,2,2,HWA CHONG INSTITUTION,1,1385,IP AL6M,2025.0,7,5,5,HWA CHONG INSTITUTION,2,1385,Arts 5; Science 4,2025.0,False,False
LEIGHWOODS,MOUNT SINAI RISE,10,BUKIT TIMAH,1.315032875594349,103.7772570420676,matched,1,0,0,HENRY PARK PRIMARY SCHOOL,,,,,,7,1,1,ANGLO-CHINESE SCHOOL (INDEPENDENT),8,1306,IP AL7; PG3 AL8,2025.0,5,4,4,HWA CHONG INSTITUTION,2,3377,Arts 5; Science 4,2025.0,True,False
