estate,model_version,path,start_score,start_band,end_score,end_band,delta,arrow,band_shift
DOVER,2.1.0,upgrader,3.065,C,3.272,C,0.207,↑,C→C
TENGAH,2.1.0,forming_family,1.658,F,2.928,D,1.27,↑,F→D
TENGAH,2.1.0,settling_single,1.552,F,3.248,C,1.696,↑,F→C
TENGAH,2.1.0,ageing_in_place,1.606,F,2.911,D,1.305,↑,F→D
TENGAH,2.1.0,downsizing,1.706,F,2.911,D,1.205,↑,F→D
TENGAH,2.1.0,upgrader,1.658,F,3.048,C,1.39,↑,F→C
TAMPINES WEST,2.1.0,forming_family,3.642,B,3.879,B,0.237,↑,B→B
TAMPINES WEST,2.1.0,settling_single,3.537,B,3.642,B,0.105,↑,B→B
TAMPINES WEST,2.1.0,ageing_in_place,3.745,B,3.745,B,0.0,→,B→B
TAMPINES WEST,2.1.0,downsizing,3.879,B,3.745,B,-0.134,↓,B→B
TAMPINES WEST,2.1.0,upgrader,3.642,B,3.537,B,-0.105,↓,B→B
TAMPINES EAST,2.1.0,forming_family,3.467,C,3.608,B,0.141,↑,C→B
TAMPINES EAST,2.1.0,settling_single,3.343,C,3.502,B,0.159,↑,C→B
TAMPINES EAST,2.1.0,ageing_in_place,3.418,C,3.435,C,0.017,→,C→C
TAMPINES EAST,2.1.0,downsizing,3.597,B,3.435,C,-0.162,↓,B→C
TAMPINES EAST,2.1.0,upgrader,3.467,C,3.375,C,-0.092,→,C→C
ANG MO KIO,2.1.0,forming_family,3.594,B,4.153,B+,0.559,↑,B→B+
ANG MO KIO,2.1.0,settling_single,3.396,C,4.209,B+,0.813,↑,C→B+
ANG MO KIO,2.1.0,ageing_in_place,3.734,B,4.137,B+,0.403,↑,B→B+
ANG MO KIO,2.1.0,downsizing,3.811,B,4.137,B+,0.326,↑,B→B+
ANG MO KIO,2.1.0,upgrader,3.594,B,3.983,B,0.389,↑,B→B
LENTOR,2.1.0,forming_family,2.565,D,3.414,C,0.849,↑,D→C
LENTOR,2.1.0,settling_single,2.44,F,3.691,B,1.251,↑,F→B
