estate,model_version,archetype,provision_band,provision_score,D_T0,D_T5,D_T15,yf_T0,yf_T0_band,yf_T5,yf_T5_band,yf_T15,yf_T15_band,yf_arrow,yf_T15_arrow,sp_T0,sp_T0_band,sp_T5,sp_T5_band,sp_T15,sp_T15_band,sp_arrow,sp_T15_arrow,ret_T0,ret_T0_band,ret_T5,ret_T5_band,ret_T15,ret_T15_band,ret_arrow,ret_T15_arrow,ls_T0,ls_T0_band,ls_T5,ls_T5_band,ls_T15,ls_T15_band,ls_arrow,ls_T15_arrow,gap_yf_T0,gap_yf_T0_label,gap_yf_T5,gap_yf_T5_label,gap_yf_T15,gap_yf_T15_label,gap_sp_T0,gap_sp_T0_label,gap_sp_T5,gap_sp_T5_label,gap_sp_T15,gap_sp_T15_label,gap_ret_T0,gap_ret_T0_label,gap_ret_T5,gap_ret_T5_label,gap_ret_T15,gap_ret_T15_label,gap_ls_T0,gap_ls_T0_label,gap_ls_T5,gap_ls_T5_label,gap_ls_T15,gap_ls_T15_label
CANBERRA,2.1.0,B,B,3.57,0.7,1.0,1.0,2.578,D,3.728,B,3.753,B,↑,↑,2.482,F,3.595,B,3.605,B,↑,↑,2.446,F,3.548,B,3.56,B,↑,↑,2.337,F,3.39,C,3.399,C,↑,↑,-0.99,over_equipped,0.16,matched,0.18,matched,-1.09,over_equipped,0.03,matched,0.04,matched,-1.12,over_equipped,-0.02,matched,-0.01,matched,-1.23,over_equipped,-0.18,matched,-0.17,matched
BOON KENG,2.1.0,F,B,3.9,1.0,1.0,1.0,3.954,B,3.954,B,3.959,B,→,→,3.837,B,3.837,B,3.842,B,→,→,3.901,B,3.901,B,3.907,B,→,→,3.638,B,3.638,B,3.643,B,→,→,0.05,matched,0.05,matched,0.06,matched,-0.06,matched,-0.06,matched,-0.06,matched,0.0,matched,0.0,matched,0.01,matched,-0.26,matched,-0.26,matched,-0.26,matched
WOODLEIGH,2.1.0,E,B,3.59,1.0,1.0,1.0,3.661,B,3.68,B,3.68,B,→,→,3.599,B,3.606,B,3.606,B,→,→,3.502,B,3.547,B,3.547,B,→,→,3.425,C,3.427,C,3.427,C,→,→,0.07,matched,0.09,matched,0.09,matched,0.01,matched,0.02,matched,0.02,matched,-0.09,matched,-0.04,matched,-0.04,matched,-0.17,matched,-0.16,matched,-0.16,matched
DOVER,2.1.0,F,C,3.46,0.888,1.0,1.0,3.109,C,3.501,B,3.501,B,↑,↑,3.065,C,3.451,C,3.451,C,↑,↑,2.95,D,3.322,C,3.322,C,↑,↑,2.905,D,3.272,C,3.272,C,↑,↑,-0.35,matched,0.04,matched,0.04,matched,-0.4,matched,-0.01,matched,-0.01,matched,-0.51,over_equipped,-0.14,matched,-0.14,matched,-0.56,over_equipped,-0.19,matched,-0.19,matched
TENGAH,2.1.0,G,F,2.38,0.7,1.0,1.0,1.706,F,2.928,D,3.214,C,↑,↑,1.658,F,3.248,C,3.712,B,↑,↑,1.606,F,2.911,D,3.227,C,↑,↑,1.552,F,3.048,C,3.486,C,↑,↑,-0.67,over_equipped,0.55,punches_above,0.83,punches_above,-0.72,over_equipped,0.87,punches_above,1.33,punches_above,-0.77,over_equipped,0.53,punches_above,0.85,punches_above,-0.83,over_equipped,0.67,punches_above,1.11,punches_above
TAMPINES WEST,2.1.0,A,B,3.75,1.0,1.0,1.0,3.879,B,3.879,B,3.879,B,→,→,3.642,B,3.642,B,3.642,B,→,→,3.745,B,3.745,B,3.745,B,→,→,3.537,B,3.537,B,3.537,B,→,→,0.13,matched,0.13,matched,0.13,matched,-0.11,matched,-0.11,matched,-0.11,matched,-0.0,matched,-0.0,matched,-0.0,matched,-0.21,matched,-0.21,matched,-0.21,matched
TAMPINES EAST,2.1.0,A,B,3.57,1.0,1.0,1.0,3.597,B,3.608,B,3.61,B,→,→,3.467,C,3.502,B,3.509,B,→,→,3.418,C,3.435,C,3.439,C,→,→,3.343,C,3.375,C,3.381,C,→,→,0.03,matched,0.04,matched,0.04,matched,-0.1,matched,-0.07,matched,-0.06,matched,-0.15,matched,-0.13,matched,-0.13,matched,-0.23,matched,-0.19,matched,-0.19,matched
ANG MO KIO,2.1.0,B,B,3.7,1.0,1.0,1.0,3.811,B,4.153,B+,4.158,B+,↑,↑,3.594,B,4.209,B+,4.215,B+,↑,↑,3.734,B,4.137,B+,4.143,B+,↑,↑,3.396,C,3.983,B,3.989,B,↑,↑,0.11,matched,0.45,matched,0.46,matched,-0.11,matched,0.51,punches_above,0.51,punches_above,0.03,matched,0.44,matched,0.44,matched,-0.3,matched,0.28,matched,0.29,matched
LENTOR,2.1.0,F,B,3.52,0.7,1.0,1.0,2.373,F,3.414,C,3.414,C,↑,↑,2.565,D,3.691,B,3.691,B,↑,↑,2.431,F,3.501,B,3.501,B,↑,↑,2.44,F,3.514,B,3.514,B,↑,↑,-1.15,over_equipped,-0.11,matched,-0.11,matched,-0.96,over_equipped,0.17,matched,0.17,matched,-1.09,over_equipped,-0.02,matched,-0.02,matched,-1.08,over_equipped,-0.01,matched,-0.01,matched
SENGKANG,2.1.0,B,B,3.66,0.76,1.0,1.0,2.85,D,3.809,B,3.875,B,↑,↑,2.696,D,3.637,B,3.766,B,↑,↑,2.777,D,3.725,B,3.806,B,↑,↑,2.548,D,3.44,C,3.563,B,↑,↑,-0.81,over_equipped,0.15,matched,0.21,matched,-0.96,over_equipped,-0.02,matched,0.11,matched,-0.88,over_equipped,0.06,matched,0.15,matched,-1.11,over_equipped,-0.22,matched,-0.1,matched
PUNGGOL,2.1.0,E,C,3.41,0.76,1.0,1.0,2.541,D,3.372,C,3.445,C,↑,↑,2.737,D,3.631,B,3.743,B,↑,↑,2.42,F,3.219,C,3.277,C,↑,↑,2.629,D,3.492,C,3.592,B,↑,↑,-0.87,over_equipped,-0.04,matched,0.03,matched,-0.67,over_equipped,0.22,matched,0.33,matched,-0.99,over_equipped,-0.19,matched,-0.13,matched,-0.78,over_equipped,0.08,matched,0.18,matched
YISHUN,2.1.0,B,B,3.96,0.9616,1.0,1.0,3.918,B,4.108,B+,4.117,B+,↑,↑,3.772,B,3.959,B,3.969,B,↑,↑,3.791,B,3.982,B,3.992,B,↑,↑,3.56,B,3.74,B,3.751,B,↑,↑,-0.04,matched,0.15,matched,0.16,matched,-0.19,matched,-0.0,matched,0.01,matched,-0.17,matched,0.02,matched,0.03,matched,-0.4,matched,-0.22,matched,-0.21,matched
HOUGANG,2.1.0,B,B+,4.08,0.982,1.0,1.0,4.03,B+,4.135,B+,4.144,B+,↑,↑,3.964,B,4.093,B+,4.103,B+,↑,↑,3.92,B,4.034,B+,4.045,B+,↑,↑,3.803,B,3.927,B,3.938,B,↑,↑,-0.05,matched,0.05,matched,0.06,matched,-0.12,matched,0.01,matched,0.02,matched,-0.16,matched,-0.05,matched,-0.04,matched,-0.28,matched,-0.15,matched,-0.14,matched
CHOA CHU KANG,2.1.0,B,B,3.66,0.9904,1.0,1.0,3.705,B,3.853,B,3.9,B,↑,↑,3.502,B,3.708,B,3.785,B,↑,↑,3.521,B,3.714,B,3.77,B,↑,↑,3.364,C,3.558,B,3.632,B,↑,↑,0.04,matched,0.19,matched,0.24,matched,-0.16,matched,0.05,matched,0.12,matched,-0.14,matched,0.05,matched,0.11,matched,-0.3,matched,-0.1,matched,-0.03,matched
BUKIT BATOK,2.1.0,B,B,3.69,1.0,1.0,1.0,3.799,B,3.881,B,3.934,B,→,↑,3.601,B,3.743,B,3.822,B,↑,↑,3.588,B,3.686,B,3.752,B,→,↑,3.384,C,3.518,B,3.593,B,↑,↑,0.11,matched,0.19,matched,0.24,matched,-0.09,matched,0.05,matched,0.13,matched,-0.1,matched,-0.0,matched,0.06,matched,-0.31,matched,-0.17,matched,-0.1,matched
BUKIT MERAH,2.1.0,B,B+,4.03,1.0,1.0,1.0,4.102,B+,4.116,B+,4.121,B+,→,→,4.007,B+,4.015,B+,4.02,B+,→,→,4.001,B+,4.015,B+,4.021,B+,→,→,3.804,B,3.812,B,3.818,B,→,→,0.07,matched,0.09,matched,0.09,matched,-0.02,matched,-0.02,matched,-0.01,matched,-0.03,matched,-0.02,matched,-0.01,matched,-0.23,matched,-0.22,matched,-0.21,matched
BUKIT PANJANG,2.1.0,B,B+,4.06,0.928,1.0,1.0,3.761,B,4.07,B+,4.075,B+,↑,↑,3.784,B,4.087,B+,4.09,B+,↑,↑,3.712,B,4.017,B+,4.022,B+,↑,↑,3.57,B,3.857,B,3.86,B,↑,↑,-0.3,matched,0.01,matched,0.02,matched,-0.28,matched,0.03,matched,0.03,matched,-0.35,matched,-0.04,matched,-0.04,matched,-0.49,matched,-0.2,matched,-0.2,matched
GEYLANG,2.1.0,B,B,3.76,0.796,1.0,1.0,3.058,C,3.842,B,3.856,B,↑,↑,2.919,D,3.667,B,3.683,B,↑,↑,3.01,C,3.781,B,3.796,B,↑,↑,2.77,D,3.48,C,3.496,C,↑,↑,-0.7,over_equipped,0.08,matched,0.1,matched,-0.84,over_equipped,-0.09,matched,-0.08,matched,-0.75,over_equipped,0.02,matched,0.04,matched,-0.99,over_equipped,-0.28,matched,-0.26,matched
CLEMENTI,2.1.0,B,B,3.7,0.7,1.0,1.0,2.649,D,3.806,B,3.859,B,↑,↑,2.519,D,3.622,B,3.704,B,↑,↑,2.584,D,3.716,B,3.778,B,↑,↑,2.379,F,3.422,C,3.502,B,↑,↑,-1.05,over_equipped,0.11,matched,0.16,matched,-1.18,over_equipped,-0.08,matched,0.0,matched,-1.12,over_equipped,0.02,matched,0.08,matched,-1.32,over_equipped,-0.28,matched,-0.2,matched
CENTRAL AREA,2.1.0,X,N/R,4.26,1.0,1.0,1.0,,N/R,,N/R,,N/R,→,→,,N/R,,N/R,,N/R,→,→,,N/R,,N/R,,N/R,→,→,,N/R,,N/R,,N/R,→,→,,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,N/R
BUKIT TIMAH,2.1.0,D,B,3.92,0.7,1.0,1.0,2.725,D,3.907,B,3.907,B,↑,↑,2.751,D,3.939,B,3.939,B,↑,↑,2.631,D,3.772,B,3.772,B,↑,↑,2.676,D,3.831,B,3.831,B,↑,↑,-1.19,over_equipped,-0.01,matched,-0.01,matched,-1.17,over_equipped,0.02,matched,0.02,matched,-1.29,over_equipped,-0.15,matched,-0.15,matched,-1.24,over_equipped,-0.09,matched,-0.09,matched
JURONG WEST,2.1.0,B,B,3.54,0.7,1.0,1.0,2.555,D,3.876,B,3.951,B,↑,↑,2.432,F,3.896,B,4.003,B+,↑,↑,2.402,F,3.708,B,3.81,B,↑,↑,2.29,F,3.674,B,3.774,B,↑,↑,-0.98,over_equipped,0.34,matched,0.41,matched,-1.11,over_equipped,0.36,matched,0.46,matched,-1.14,over_equipped,0.17,matched,0.27,matched,-1.25,over_equipped,0.13,matched,0.23,matched
KALLANG,2.1.0,B,B,3.75,1.0,1.0,1.0,3.816,B,3.829,B,3.834,B,→,→,3.742,B,3.781,B,3.787,B,→,→,3.773,B,3.793,B,3.799,B,→,→,3.57,B,3.606,B,3.612,B,→,→,0.07,matched,0.08,matched,0.08,matched,-0.01,matched,0.03,matched,0.04,matched,0.02,matched,0.04,matched,0.05,matched,-0.18,matched,-0.14,matched,-0.14,matched
HOLLAND VILLAGE,2.1.0,D,B,3.89,1.0,1.0,1.0,4.04,B+,4.04,B+,4.04,B+,→,→,3.85,B,3.85,B,3.85,B,→,→,3.983,B,3.983,B,3.983,B,→,→,3.673,B,3.673,B,3.673,B,→,→,0.15,matched,0.15,matched,0.15,matched,-0.04,matched,-0.04,matched,-0.04,matched,0.09,matched,0.09,matched,0.09,matched,-0.22,matched,-0.22,matched,-0.22,matched
